hash,group,family,dificultad,resultado,t_base_s
7cbc3ce2052ba7c5b501f75af58ab3c4,cryptography-simon,cryptography-simon,calib,sat,0.0
dd5d530ac8bf0019412d023488b075eb,p-center,p-center,calib,unsat,0.0
9d20bb1bd01838d70177ffd3aa284aeb,miter,miter,calib,sat,0.3
365a02a7d781d655bb2a64d2273a2d0c,argumentation,argumentation,calib,sat,0.8
8db998d5fd64f85a1847115208f73873,stable-semantics,stable-semantics,calib,sat,1.1
9ef9243ff051b32795890fccd6c3f6b2,sum-of-3-cubes,sum-of-3-cubes,calib,sat,2.9
80bb5209e88def5643bf5593320b104f,argumentation,argumentation,calib,sat,3.8
6d815089fb4095208754622b4c44a8f7,multiplier-circuits,multiplier-circuits,calib,sat,5.4
12cd0c3196589ac8105653cbfe613fc6,hardware-verification,hardware-verification,calib,unsat,5.8
5de866bc7ff4dfde3cd682b5aca75894,stable-semantics,stable-semantics,calib,sat,6.1
d699355595398f0765c5f51c9d0ad852,argumentation,argumentation,calib,sat,7.0
a789d0722f1aa0d44c5a38b374719c69,md5-equivalence-checking,md5-equivalence-checking,calib,sat,9.5
bbcfd33f07cbf6fefa950d8254aa34ce,ecc-equivalence-checking,ecc-equivalence-checking,calib,sat,10.6
ee8c86d39745aea1c1731d4f34bcaed7,ecc-equivalence-checking,ecc-equivalence-checking,calib,sat,12.1
cb2e8b7fada420c5046f587ea754d052,clique-formulas,clique-formulas,calib,unsat,12.3
4e0de894799790b06e8d6c3efd109ade,ecc-equivalence-checking,ecc-equivalence-checking,calib,sat,15.6
bf8c8761003704e761ce36db6665f741,stable-semantics,stable-semantics,calib,unsat,16.8
15e666a42158e3304fc3979de28a5e44,graph-coloring,graph-coloring,calib,unsat,17.1
1bb9fe12b4fb50e98903ee87a51d6472,miter,miter,calib,unsat,17.4
15456f0d13b26f0b4b21525ef7d0d711,clique-formulas,clique-formulas,calib,unsat,18.9
0be1e12a8e7282d1a4e389bb90f6dbc7,or_randxor,or_randxor,calib,unsat,20.3
74931e82fd208ed949fa44bccd80df6b,subsumptiontest,subsumptiontest,calib,sat,21.5
0c9da400944b002f90fd385d4fdab385,subsumptiontest,subsumptiontest,calib,sat,22.6
09637d3bd641b4d733666a862e8918ea,planning,planning,calib,sat,23.5
7fa502dfce37c37c1cafd50b3fba263f,syndrome-decoding,syndrome-decoding,calib,sat,23.5
91860f79f079fede859034c7d76a98a2,station-repacking,station-repacking,calib,sat,27.9
e85fb114c33f450dc2622c78bc6fa019,miter,miter,calib,sat,29.8
8117a2ac08e1acf52f660663efe2a5ca,hgen,hgen,calib,sat,34.9
5faba478cb08194407b5ec957ab08599,school-timetabling,school-timetabling,calib,sat,45.1
2b8cac8e1f5cad04696004e7fbf5cf2e,ntil,ntil,calib,sat,50.8
8d0d8518a438d93428257d9a38863c3c,allowable-seqence,allowable-seqence,calib,sat,53.1
ae48df6541d190c096b1e5ba22d1b534,2d-strip-packing,2d-strip-packing,calib,unsat,61.7
ac6256657058fe65dc7ddaf773ab83bf,scheduling,scheduling,calib,sat,65.6
543e67dd5abc272c37775b1b742a1d9a,quasigroup-completion,quasigroup-completion,calib,sat,65.9
4f09ef861ee74e50dc101765e1ce27fb,algorithm-equivalence-checking,algorithm-equivalence-checking,calib,unsat,71.5
09e0775d2b51c49ec1ec4d214ee7c8c8,ntil,ntil,calib,sat,73.9
f497bda3018958d7ba2d1cd99da3982e,graph-coloring,graph-coloring,calib,unsat,83.1
1890f49a43a94b97828528b68c32b78e,fpga-routing,fpga-routing,calib,unsat,83.3
6add7e416c1126607afeb2666af330ac,quantum-kochen-specker,quantum-kochen-specker,calib,unsat,110.9
75429ff7acb5acb597abe01aa745c2a6,random-graph-xorsat,random-graph-xorsat,calib,sat,112.9
