hash,group,family,dificultad,resultado,t_base_s
5553fec254b32349e0e48c7ee1e2d6c7,cryptography-cbmc,cryptography-cbmc,frontera,unsat,132.3
dc7817dfa2817916b266c1cfacd2ee66,ramsey,ramsey,frontera,unsat,136.3
87dbc3302b82c09e19c55059fb943191,ntil,ntil,frontera,sat,151.2
3ed56242f55e3653dbceeb4a70221787,rbsat,rbsat,frontera,sat,154.4
4989239fbeb6eb40fc0b664d9ba92636,cryptography-ascon,cryptography-ascon,frontera,unsat,164.7
8390dca257561c53bf4eb6e158a2285f,crafted-cec,crafted-cec,frontera,sat,243.3
3c4ac805726d78a869ff8116ee3533db,fpga-routing,fpga-routing,frontera,unsat,256.4
3e912cd2a499b8f956246b866e2f9f64,cryptography,cryptography,frontera,unsat,258.0
6f1b15ebd0ac13c05fb052e5b0453f64,allowable-seqence,allowable-seqence,frontera,sat,269.5
b54b26f38d40a687b6277c49cf85de69,baseball-lineup,baseball-lineup,frontera,sat,298.0
6e297bdb1c3f957f6333c37804805ecb,cellular-automata,cellular-automata,frontera,unsat,309.3
667341ee8c1dea3db613db317e2b2c33,lights-out,lights-out,frontera,unsat,387.6
416e33a8463911546e4cd87d282a7e1e,unknown-cases,unknown-cases,frontera,sat,391.7
1f81f7e009f501014cb23a8c2d41836f,diagnosis,diagnosis,frontera,sat,415.7
bd0b055b890a9ace598a0c4aba40de30,trigonometric-functions,trigonometric-functions,frontera,unsat,456.6
b0abaa97c4663edc2048d86de3e2b226,school-timetabling,school-timetabling,frontera,unsat,519.3
c14f0c610d59a9d5e8cec328485b916f,van-der-waerden,van-der-waerden,frontera,unsat,521.4
e55a49d8065d65650f24c0f3ecef30b6,maxsat-optimum,maxsat-optimum,frontera,unsat,553.8
fac2035ba83ac2d0c2d67509d3f82b94,multiplier-equivalence-checking,multiplier-equivalence-checking,frontera,unsat,665.5
5ee05ef0bcb42cb12bd698978c05178c,sgen-balanced,sgen-balanced,frontera,unsat,691.3
