hash,group,family,estrato,resultado,t_satsuma_kissat_2026,t_kissat_2026,clauses
5d02aa18eac7304c705577f1cce07784,H,allowable-seqence,H,sat,41.65,297.86,
44452f4bac1e77157bbc900c5cc0756d,H,boxfolding,H,sat,61.73,1519.60,
b1c44904cf06682f973b60c8282f45e8,H,cardinality-constraints,H,sat,0.31,128.91,3239
1fb646d2657b6dd5f0106dbec9fd6c27,H,chnl,H,unsat,0.10,10000.00,
757d64688ac60cba697a980dfbbf5075,H,chnl,H,unsat,0.22,10000.00,
a95f0373ebf724f474fcc9ccd7197bd9,H,chnl,H,unsat,0.12,10000.00,
bcdc894819cf050e57849fe84a1e8cc4,H,chnl,H,unsat,0.16,10000.00,
5d06225b27017e9a703f10cb577cf3bf,H,clique-coloring,H,unsat,0.06,10000.00,17432
15456f0d13b26f0b4b21525ef7d0d711,H,clique-formulas,H,unsat,2.63,18.85,20035
cb2e8b7fada420c5046f587ea754d052,H,clique-formulas,H,unsat,0.09,12.28,3160
1a3bef9e03bab1ed4e9e34506d72a451,H,coloring,H,unsat,0.31,10000.00,198762
0ec6bf97a96b9840ae84f1d1da4c4dcd,H,count,H,unsat,0.43,10000.00,
35e0b5a19c88961d98dd806e805759f4,H,count,H,unsat,0.51,10000.00,
58eaf62034046ed4fc52562869569b44,H,count,H,unsat,1.37,10000.00,
b0142b06940fb02e2b4ddb7a2101a3d6,H,count,H,unsat,0.08,10000.00,
fbd9968f5067604694f11f14c07c5527,H,count,H,unsat,2.14,10000.00,
0d082b8fa36f662217bee5524cd24d3a,H,exam-scheduling,H,unsat,5.37,10000.00,
12ac1c71ff0405cc150c2a2db6c4a255,H,exam-scheduling,H,unsat,0.32,10000.00,
266e890b706cf336378bf148bbda1aff,H,exam-scheduling,H,unsat,0.49,1253.73,
5d8b47745dba3fe50f9c8712be389cd5,H,exam-scheduling,H,unsat,6.26,10000.00,
71849248b47db583f56e77f55f31e525,H,exam-scheduling,H,unsat,0.43,10000.00,
7b9620b5d7da55bda43595fe37867acd,H,exam-scheduling,H,unsat,0.55,10000.00,
860788f93fb766e83e00a29de84180e7,H,exam-scheduling,H,unsat,1.04,10000.00,
92b22042a950db2a9841f08d169d1bb5,H,exam-scheduling,H,unsat,0.43,10000.00,
a7e5d03892a17e51e22b688f51cf0aab,H,exam-scheduling,H,unsat,2.51,10000.00,
aa4e80476e6a6ea1034e303e6b2e46dc,H,exam-scheduling,H,unsat,0.35,10000.00,
c44762c4b177ac64fd0919f37de8382e,H,exam-scheduling,H,unsat,0.37,10000.00,
d27f76623aed2fce608c092b2aafafc5,H,exam-scheduling,H,unsat,0.52,10000.00,
1890f49a43a94b97828528b68c32b78e,H,fpga-routing,H,unsat,0.01,83.34,1122
3c4ac805726d78a869ff8116ee3533db,H,fpga-routing,H,unsat,0.01,256.37,2030
043c91001968a1fbd1ef419540fcb396,H,graph-coloring,H,unsat,0.74,10000.00,
0f1070ba60b55aa62d3a98798a14700e,H,graph-coloring,H,unsat,0.18,10000.00,
306a29e966fa6293d407bc7ebbc3ecb1,H,graph-coloring,H,unsat,13.76,10000.00,
65bf849f3e86ab275e339934f4d140a0,H,graph-coloring,H,unsat,1.29,10000.00,
6ddda96839bb24cd7389d5556d3ab16d,H,graph-coloring,H,unsat,0.72,10000.00,
9ba8145e0d02318dea5507fc3ba03472,H,graph-coloring,H,unsat,17.65,10000.00,
e5787bb4c8c29aa39b14a5e11387999d,H,graph-coloring,H,unsat,0.36,10000.00,
e91253303b915493090c1f4b59d9e969,H,graph-coloring,H,unsat,4.27,10000.00,
8117a2ac08e1acf52f660663efe2a5ca,H,hgen,H,sat,9.66,34.86,1127
28dcc4119e1bbb5fbd3fdd8f4140f28d,H,lights-out,H,sat,31.82,1612.53,
e430acf720b63044e5c825a00a76b0eb,H,relativized-pigeon-hole,H,unsat,0.06,10000.00,15375
2b7e863462991fd008f9898eca63ebf4,H,school-timetabling,H,sat,21.41,320.69,803227
b0abaa97c4663edc2048d86de3e2b226,H,school-timetabling,H,unsat,96.88,519.34,
43d40ced32b5be08814ef24f97379654,H,sudoku-php,H,unsat,0.01,4342.06,
f83424f869b61931d720f93e5a12df3c,H,sudoku-php,H,unsat,0.02,10000.00,
ae48df6541d190c096b1e5ba22d1b534,N,2d-strip-packing,N,unsat,59.63,61.70,89966
4f09ef861ee74e50dc101765e1ce27fb,N,algorithm-equivalence-checking,N,unsat,78.40,71.54,11109
8d0d8518a438d93428257d9a38863c3c,N,allowable-seqence,N,sat,18.97,53.14,
d737aeb8e2eb9baed7f007056b3874af,N,argumentation,N,sat,5.55,1.28,
f15a3ce898e0c66f309bf07d73744adf,N,argumentation,N,sat,15.82,7.00,
d0b5d1dc96a5bf33d2c65106c3b179a8,N,generic-csp,N,unsat,33.68,37.71,7150
f497bda3018958d7ba2d1cd99da3982e,N,graph-coloring,N,unsat,83.00,83.08,
1bb9fe12b4fb50e98903ee87a51d6472,N,miter,N,unsat,20.54,17.44,74581
2b8cac8e1f5cad04696004e7fbf5cf2e,N,ntil,N,sat,73.22,50.82,
0be1e12a8e7282d1a4e389bb90f6dbc7,N,or_randxor,N,unsat,23.54,20.26,8093
011984fd82d62d609e776fbf5de75440,N,p-center,N,unsat,0.02,0.01,8620
09637d3bd641b4d733666a862e8918ea,N,planning,N,sat,14.66,23.49,102387
f8443057c188f6c9cfb711ff3d4aa6ff,N,quantum-kochen-specker,N,unsat,76.28,77.76,105706
543e67dd5abc272c37775b1b742a1d9a,N,quasigroup-completion,N,sat,59.05,65.94,542447
ba14be209c2fc064726025f017cef17a,N,school-timetabling,N,sat,36.36,44.33,
f52a349677a5b5b5315b5954b3181fe3,N,school-timetabling,N,sat,31.49,19.17,
920bbe559da4ea37fd636605316a791c,N,set-covering,N,unsat,32.81,34.58,15526
5de866bc7ff4dfde3cd682b5aca75894,N,stable-semantics,N,sat,2.12,6.06,
c557ad9cb79983b9d429c219e3cecbb8,N,stable-semantics,N,unsat,11.27,11.16,
f2c6d035d0aa58cc06927af6be7a821f,N,stable-semantics,N,unsat,54.79,89.26,
91860f79f079fede859034c7d76a98a2,N,station-repacking,N,sat,75.42,27.90,697937
0c9da400944b002f90fd385d4fdab385,N,subsumptiontest,N,sat,21.70,22.64,553495
74931e82fd208ed949fa44bccd80df6b,N,subsumptiontest,N,sat,22.30,21.52,855716
a20f076f7fce54172e823c63ea7948f7,N,van-der-waerden,N,unsat,34.85,26.04,
34360a677fc854189c982294853e6891,X,argumentation,X,sat,1041.81,1.47,
365a02a7d781d655bb2a64d2273a2d0c,X,argumentation,X,sat,72.64,0.83,
80bb5209e88def5643bf5593320b104f,X,argumentation,X,sat,495.86,3.81,
e67d733d9938c565d6359002333611ff,X,argumentation,X,sat,134.54,23.74,13501
57f6bbfc8be5a981322fe9991209aa33,X,ecc-equivalence-checking,X,sat,37.01,8.07,
9c5dd2eb0a40a150c686459a118c720a,X,ecc-equivalence-checking,X,sat,26.38,5.67,
bbcfd33f07cbf6fefa950d8254aa34ce,X,ecc-equivalence-checking,X,sat,46.86,10.60,
ee8c86d39745aea1c1731d4f34bcaed7,X,ecc-equivalence-checking,X,sat,53.70,12.10,
fca71c20202ef404349136c3a00465eb,X,edge-matching,X,sat,341.12,27.19,33572
7d311f620f4ebc4adf8f4079899750eb,X,hamiltonian,X,sat,542.02,57.73,4941
09e0775d2b51c49ec1ec4d214ee7c8c8,X,ntil,X,sat,3990.99,73.90,
8db998d5fd64f85a1847115208f73873,X,stable-semantics,X,sat,98.58,1.11,
97af3e49faef7cf67794928b6690b67c,X,stable-semantics,X,sat,53.23,0.10,
37fa67bd34cc613f3fc6954cdee943c1,X,syndrome-decoding,X,sat,525.75,17.98,
77bfac6b280653e63013f77d0991484e,X,unknown-cases,X,sat,46.08,4.98,4688613
