hash,group,family,particion,dificultad,xz_ok,kissat_ref,k_resueltas,k_resultado,k_t_min,k_t_med,k_t_max,n_vars,n_clauses,gbd_family,track_main,original_filename
0091ac9434f528a4007d82d2443d2dc9,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
00d5a43a481477fa4d56a2ce152a6cfb,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
041bf8c064b4f6f8fabcd2a9793b8c7b,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
05ed64e4e6229f446082752936768489,argumentation,argumentation,dev,media,1,1,3,UNSAT,381.5213259199954,409.89182849499775,412.7824615799982,,,,,
06e46ab0acac57a61638cbb741949a98,argumentation,argumentation,dev,trivial,1,1,3,SAT,0.090494320000289,0.0928401649944135,0.1099200079988804,,,,,
0ae2cbfc4650a25f7bb6230799ac5fbb,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
0c450643a2cae8b6930847a1f350cb7a,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
0cd120446d915157f5de20b4591c02f6,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,4236.000,138265.000,,,
0e5a6438ba6d0cb4ec0f5eb148bce067,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1176.000,13062.000,,,
0f5deb32cec0b574c0d33ce369dde380,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
10253f0a4b37654146aaf73a9fbbd929,argumentation,argumentation,dev,trivial,1,1,3,SAT,0.1024149540025973,0.1464167759986594,0.1580234709981596,,,,,
11f372a2b9b000c972cc44fac873c3c7,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1000.000,25001.000,,,
14a02f66bd1a8414e3dc28e02a623556,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
1567be045c8560c547126eacaf169016,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
16564a6acba6b9fc887c447d4e507767,argumentation,argumentation,test,inestable,1,1,1,SAT,381.7128889009982,800.0,800.0,,,,,
16c192b885060bfb2e91b913974e9ddf,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
1a5a458981cfa79b0cc45c2542eb365f,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
1bee40ee618c670ff327003fbafe132a,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
1c35c510ad106bfcdbc76ff49e710ce6,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
1e87463fee15de63143796fd92d88a58,argumentation,argumentation,excluida,sin-ref,0,0,,,,,,,,,,
1f6cf91464c6a19022144774b162a3cc,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
21c8393ab167357d0ae8040c61338bc0,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
2241a1fb5bdbac0c1a3c1980ed8b332d,argumentation,argumentation,dev,facil,1,1,3,SAT,29.21247226400009,74.72422318500321,84.42385311199905,,,,,
231ede8e3d4a6de75f9eae0e98166789,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
249c4efc2703de73327f590a7db38170,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
2593ce669baab42240c2fb85e807452c,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,800.000,47369.000,,,
26371835e4957bcd50f95ccf79160196,argumentation,argumentation,test,media,1,1,3,SAT,6.032370303000789,274.13884779699583,309.27967488399736,,,,,
275d36e3f246990dccd094e5e1442ba9,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
28d3cbfb7be58cf429e74647274e56ee,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
29bab0de14e56e526be9683131005cb2,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1176.000,13650.000,,,
2a4680a801ad32ab8768030250daf0c8,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
2d49eaa7be6c7be51603c6cc35979da6,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
2eb039a5aa6bfb6e41d3afd41071ca55,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,1002.000,113965.000,,,
2f252070b79029631dff4f93611b4cc9,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
31e0a1733fce00b0945cb2a87c02a49d,argumentation,argumentation,dev,media,1,1,3,SAT,407.5619408469938,568.626230127993,597.1788543700022,,,,,
321af46fd04f1e9170e46ecb0926c019,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
3240a190f6dbb8efa026770a2e8fa602,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
32c3b0f4a8c830425f3954804e72f3cd,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
343ec0a7ec1b919d9151b656ef030f07,argumentation,argumentation,dev,media,1,1,3,UNSAT,295.4740147729972,340.69204036399606,350.10281906500313,990.000,21445.000,,,
34f22180acdb9f648e1cf65a0d3a1760,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
3629ed3e706a3b5604e2c48ac9618e20,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
363022476d1930eeeadf43457b2b3e41,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
384bdf1d5ee9dadc4b377e204e10c821,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,argumentation,test,inestable,1,1,2,SAT,183.51762721100383,602.4329806050009,800.0,,,,,
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,argumentation,test,media,1,1,3,UNSAT,434.4172462619972,440.1612600719964,469.4063789790016,,,,,
40737c2f46512069d54b0d2bb3b47a20,argumentation,argumentation,dev,inestable,1,1,2,UNSAT,732.2431903110046,776.2515334890049,800.0,,,,,
414760c54a9a3432f842f2c16da861d9,argumentation,argumentation,dev,trivial,1,1,3,SAT,0.1191820699968957,0.1269715609960258,0.1426965969949378,,,,,
4214f45042f8c504f9837afaec88bf8f,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
43fbacb24ea30054dece1de179c4ca7e,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
4611cd26b441b8c5866e4a2c5a7952dc,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
465c7f101b2d24de63f6a6f544faa9ee,argumentation,argumentation,test,media,1,1,3,SAT,265.3107977990003,356.3077447390024,358.824137218995,,,,,
476e32a90e5148d173db01a3a6022ea9,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
492ddef8a5868b7daec45354fc975420,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
4b23ab2cc2fc9429a213cc6712919cc3,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
4be4ae25aae88528bc10f8369bba86df,argumentation,argumentation,dev,inestable,1,1,1,UNSAT,790.181071920997,800.0,800.0,802.000,49151.000,,,
4c04274d6c93b04b7edec44b21ec71c0,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
4c6e57f5552d546278e192b6e332635a,argumentation,argumentation,dev,inestable,1,1,1,SAT,63.2344487310038,800.0,800.0,,,,,
4d7f6efbae05b66ffbbd509a430d57f8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
4e992497ac22bfefbaaef1d08baa59a8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1584.000,17254.000,,,
4f896473706813b2f99fd3a4d3ce8441,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
518baf9271c095fd01074c3ce98a1441,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1176.000,13650.000,,,
