instance,status,wall_time_s,conflicts,decisions,propagations,restarts,learned,rephased,reused_pct,stabilizing_pct,chronological_pct,reduced_pct,improvedglue_pct,restartstab_pct
aim200_sat_01.cnf,SAT,0.003,65,260,1985,0,46,0,0.0,0.0,56.92,0.0,39.13,0.0
aim200_sat_02.cnf,SAT,0.003,114,280,2787,1,91,0,0.0,0.0,57.02,0.0,23.08,0.0
aim200_sat_03.cnf,SAT,0.003,65,277,1665,0,49,0,0.0,0.0,63.08,0.0,14.29,0.0
aim200_sat_04.cnf,SAT,0.003,42,212,1301,0,34,0,0.0,0.0,69.05,0.0,26.47,0.0
aim200_unsat_01.cnf,UNSAT,0.003,36,193,518,0,17,0,0.0,0.0,61.11,0.0,11.76,0.0
aim200_unsat_02.cnf,UNSAT,0.003,52,294,838,0,25,0,0.0,0.0,73.08,0.0,36.0,0.0
aim200_unsat_03.cnf,UNSAT,0.003,50,283,875,0,23,0,0.0,0.0,66.0,0.0,13.04,0.0
aim200_unsat_04.cnf,UNSAT,0.003,26,234,618,0,14,0,0.0,0.0,65.38,0.0,14.29,0.0
par16_par16-1.cnf,SAT,0.092,4650,6428,570855,173,4413,2,47.98,30.73,8.26,19.03,18.81,0.58
par16_par16-2.cnf,SAT,0.067,3010,4634,405826,238,2859,2,67.23,43.02,7.97,22.36,17.35,0.42
par16_par16-3.cnf,SAT,0.017,810,1387,103406,60,670,0,33.33,0.0,4.94,10.0,14.03,0.0
par32_par32-1.cnf,TIMEOUT,90.0,,,,,,,,,,,,
par32_par32-2.cnf,TIMEOUT,90.0,,,,,,,,,,,,
php_10_9.cnf,UNSAT,4.469,370842,427834,4822164,13361,362074,26,99.3,38.54,14.3,23.21,35.32,0.45
php_11_10.cnf,UNSAT,62.754,3134556,3563762,43617977,103465,3065265,78,99.68,38.99,13.77,32.06,35.14,0.31
php_12_11.cnf,TIMEOUT,90.0,,,,,,,,,,,,
php_13_12.cnf,TIMEOUT,90.0,,,,,,,,,,,,
php_9_8.cnf,UNSAT,0.454,51727,59776,656132,1667,50654,9,99.16,37.57,15.95,10.23,32.87,0.72
uf250_sat_01.cnf,SAT,0.218,13269,23348,610975,531,12940,4,47.65,38.75,18.81,52.48,22.5,0.56
uf250_sat_02.cnf,SAT,0.532,28015,40681,1231926,654,27348,7,54.13,49.23,16.52,58.13,25.15,1.22
uf250_sat_03.cnf,SAT,0.595,28015,41766,1232697,706,27249,7,50.71,46.62,17.13,54.17,24.31,0.99
uf250_sat_04.cnf,SAT,3.662,115521,169381,4700770,3007,112794,14,53.61,51.94,15.56,55.62,25.07,0.96
uf250_sat_05.cnf,SAT,0.054,3781,5443,162294,76,3645,2,51.32,21.13,18.51,52.47,21.81,0.0
uf250_sat_06.cnf,SAT,0.314,17988,26581,770028,463,17532,5,50.54,43.23,16.46,54.28,23.44,1.08
uf250_sat_07.cnf,SAT,0.52,28010,38309,1202010,508,27315,7,52.36,47.6,16.78,64.72,24.83,1.38
uf250_sat_08.cnf,SAT,0.209,12807,19732,568373,389,12497,4,49.1,34.55,17.25,51.92,23.39,0.77
uuf250_unsat_01.cnf,UNSAT,5.009,194072,261176,7815531,4318,189810,19,62.69,49.3,14.15,62.16,24.75,0.86
uuf250_unsat_02.cnf,UNSAT,5.152,167755,236863,6544888,4740,164098,17,64.32,54.06,13.91,53.41,25.89,0.76
uuf250_unsat_03.cnf,UNSAT,7.622,279402,398488,10836468,7998,273444,23,61.88,48.75,14.13,65.89,24.21,0.73
uuf250_unsat_04.cnf,UNSAT,5.939,198204,269439,8152806,4503,193880,19,63.14,48.18,14.23,62.03,25.13,0.82
uuf250_unsat_05.cnf,UNSAT,5.065,165219,226906,6361940,4174,161722,17,63.34,55.31,13.84,56.79,26.24,0.86
uuf250_unsat_06.cnf,UNSAT,3.827,160528,225097,6575726,4179,156897,17,57.77,47.44,14.29,62.6,24.2,0.72
uuf250_unsat_07.cnf,UNSAT,6.814,248103,344515,9340485,6653,242710,21,65.74,52.19,13.97,64.18,25.09,0.8
uuf250_unsat_08.cnf,UNSAT,4.202,164331,229520,6397353,4288,160651,17,60.77,53.61,14.26,63.43,24.84,0.79
