label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
c0-default-s1,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,allowable-seqence,1,SAT,10,83.113,80.691,181.5,138303,1307534,341944464,6137,11,time,180.0,,28fa1f11c7bc112872bc38b41c973cae244a4ea5,2026-09-21T20:40:59+00:00,4
c0-default-s1,b54b26f38d40a687b6277c49cf85de69.cnf.xz,baseball-lineup,1,HARDKILL,-9,255.062,249.995,618.8,,,,,,time,180.0,,4afccd5561c89c09de25887887843d0a6f8e2bcc,2026-09-21T20:40:59+00:00,4
c0-default-s1,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,cellular-automata,1,TIMEOUT,0,180.031,175.876,248.4,949779,13502525,615088443,28933,24,time,180.0,,b5c70723ca1586626d5eb3a7e051a6d9d0a16afe,2026-09-21T20:40:59+00:00,4
c0-default-s1,8390dca257561c53bf4eb6e158a2285f.cnf.xz,crafted-cec,1,TIMEOUT,0,180.033,174.778,26.1,919306,1528654,631142801,29746,23,time,180.0,,1ba3d8712f6bd3e3a21bbfbefdd1e3bb2c45c74e,2026-09-21T20:40:59+00:00,4
c0-default-s1,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,cryptography-ascon,1,UNSAT,20,144.967,142.482,72.4,126891,252803,616963065,820,11,time,180.0,,31054949882aa50972aed13999254dd4df9ce036,2026-09-21T20:42:22+00:00,4
c0-default-s1,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,cryptography-cbmc,1,UNSAT,20,125.799,123.647,115.7,1469217,7242339,294779943,44466,29,time,180.0,,ce881612efcce9f26661e791f14a48c2b28565c7,2026-09-21T20:43:59+00:00,4
c0-default-s1,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,cryptography,1,TIMEOUT,0,180.030,177.339,30.7,4265371,5126282,332222928,126771,41,time,180.0,,3b1d82d24fdbb842234a9754181ecbf5e7212306,2026-09-21T20:43:59+00:00,4
c0-default-s1,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,diagnosis,1,TIMEOUT,0,180.036,176.760,152.4,476189,3767325,1547716140,17652,18,time,180.0,,de5658bb01f262be15b4d89a89da068b15bc9827,2026-09-21T20:44:47+00:00,4
c0-default-s1,3c4ac805726d78a869ff8116ee3533db.cnf.xz,fpga-routing,1,TIMEOUT,0,180.051,176.872,37.8,8269644,10085505,191843723,199140,46,time,180.0,,ddc4bb1c371fa51c2e472162c85dc052ea56457a,2026-09-21T20:45:14+00:00,4
c0-default-s1,667341ee8c1dea3db613db317e2b2c33.cnf.xz,lights-out,1,TIMEOUT,0,180.017,177.208,20.0,1785486,3091830,269106404,68465,31,time,180.0,,efb910bdc26fb292ee585bbecfb5f87ed223b040,2026-09-21T20:46:04+00:00,4
c0-default-s1,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.035,177.992,43.2,1401699,4689908,1618586736,44659,26,time,180.0,,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-21T20:46:59+00:00,4
c0-default-s1,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.050,177.582,20.3,2958610,5198420,361716736,92291,38,time,180.0,,75415cd0c262c15c2727a2da5c2fa0deb20be4e1,2026-09-21T20:47:47+00:00,4
c0-default-s1,87dbc3302b82c09e19c55059fb943191.cnf.xz,ntil,1,TIMEOUT,0,180.041,176.156,86.4,2947587,6387997,108547514,61883,33,time,180.0,,07d46ffb6f0c974f0854cf540708b92e410e081b,2026-09-21T20:48:14+00:00,4
c0-default-s1,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,ramsey,1,TIMEOUT,0,180.038,176.757,34.3,3057308,6112144,281916100,85918,38,time,180.0,,1d5419563c63f857ef6de3dc74ba2d27cd5058a4,2026-09-21T20:49:04+00:00,4
c0-default-s1,3ed56242f55e3653dbceeb4a70221787.cnf.xz,rbsat,1,TIMEOUT,0,180.010,176.773,26.4,3110394,6546853,593212523,84733,33,time,180.0,,ce9e966de844b1993b61b848b779defc71f648d7,2026-09-21T20:49:59+00:00,4
c0-default-s1,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,school-timetabling,1,TIMEOUT,0,180.011,175.540,42.0,4598244,7967177,1454230547,100486,38,time,180.0,,231d2b3c7c07658b77762cefd8d3474a213e6bf0,2026-09-21T20:50:47+00:00,4
c0-default-s1,5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,sgen-balanced,1,TIMEOUT,0,180.048,176.844,33.8,3463400,5343963,117382559,77648,41,time,180.0,,d7e2c0fe11754cd0d3500a473670e681b0046475,2026-09-21T20:51:14+00:00,4
c0-default-s1,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,trigonometric-functions,1,TIMEOUT,0,180.612,178.334,449.8,502438,4917835,656107030,20937,18,time,180.0,,d5894ffffeba3636b755a2d3a88ed85e424afd90,2026-09-21T20:52:04+00:00,4
c0-default-s1,416e33a8463911546e4cd87d282a7e1e.cnf.xz,unknown-cases,1,SAT,10,126.789,124.976,33.3,2087579,3663212,184054862,56667,33,time,180.0,,b45fa56d4320ce662ccb2a0aa502e09d9f112bc4,2026-09-21T20:52:59+00:00,4
c0-default-s1,c14f0c610d59a9d5e8cec328485b916f.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.012,178.265,48.0,3074546,4239864,78876780,63696,34,time,180.0,,0300abf17e8420b9a4568af25bae358e558fc9de,2026-09-21T20:53:47+00:00,4
