label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
c2-sat,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.050,177.329,183.8,420980,2701108,771762323,1824,17,time,180.0,--sat,28fa1f11c7bc112872bc38b41c973cae244a4ea5,2026-09-21T21:11:12+00:00,4
c2-sat,b54b26f38d40a687b6277c49cf85de69.cnf.xz,baseball-lineup,1,HARDKILL,-9,255.073,250.298,618.8,,,,,,time,180.0,--sat,4afccd5561c89c09de25887887843d0a6f8e2bcc,2026-09-21T21:11:12+00:00,4
c2-sat,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,cellular-automata,1,TIMEOUT,0,180.302,177.454,259.7,1308855,9077983,496215396,4895,27,time,180.0,--sat,b5c70723ca1586626d5eb3a7e051a6d9d0a16afe,2026-09-21T21:11:12+00:00,4
c2-sat,8390dca257561c53bf4eb6e158a2285f.cnf.xz,crafted-cec,1,SAT,10,25.535,24.954,23.2,112920,136843,172424025,414,10,time,180.0,--sat,1ba3d8712f6bd3e3a21bbfbefdd1e3bb2c45c74e,2026-09-21T21:11:12+00:00,4
c2-sat,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,cryptography-ascon,1,UNSAT,20,157.568,154.542,72.7,125762,285288,647580621,119,11,time,180.0,--sat,31054949882aa50972aed13999254dd4df9ce036,2026-09-21T21:11:37+00:00,4
c2-sat,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,cryptography-cbmc,1,UNSAT,20,157.353,155.529,107.3,2273511,5450646,266406111,7736,32,time,180.0,--sat,ce881612efcce9f26661e791f14a48c2b28565c7,2026-09-21T21:14:12+00:00,4
c2-sat,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,cryptography,1,TIMEOUT,0,180.008,177.760,21.9,4399365,4497819,352588492,10437,41,time,180.0,--sat,3b1d82d24fdbb842234a9754181ecbf5e7212306,2026-09-21T21:14:12+00:00,4
c2-sat,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,diagnosis,1,TIMEOUT,0,180.066,175.925,159.9,614356,2949181,1438329629,3327,18,time,180.0,--sat,de5658bb01f262be15b4d89a89da068b15bc9827,2026-09-21T21:14:15+00:00,4
c2-sat,3c4ac805726d78a869ff8116ee3533db.cnf.xz,fpga-routing,1,TIMEOUT,0,180.024,178.092,32.4,7359427,8568095,155049316,26872,47,time,180.0,--sat,ddc4bb1c371fa51c2e472162c85dc052ea56457a,2026-09-21T21:15:27+00:00,4
c2-sat,667341ee8c1dea3db613db317e2b2c33.cnf.xz,lights-out,1,TIMEOUT,0,180.045,177.625,20.0,1590064,1853307,258086752,5514,30,time,180.0,--sat,efb910bdc26fb292ee585bbecfb5f87ed223b040,2026-09-21T21:16:49+00:00,4
c2-sat,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.055,177.013,45.0,1549734,2486593,1516992565,6157,27,time,180.0,--sat,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-21T21:17:12+00:00,4
c2-sat,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.052,176.666,21.3,2997606,3646299,352763263,11487,36,time,180.0,--sat,75415cd0c262c15c2727a2da5c2fa0deb20be4e1,2026-09-21T21:17:15+00:00,4
c2-sat,87dbc3302b82c09e19c55059fb943191.cnf.xz,ntil,1,TIMEOUT,0,180.048,177.666,110.8,2894245,4399623,101575865,8618,34,time,180.0,--sat,07d46ffb6f0c974f0854cf540708b92e410e081b,2026-09-21T21:18:27+00:00,4
c2-sat,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,ramsey,1,TIMEOUT,0,180.029,177.256,35.5,3268715,4490901,275985939,11583,38,time,180.0,--sat,1d5419563c63f857ef6de3dc74ba2d27cd5058a4,2026-09-21T21:19:49+00:00,4
c2-sat,3ed56242f55e3653dbceeb4a70221787.cnf.xz,rbsat,1,SAT,10,21.662,21.374,23.4,439444,800664,94626371,1682,17,time,180.0,--sat,ce9e966de844b1993b61b848b779defc71f648d7,2026-09-21T21:20:12+00:00,4
c2-sat,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,school-timetabling,1,UNSAT,20,152.931,149.825,48.1,3457851,4675749,1003914644,11242,35,time,180.0,--sat,231d2b3c7c07658b77762cefd8d3474a213e6bf0,2026-09-21T21:20:15+00:00,4
c2-sat,5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,sgen-balanced,1,TIMEOUT,0,180.015,177.496,38.2,3555858,4284231,117905704,9453,41,time,180.0,--sat,d7e2c0fe11754cd0d3500a473670e681b0046475,2026-09-21T21:20:34+00:00,4
c2-sat,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,trigonometric-functions,1,TIMEOUT,0,180.442,176.988,471.4,575078,2742859,666758107,2866,18,time,180.0,--sat,d5894ffffeba3636b755a2d3a88ed85e424afd90,2026-09-21T21:21:27+00:00,4
c2-sat,416e33a8463911546e4cd87d282a7e1e.cnf.xz,unknown-cases,1,SAT,10,123.395,121.930,34.1,2217920,2665873,192083352,6775,32,time,180.0,--sat,b45fa56d4320ce662ccb2a0aa502e09d9f112bc4,2026-09-21T21:22:48+00:00,4
c2-sat,c14f0c610d59a9d5e8cec328485b916f.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.023,177.874,50.3,3151930,3895621,79920099,10965,36,time,180.0,--sat,0300abf17e8420b9a4568af25bae358e558fc9de,2026-09-21T21:22:49+00:00,4
