label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
c4-focused,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.247,178.050,188.8,343630,3968320,759524106,30724,0,time,180.0,--stable=0,28fa1f11c7bc112872bc38b41c973cae244a4ea5,2026-09-21T21:25:50+00:00,4
c4-focused,b54b26f38d40a687b6277c49cf85de69.cnf.xz,baseball-lineup,1,TIMEOUT,0,187.008,184.669,840.6,0,0,1294127290,0,0,time,180.0,--stable=0,4afccd5561c89c09de25887887843d0a6f8e2bcc,2026-09-21T21:25:50+00:00,4
c4-focused,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,cellular-automata,1,TIMEOUT,0,180.046,177.902,235.5,735688,23361912,773775136,60084,0,time,180.0,--stable=0,b5c70723ca1586626d5eb3a7e051a6d9d0a16afe,2026-09-21T21:25:50+00:00,4
c4-focused,8390dca257561c53bf4eb6e158a2285f.cnf.xz,crafted-cec,1,SAT,10,49.281,48.056,23.2,234158,631239,286636562,16673,0,time,180.0,--stable=0,1ba3d8712f6bd3e3a21bbfbefdd1e3bb2c45c74e,2026-09-21T21:25:50+00:00,4
c4-focused,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,cryptography-ascon,1,UNSAT,20,150.603,147.111,79.5,107092,294967,666823843,2946,0,time,180.0,--stable=0,31054949882aa50972aed13999254dd4df9ce036,2026-09-21T21:26:39+00:00,4
c4-focused,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,cryptography-cbmc,1,UNSAT,20,71.212,70.452,107.1,621742,7082155,295109649,47343,0,time,180.0,--stable=0,ce881612efcce9f26661e791f14a48c2b28565c7,2026-09-21T21:28:50+00:00,4
c4-focused,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,cryptography,1,TIMEOUT,0,180.054,177.538,20.0,4514427,6452259,339587639,265353,0,time,180.0,--stable=0,3b1d82d24fdbb842234a9754181ecbf5e7212306,2026-09-21T21:28:50+00:00,4
c4-focused,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,diagnosis,1,TIMEOUT,0,180.124,177.276,146.7,358605,5227423,1805373153,29503,0,time,180.0,--stable=0,de5658bb01f262be15b4d89a89da068b15bc9827,2026-09-21T21:28:57+00:00,4
c4-focused,3c4ac805726d78a869ff8116ee3533db.cnf.xz,fpga-routing,1,TIMEOUT,0,180.034,177.281,32.8,10657048,13846938,263506570,410158,0,time,180.0,--stable=0,ddc4bb1c371fa51c2e472162c85dc052ea56457a,2026-09-21T21:29:09+00:00,4
c4-focused,667341ee8c1dea3db613db317e2b2c33.cnf.xz,lights-out,1,TIMEOUT,0,180.035,177.988,21.9,1184065,2971969,206156994,95103,0,time,180.0,--stable=0,efb910bdc26fb292ee585bbecfb5f87ed223b040,2026-09-21T21:30:01+00:00,4
c4-focused,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.029,177.525,42.8,1306044,8820735,1650006153,95757,0,time,180.0,--stable=0,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-21T21:31:50+00:00,4
c4-focused,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.049,177.781,20.0,2484708,6030625,306919347,163390,0,time,180.0,--stable=0,75415cd0c262c15c2727a2da5c2fa0deb20be4e1,2026-09-21T21:31:57+00:00,4
c4-focused,87dbc3302b82c09e19c55059fb943191.cnf.xz,ntil,1,SAT,10,16.113,15.715,79.4,264231,441890,9014168,8563,0,time,180.0,--stable=0,07d46ffb6f0c974f0854cf540708b92e410e081b,2026-09-21T21:32:09+00:00,4
c4-focused,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,ramsey,1,UNSAT,20,142.352,139.555,24.3,2576105,7126742,239365144,152502,0,time,180.0,--stable=0,1d5419563c63f857ef6de3dc74ba2d27cd5058a4,2026-09-21T21:32:26+00:00,4
c4-focused,3ed56242f55e3653dbceeb4a70221787.cnf.xz,rbsat,1,SAT,10,177.343,175.037,21.9,3698781,8971763,704720805,149649,0,time,180.0,--stable=0,ce9e966de844b1993b61b848b779defc71f648d7,2026-09-21T21:33:01+00:00,4
c4-focused,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,school-timetabling,1,UNSAT,20,68.070,66.952,29.0,1817264,6444569,489776708,75010,0,time,180.0,--stable=0,231d2b3c7c07658b77762cefd8d3474a213e6bf0,2026-09-21T21:34:48+00:00,4
c4-focused,5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,sgen-balanced,1,TIMEOUT,0,180.051,177.924,32.0,3674918,7938884,129457252,214843,0,time,180.0,--stable=0,d7e2c0fe11754cd0d3500a473670e681b0046475,2026-09-21T21:34:50+00:00,4
c4-focused,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,trigonometric-functions,1,TIMEOUT,0,180.063,177.937,406.7,525646,10598070,776659164,44985,0,time,180.0,--stable=0,d5894ffffeba3636b755a2d3a88ed85e424afd90,2026-09-21T21:34:57+00:00,4
c4-focused,416e33a8463911546e4cd87d282a7e1e.cnf.xz,unknown-cases,1,SAT,10,53.671,52.791,20.0,1012826,2677182,102600267,63421,0,time,180.0,--stable=0,b45fa56d4320ce662ccb2a0aa502e09d9f112bc4,2026-09-21T21:35:56+00:00,4
c4-focused,c14f0c610d59a9d5e8cec328485b916f.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.018,177.759,44.9,3435409,4617956,84303098,119156,0,time,180.0,--stable=0,0300abf17e8420b9a4568af25bae358e558fc9de,2026-09-21T21:35:58+00:00,4
