label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
c6-plain,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.060,177.229,188.3,507931,2500153,1176233076,151,0,time,180.0,--plain,28fa1f11c7bc112872bc38b41c973cae244a4ea5,2026-09-21T21:38:58+00:00,4
c6-plain,b54b26f38d40a687b6277c49cf85de69.cnf.xz,baseball-lineup,1,HARDKILL,-9,255.055,250.146,579.5,,,,,,time,180.0,--plain,4afccd5561c89c09de25887887843d0a6f8e2bcc,2026-09-21T21:38:58+00:00,4
c6-plain,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,cellular-automata,1,TIMEOUT,0,180.045,177.993,163.0,771455,1988666,1170414433,237,0,time,180.0,--plain,b5c70723ca1586626d5eb3a7e051a6d9d0a16afe,2026-09-21T21:38:58+00:00,4
c6-plain,8390dca257561c53bf4eb6e158a2285f.cnf.xz,crafted-cec,1,TIMEOUT,0,180.014,177.655,20.0,397004,419030,2079634846,126,0,time,180.0,--plain,1ba3d8712f6bd3e3a21bbfbefdd1e3bb2c45c74e,2026-09-21T21:38:58+00:00,4
c6-plain,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,cryptography-ascon,1,UNSAT,20,179.896,177.121,53.4,332744,11459347,1325389146,122,0,time,180.0,--plain,31054949882aa50972aed13999254dd4df9ce036,2026-09-21T21:41:58+00:00,4
c6-plain,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,cryptography-cbmc,1,TIMEOUT,0,180.045,176.266,86.7,1749868,3099871,2244269020,467,0,time,180.0,--plain,ce881612efcce9f26661e791f14a48c2b28565c7,2026-09-21T21:41:58+00:00,4
c6-plain,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,cryptography,1,TIMEOUT,0,180.030,177.260,20.0,3528160,3587186,708264829,815,0,time,180.0,--plain,3b1d82d24fdbb842234a9754181ecbf5e7212306,2026-09-21T21:41:58+00:00,4
c6-plain,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,diagnosis,1,TIMEOUT,0,180.044,177.780,85.0,172468,558472,3018517645,62,0,time,180.0,--plain,de5658bb01f262be15b4d89a89da068b15bc9827,2026-09-21T21:43:13+00:00,4
c6-plain,3c4ac805726d78a869ff8116ee3533db.cnf.xz,fpga-routing,1,TIMEOUT,0,180.042,178.119,20.0,6408233,7480694,120810821,1324,0,time,180.0,--plain,ddc4bb1c371fa51c2e472162c85dc052ea56457a,2026-09-21T21:44:58+00:00,4
c6-plain,667341ee8c1dea3db613db317e2b2c33.cnf.xz,lights-out,1,TIMEOUT,0,180.014,176.324,20.0,1069917,1261481,502607519,268,0,time,180.0,--plain,efb910bdc26fb292ee585bbecfb5f87ed223b040,2026-09-21T21:44:58+00:00,4
c6-plain,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.015,177.702,24.7,1708153,1942648,1612335255,447,0,time,180.0,--plain,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-21T21:44:58+00:00,4
c6-plain,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.033,178.339,20.0,1906215,2247779,710891115,508,0,time,180.0,--plain,75415cd0c262c15c2727a2da5c2fa0deb20be4e1,2026-09-21T21:46:13+00:00,4
c6-plain,87dbc3302b82c09e19c55059fb943191.cnf.xz,ntil,1,TIMEOUT,0,180.012,178.167,52.6,4341946,5911184,140154083,1020,0,time,180.0,--plain,07d46ffb6f0c974f0854cf540708b92e410e081b,2026-09-21T21:47:58+00:00,4
c6-plain,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,ramsey,1,TIMEOUT,0,180.048,177.056,24.0,3098398,3532386,944147404,733,0,time,180.0,--plain,1d5419563c63f857ef6de3dc74ba2d27cd5058a4,2026-09-21T21:47:58+00:00,4
c6-plain,3ed56242f55e3653dbceeb4a70221787.cnf.xz,rbsat,1,SAT,10,107.381,105.341,20.0,2744351,3991054,277199628,636,0,time,180.0,--plain,ce9e966de844b1993b61b848b779defc71f648d7,2026-09-21T21:47:58+00:00,4
c6-plain,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,school-timetabling,1,TIMEOUT,0,180.046,177.963,29.3,4663945,6096123,193398300,1021,0,time,180.0,--plain,231d2b3c7c07658b77762cefd8d3474a213e6bf0,2026-09-21T21:49:13+00:00,4
c6-plain,5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,sgen-balanced,1,TIMEOUT,0,180.007,177.473,20.0,3211799,3640387,106618716,764,0,time,180.0,--plain,d7e2c0fe11754cd0d3500a473670e681b0046475,2026-09-21T21:49:46+00:00,4
c6-plain,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,trigonometric-functions,1,TIMEOUT,0,180.063,177.825,242.8,1154158,2545456,1165891093,299,0,time,180.0,--plain,d5894ffffeba3636b755a2d3a88ed85e424afd90,2026-09-21T21:50:58+00:00,4
c6-plain,416e33a8463911546e4cd87d282a7e1e.cnf.xz,unknown-cases,1,TIMEOUT,0,180.041,176.831,20.0,2669954,3092280,289277505,619,0,time,180.0,--plain,b45fa56d4320ce662ccb2a0aa502e09d9f112bc4,2026-09-21T21:50:58+00:00,4
c6-plain,c14f0c610d59a9d5e8cec328485b916f.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.043,178.421,20.0,4621335,5568330,280208276,1021,0,time,180.0,--plain,0300abf17e8420b9a4568af25bae358e558fc9de,2026-09-21T21:52:13+00:00,4
