instance,variables,clauses
09637d3bd641b4d733666a862e8918ea.cnf.xz,12662,102387
09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,342,339679
0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,1200,8093
0c9da400944b002f90fd385d4fdab385.cnf.xz,568,553495
12cd0c3196589ac8105653cbfe613fc6.cnf.xz,5096,80213
15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,450,20035
15e666a42158e3304fc3979de28a5e44.cnf.xz,4600,43812
1890f49a43a94b97828528b68c32b78e.cnf.xz,220,1122
1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,11680,74581
1f81f7e009f501014cb23a8c2d41836f.cnf.xz,381708,1632906
2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,289,242594
365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,5428,5721464
3c4ac805726d78a869ff8116ee3533db.cnf.xz,308,2030
3e912cd2a499b8f956246b866e2f9f64.cnf.xz,1854,27024
3ed56242f55e3653dbceeb4a70221787.cnf.xz,945,61409
416e33a8463911546e4cd87d282a7e1e.cnf.xz,600,5405
4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,126976,296954
4e0de894799790b06e8d6c3efd109ade.cnf.xz,17518343,46807839
4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,2856,11109
543e67dd5abc272c37775b1b742a1d9a.cnf.xz,25162,542447
5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,268423,1575975
5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,320,30726
5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,201,707
5faba478cb08194407b5ec957ab08599.cnf.xz,70581,1424854
667341ee8c1dea3db613db317e2b2c33.cnf.xz,2279,7529
6add7e416c1126607afeb2666af330ac.cnf.xz,2240,53398
6d815089fb4095208754622b4c44a8f7.cnf.xz,5892,23367
6e297bdb1c3f957f6333c37804805ecb.cnf.xz,315093,1546049
6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,190686,3046181
74931e82fd208ed949fa44bccd80df6b.cnf.xz,862,855716
75429ff7acb5acb597abe01aa745c2a6.cnf.xz,250,1000
7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,3648,12160
7fa502dfce37c37c1cafd50b3fba263f.cnf.xz,53487,79819
80bb5209e88def5643bf5593320b104f.cnf.xz,12350,25473117
8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,322,1127
8390dca257561c53bf4eb6e158a2285f.cnf.xz,30503,91448
87dbc3302b82c09e19c55059fb943191.cnf.xz,361,401368
8d0d8518a438d93428257d9a38863c3c.cnf.xz,13211,122177
8db998d5fd64f85a1847115208f73873.cnf.xz,4165,7173053
91860f79f079fede859034c7d76a98a2.cnf.xz,29183,697937
9d20bb1bd01838d70177ffd3aa284aeb.cnf.xz,296051,968713
9ef9243ff051b32795890fccd6c3f6b2.cnf.xz,43977,215320
a789d0722f1aa0d44c5a38b374719c69.cnf.xz,10531100,28326357
ac6256657058fe65dc7ddaf773ab83bf.cnf.xz,381577,2675221
ae48df6541d190c096b1e5ba22d1b534.cnf.xz,6664,89966
b0abaa97c4663edc2048d86de3e2b226.cnf.xz,16520,219007
b54b26f38d40a687b6277c49cf85de69.cnf.xz,3560698,7121306
bbcfd33f07cbf6fefa950d8254aa34ce.cnf.xz,12127943,32405039
bd0b055b890a9ace598a0c4aba40de30.cnf.xz,618715,2626081
bf8c8761003704e761ce36db6665f741.cnf.xz,6087,946106
c14f0c610d59a9d5e8cec328485b916f.cnf.xz,322,7723
cb2e8b7fada420c5046f587ea754d052.cnf.xz,180,3160
d699355595398f0765c5f51c9d0ad852.cnf.xz,178500,43869358
dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,14650,115755
dd5d530ac8bf0019412d023488b075eb.cnf.xz,4220,16220
e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,23931,298759
e85fb114c33f450dc2622c78bc6fa019.cnf.xz,32170813,82175657
ee8c86d39745aea1c1731d4f34bcaed7.cnf.xz,13475543,36005739
f497bda3018958d7ba2d1cd99da3982e.cnf.xz,2300,21816
fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,2777,9204
