label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
A-default,2ae678a4f0b8097615160a440efbe08e.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.031,177.414,370.2,250730,2822312,800887361,10299,14,time,180.0,,b48b5f971deff2078dd19e2d7dac2de26ff101d5,2026-09-22T13:53:50+00:00,1
A-default,a78606fdfd6cf6ee8358bd35fa833be6.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.065,177.542,98.0,1138946,7880285,877086103,38529,27,time,180.0,,a214207f0b4c6223757452f96d8429224b4ff7ea,2026-09-22T13:56:50+00:00,1
A-default,ad6bc2d583c43ff9ef00faad7e29a9c2.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.033,177.372,254.8,219511,1898271,737298793,8151,13,time,180.0,,1107e1b70603a79d958a1a2ede9f818a5824148b,2026-09-22T13:59:50+00:00,1
A-default,2bb63853a9b8b9b9327a142210a9f437.cnf.xz,argumentation,1,SAT,10,0.603,0.604,65.2,0,0,3896,0,0,time,180.0,,bf19715713fe857f8a6f205b42345e745d051dfb,2026-09-22T14:02:50+00:00,1
A-default,3b608084b3caae2e9517a2d58cdcd275.cnf.xz,argumentation,1,SAT,10,0.904,0.908,98.9,0,0,4660,0,0,time,180.0,,813af5e6d7c4bd88bb9a9bcb4bab7740b081d868,2026-09-22T14:02:51+00:00,1
A-default,af8248aa34c4803bfc0add954cf2e620.cnf.xz,argumentation,1,SAT,10,0.803,0.806,99.4,0,0,8400,0,0,time,180.0,,e74f709b7770bc6b939f2a729fc1ddf0d81f0677,2026-09-22T14:02:52+00:00,1
A-default,180e6d8b61fe6bab26126b78591e324e.cnf.xz,baseball-lineup,1,HARDKILL,-9,255.055,250.761,583.1,,,,,,time,180.0,,444c75b04fd4071ae8b779ba1c43ad1e9c588851,2026-09-22T14:02:52+00:00,1
A-default,147ae051ca727d5b2af87223b2299fbe.cnf.xz,boxfolding,1,TIMEOUT,0,180.032,177.257,56.2,2180902,7924068,716403465,67851,33,time,180.0,,9a96802149dc04cfe695bfb59e6113ed4e5d3884,2026-09-22T14:07:07+00:00,1
A-default,9a4837429c656a71283b8d5bb41c05a7.cnf.xz,boxfolding,1,TIMEOUT,0,180.036,177.155,62.9,2063029,8022060,737271446,66721,31,time,180.0,,3c5f29f97ad319ec1720e69ccf1dbafa793bcf4a,2026-09-22T14:10:07+00:00,1
A-default,2027301e88cb029e4b47b747da8a180a.cnf.xz,chnl,1,TIMEOUT,0,180.029,177.444,144.8,4995848,14379840,297531001,24294,41,time,180.0,,9cb402e3e83069672c90c93efd5dbb27c0f6e650,2026-09-22T14:13:08+00:00,1
A-default,8fcde459f828e0df9672933e68fa1af2.cnf.xz,chnl,1,TIMEOUT,0,180.055,177.397,87.3,6076388,8447092,511838334,105611,44,time,180.0,,0c188c92dded497c0977a0a10f7864d8a38f29ef,2026-09-22T14:16:08+00:00,1
A-default,4aab4f954196d3277d9ca7b17c52acca.cnf.xz,clique-coloring,1,TIMEOUT,0,180.033,177.259,82.9,5862116,46256777,313395946,104783,48,time,180.0,,61760b81be71e0e19225e2fa08760801b14e7a74,2026-09-22T14:19:08+00:00,1
A-default,727ebce936c010888c7f71f00885e643.cnf.xz,count,1,TIMEOUT,0,180.020,177.443,38.1,5785984,8925895,156962102,105892,47,time,180.0,,ae8d2b64cfd179fd59182856040e49a39a45def3,2026-09-22T14:22:08+00:00,1
A-default,59b585a33d30e6b7a476ed52a3f0384d.cnf.xz,cril-misc,1,TIMEOUT,0,180.073,177.994,1847.8,95895,581699,258435710,2002,10,time,180.0,,57f814ec7ef486ec80a53908b68ff7f4af8b8c96,2026-09-22T14:25:08+00:00,1
A-default,276c46723eeb15ec37be224fbbd67574.cnf.xz,cryptography,1,TIMEOUT,0,180.040,177.508,67.5,2769028,22584940,456041679,72819,36,time,180.0,,ec6296965ea326483fad037f59295262d417b311,2026-09-22T14:28:08+00:00,1
A-default,2bbc3327d89b59591b89b5d5a486f037.cnf.xz,cryptography,1,TIMEOUT,0,180.042,177.695,43.9,2678354,42115954,377643724,89065,37,time,180.0,,5517808789ba1385303aeed6150456c0aa9c5611,2026-09-22T14:31:08+00:00,1
A-default,5e1f1759de9bf931a8e26dbe7dd5b212.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.077,177.593,791.6,68659,874023,1414071770,1014,9,time,180.0,,941eae3ff8d1374e0a4939f9e80658dad258f8fd,2026-09-22T14:34:08+00:00,1
A-default,8456155de4cd22425ec479f75af089c2.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.046,177.919,978.2,135333,1060293,1576996275,4128,11,time,180.0,,ecbf442c44c461beedb0d84e043acaf86345cb90,2026-09-22T14:37:08+00:00,1
A-default,da34db9ea6b524f13708357f38432bb6.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.071,177.824,778.8,82739,949637,1032994729,962,10,time,180.0,,21d83e973d696b3c9a1fc62b9c7aff00c3362293,2026-09-22T14:40:08+00:00,1
