label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
B-luckyminvars50k,2ae678a4f0b8097615160a440efbe08e.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.065,178.218,370.1,264666,3086455,831755925,12252,14,time,180.0,--luckyminvars=50000,b48b5f971deff2078dd19e2d7dac2de26ff101d5,2026-09-22T16:21:01+00:00,1
B-luckyminvars50k,a78606fdfd6cf6ee8358bd35fa833be6.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.044,178.252,98.0,1167421,7989636,894040791,38535,27,time,180.0,--luckyminvars=50000,a214207f0b4c6223757452f96d8429224b4ff7ea,2026-09-22T16:24:01+00:00,1
B-luckyminvars50k,ad6bc2d583c43ff9ef00faad7e29a9c2.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.056,178.179,255.0,226915,1962762,764402079,8450,13,time,180.0,--luckyminvars=50000,1107e1b70603a79d958a1a2ede9f818a5824148b,2026-09-22T16:27:01+00:00,1
B-luckyminvars50k,2bb63853a9b8b9b9327a142210a9f437.cnf.xz,argumentation,1,SAT,10,1.104,1.116,89.6,2,11,606,0,0,time,180.0,--luckyminvars=50000,bf19715713fe857f8a6f205b42345e745d051dfb,2026-09-22T16:30:02+00:00,1
B-luckyminvars50k,3b608084b3caae2e9517a2d58cdcd275.cnf.xz,argumentation,1,SAT,10,2.612,2.614,151.3,100,447,15809,0,0,time,180.0,--luckyminvars=50000,813af5e6d7c4bd88bb9a9bcb4bab7740b081d868,2026-09-22T16:30:03+00:00,1
B-luckyminvars50k,af8248aa34c4803bfc0add954cf2e620.cnf.xz,argumentation,1,SAT,10,11.394,11.283,182.2,0,2586,65087,0,0,time,180.0,--luckyminvars=50000,e74f709b7770bc6b939f2a729fc1ddf0d81f0677,2026-09-22T16:30:05+00:00,1
B-luckyminvars50k,180e6d8b61fe6bab26126b78591e324e.cnf.xz,baseball-lineup,1,HARDKILL,-9,255.073,252.696,583.6,,,,,,time,180.0,--luckyminvars=50000,444c75b04fd4071ae8b779ba1c43ad1e9c588851,2026-09-22T16:30:17+00:00,1
B-luckyminvars50k,147ae051ca727d5b2af87223b2299fbe.cnf.xz,boxfolding,1,TIMEOUT,0,180.028,178.030,44.9,2292864,8224705,737073946,71612,34,time,180.0,--luckyminvars=50000,9a96802149dc04cfe695bfb59e6113ed4e5d3884,2026-09-22T16:34:32+00:00,1
B-luckyminvars50k,9a4837429c656a71283b8d5bb41c05a7.cnf.xz,boxfolding,1,TIMEOUT,0,180.007,177.937,63.1,2081321,8130630,768838196,69419,31,time,180.0,--luckyminvars=50000,3c5f29f97ad319ec1720e69ccf1dbafa793bcf4a,2026-09-22T16:37:32+00:00,1
B-luckyminvars50k,2027301e88cb029e4b47b747da8a180a.cnf.xz,chnl,1,TIMEOUT,0,180.057,178.186,153.0,5017652,12105556,285231605,21074,41,time,180.0,--luckyminvars=50000,9cb402e3e83069672c90c93efd5dbb27c0f6e650,2026-09-22T16:40:32+00:00,1
B-luckyminvars50k,8fcde459f828e0df9672933e68fa1af2.cnf.xz,chnl,1,TIMEOUT,0,180.012,177.901,91.2,6667145,10157707,511027782,103983,47,time,180.0,--luckyminvars=50000,0c188c92dded497c0977a0a10f7864d8a38f29ef,2026-09-22T16:43:32+00:00,1
B-luckyminvars50k,4aab4f954196d3277d9ca7b17c52acca.cnf.xz,clique-coloring,1,TIMEOUT,0,180.040,178.168,77.2,6163527,50891526,340972312,112062,50,time,180.0,--luckyminvars=50000,61760b81be71e0e19225e2fa08760801b14e7a74,2026-09-22T16:46:32+00:00,1
B-luckyminvars50k,727ebce936c010888c7f71f00885e643.cnf.xz,count,1,TIMEOUT,0,180.013,177.973,45.3,5815056,9068144,154483867,117480,47,time,180.0,--luckyminvars=50000,ae8d2b64cfd179fd59182856040e49a39a45def3,2026-09-22T16:49:32+00:00,1
B-luckyminvars50k,59b585a33d30e6b7a476ed52a3f0384d.cnf.xz,cril-misc,1,TIMEOUT,0,181.414,179.449,1847.8,95859,581567,256320432,2002,10,time,180.0,--luckyminvars=50000,57f814ec7ef486ec80a53908b68ff7f4af8b8c96,2026-09-22T16:52:32+00:00,1
B-luckyminvars50k,276c46723eeb15ec37be224fbbd67574.cnf.xz,cryptography,1,TIMEOUT,0,180.039,178.178,46.6,2859796,22893856,426880680,71959,37,time,180.0,--luckyminvars=50000,ec6296965ea326483fad037f59295262d417b311,2026-09-22T16:55:33+00:00,1
B-luckyminvars50k,2bbc3327d89b59591b89b5d5a486f037.cnf.xz,cryptography,1,TIMEOUT,0,180.023,177.657,39.9,2701121,42744960,382416502,89720,37,time,180.0,--luckyminvars=50000,5517808789ba1385303aeed6150456c0aa9c5611,2026-09-22T16:58:33+00:00,1
B-luckyminvars50k,5e1f1759de9bf931a8e26dbe7dd5b212.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.040,178.354,791.5,67008,793130,1130902093,841,9,time,180.0,--luckyminvars=50000,941eae3ff8d1374e0a4939f9e80658dad258f8fd,2026-09-22T17:01:33+00:00,1
B-luckyminvars50k,8456155de4cd22425ec479f75af089c2.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.180,178.617,978.1,124320,1035746,1503403597,4128,11,time,180.0,--luckyminvars=50000,ecbf442c44c461beedb0d84e043acaf86345cb90,2026-09-22T17:04:33+00:00,1
B-luckyminvars50k,da34db9ea6b524f13708357f38432bb6.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.045,178.517,778.9,82771,949673,1033018856,962,10,time,180.0,--luckyminvars=50000,21d83e973d696b3c9a1fc62b9c7aff00c3362293,2026-09-22T17:07:34+00:00,1
