label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
B-terminator,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,allowable-seqence,1,SAT,10,81.537,80.159,181.8,138303,1307534,341944464,6137,11,time,180.0,,28fa1f11c7bc112872bc38b41c973cae244a4ea5,2026-09-23T03:15:12+00:00,4
B-terminator,b54b26f38d40a687b6277c49cf85de69.cnf.xz,baseball-lineup,1,TIMEOUT,0,180.088,178.118,840.7,0,0,1262875399,0,0,time,180.0,,4afccd5561c89c09de25887887843d0a6f8e2bcc,2026-09-23T03:15:12+00:00,4
B-terminator,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,cellular-automata,1,TIMEOUT,0,180.055,177.153,248.6,970106,13608429,622474563,29429,24,time,180.0,,b5c70723ca1586626d5eb3a7e051a6d9d0a16afe,2026-09-23T03:15:12+00:00,4
B-terminator,8390dca257561c53bf4eb6e158a2285f.cnf.xz,crafted-cec,1,TIMEOUT,0,180.043,177.827,25.9,976970,1598547,656919462,30727,24,time,180.0,,1ba3d8712f6bd3e3a21bbfbefdd1e3bb2c45c74e,2026-09-23T03:15:12+00:00,4
B-terminator,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,cryptography-ascon,1,UNSAT,20,140.814,139.045,72.4,126891,252803,616963065,820,11,time,180.0,,31054949882aa50972aed13999254dd4df9ce036,2026-09-23T03:16:34+00:00,4
B-terminator,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,cryptography-cbmc,1,UNSAT,20,118.630,117.881,115.7,1469217,7242339,294779943,44466,29,time,180.0,,ce881612efcce9f26661e791f14a48c2b28565c7,2026-09-23T03:18:12+00:00,4
B-terminator,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,cryptography,1,TIMEOUT,0,180.005,178.152,30.7,4453199,5322488,345627479,128148,42,time,180.0,,3b1d82d24fdbb842234a9754181ecbf5e7212306,2026-09-23T03:18:12+00:00,4
B-terminator,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,diagnosis,1,TIMEOUT,0,180.024,178.391,152.6,504069,3889521,1635148816,18331,19,time,180.0,,de5658bb01f262be15b4d89a89da068b15bc9827,2026-09-23T03:18:12+00:00,4
B-terminator,3c4ac805726d78a869ff8116ee3533db.cnf.xz,fpga-routing,1,TIMEOUT,0,180.038,177.340,37.9,8588760,10471802,199151319,207889,46,time,180.0,,ddc4bb1c371fa51c2e472162c85dc052ea56457a,2026-09-23T03:18:54+00:00,4
B-terminator,667341ee8c1dea3db613db317e2b2c33.cnf.xz,lights-out,1,TIMEOUT,0,180.027,178.995,22.5,1930538,3288765,285801719,70585,32,time,180.0,,efb910bdc26fb292ee585bbecfb5f87ed223b040,2026-09-23T03:20:11+00:00,4
B-terminator,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.053,178.507,41.1,1491821,5128948,1701031702,50482,27,time,180.0,,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-23T03:21:12+00:00,4
B-terminator,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.039,178.560,22.6,3143003,5410004,384979047,92347,39,time,180.0,,75415cd0c262c15c2727a2da5c2fa0deb20be4e1,2026-09-23T03:21:12+00:00,4
B-terminator,87dbc3302b82c09e19c55059fb943191.cnf.xz,ntil,1,TIMEOUT,0,180.009,177.295,86.6,3063053,7054856,114386091,71164,34,time,180.0,,07d46ffb6f0c974f0854cf540708b92e410e081b,2026-09-23T03:21:55+00:00,4
B-terminator,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,ramsey,1,TIMEOUT,0,180.032,178.076,34.3,3231743,6570614,296172406,97228,39,time,180.0,,1d5419563c63f857ef6de3dc74ba2d27cd5058a4,2026-09-23T03:23:11+00:00,4
B-terminator,3ed56242f55e3653dbceeb4a70221787.cnf.xz,rbsat,1,TIMEOUT,0,180.051,178.634,26.5,3262620,6779883,620201833,85457,34,time,180.0,,ce9e966de844b1993b61b848b779defc71f648d7,2026-09-23T03:24:12+00:00,4
B-terminator,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,school-timetabling,1,TIMEOUT,0,180.057,178.213,42.0,4786201,8177820,1507177317,101357,39,time,180.0,,231d2b3c7c07658b77762cefd8d3474a213e6bf0,2026-09-23T03:24:12+00:00,4
