label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
A-blind,776ff89b72b0f6290d69af6f95e13182.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.040,178.087,67.1,1593442,8514993,769834821,44664,30,time,180.0,,aaee6c60ac9061b9a345a4663e50e279b99f2152,2026-09-22T22:10:34+00:00,1
A-blind,62eae28dcf3170b1547fb5db73e6a295.cnf.xz,argumentation,1,TIMEOUT,0,180.014,178.407,42.8,4292469,12706177,233422863,81616,38,time,180.0,,1029775d6b0ee9baef20881744a78d06c815ef06,2026-09-22T22:13:34+00:00,1
A-blind,04d0ae28e10d4a35ebab62f42f0200e8.cnf.xz,bitvector,1,TIMEOUT,0,180.041,178.513,547.2,330507,2121980,537843993,11330,16,time,180.0,,f4a320e9d7045da1d3ca43b6f0499cbe6e63385f,2026-09-22T22:16:34+00:00,1
A-blind,2563ea83d8508d635cc034d80014cd72.cnf.xz,boxfolding,1,TIMEOUT,0,180.040,178.239,46.1,2178470,8110578,771366029,69616,33,time,180.0,,0c078dc74c85fb48cd3d65df468d4ad5b1e55a9d,2026-09-22T22:19:34+00:00,1
A-blind,5f729f069a233fa88dfb470bbee7c924.cnf.xz,boxfolding,1,TIMEOUT,0,180.049,178.728,63.7,2167212,8114784,764039601,70293,33,time,180.0,,9b1df704439e317cf76eb20ed77e59a89a3f040b,2026-09-22T22:22:34+00:00,1
A-blind,aa0eadb6c4935468fd6954e23a550504.cnf.xz,boxfolding,1,TIMEOUT,0,180.053,178.577,42.5,2149603,7700089,730785493,69018,32,time,180.0,,09b3a77833cb1e755447f19741774360b0513b0e,2026-09-22T22:25:34+00:00,1
A-blind,3367ba4c01fe07b385980a14211f250e.cnf.xz,circuit-minimization,1,TIMEOUT,0,180.032,178.669,138.9,841335,20046200,801666536,32628,24,time,180.0,,7e73389dab95dfda064b30afb98543ba89bd9ba2,2026-09-22T22:28:34+00:00,1
A-blind,a45aefde8bb26edb9634004146d0de89.cnf.xz,circuit-multiplier,1,TIMEOUT,0,180.043,178.719,24.1,1963613,4076763,194627457,93045,26,time,180.0,,44ce3d92f0e7e20c9ff18fde640cf15b5b8fa072,2026-09-22T22:31:34+00:00,1
A-blind,5d06225b27017e9a703f10cb577cf3bf.cnf.xz,clique-coloring,1,TIMEOUT,0,180.034,178.573,85.2,6375415,55853813,336614153,116776,52,time,180.0,,4bf11491227bf386115e8cc79698ff2e559f3a62,2026-09-22T22:34:34+00:00,1
A-blind,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,1,UNSAT,20,14.773,14.679,20.0,895508,1204369,22568739,18203,21,time,180.0,,cb4bf99560bd79e1d5ce5e2044a4d4d356045dac,2026-09-22T22:37:34+00:00,1
A-blind,83ced7d9ee8058c52c9a68ded7fad0a5.cnf.xz,coloring,1,TIMEOUT,0,180.043,178.092,78.7,3627876,9245778,37333884,54980,41,time,180.0,,3e52509941cab7a10ff3429ce23f30165d0a615f,2026-09-22T22:37:49+00:00,1
A-blind,a957fdb07df865bb4fd24a00ceb49fdb.cnf.xz,cril-misc,1,TIMEOUT,0,180.080,178.658,2012.5,110184,928975,389243187,3121,10,time,180.0,,b956ec08dca8cf179edd780e7ffbbccf04958bfa,2026-09-22T22:40:49+00:00,1
A-blind,9541d12f3e3d9201085c13f25145d2f7.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.338,178.963,786.6,67972,902500,1197695777,852,9,time,180.0,,ddbf3729583b9e1e69781d9875776984ac52a213,2026-09-22T22:43:49+00:00,1
A-blind,af9c2fb7046eb845f185c64cd9dd1006.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.433,179.089,659.8,166631,721188,1912295387,2044,13,time,180.0,,704207230d17b47975a95e3805b843c6850cdf93,2026-09-22T22:46:50+00:00,1
A-blind,b697738cefe9cb2dd62f24653a13b341.cnf.xz,erdos-discrepancy,1,TIMEOUT,0,180.062,178.574,491.1,294458,13974860,444143434,10997,15,time,180.0,,1168eeb86403e1d79057c6c519a4220927e629c2,2026-09-22T22:49:50+00:00,1
A-blind,117b99ffa16d21cb4ccb1c66829b0c7e.cnf.xz,graph-coloring,1,TIMEOUT,0,180.009,178.441,43.7,5401169,8721937,369490602,100882,42,time,180.0,,f1a9422ae4cb4abd5a982a62ba319c525f677bcf,2026-09-22T22:52:50+00:00,1
A-blind,8aa9ffb211d1cba850be2ee9d173b7e1.cnf.xz,graph-coloring,1,TIMEOUT,0,180.021,178.489,41.7,5328887,9781860,362099971,106185,43,time,180.0,,37f2ff03a6906006c075fb2ff98576fc090da6ae,2026-09-22T22:55:50+00:00,1
A-blind,9fbe200523c648000d71b2c739093aa2.cnf.xz,graph-coloring,1,TIMEOUT,0,180.054,178.616,43.0,5153345,8503651,394102033,101911,40,time,180.0,,c221e90043e24628d90b3752c1403a0cbeeb1dad,2026-09-22T22:58:50+00:00,1
A-blind,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,graph-coloring,1,UNSAT,20,95.878,95.242,32.8,3021957,4080187,185947327,72020,33,time,180.0,,b92725235e30430fabc84f8867e58fb476f3d516,2026-09-22T23:01:50+00:00,1
A-blind,fbbfbee9e6cba8bca18fbcfc23dcfcb6.cnf.xz,graph-coloring,1,UNSAT,20,163.670,162.287,29.9,5414609,7587181,318702463,129181,41,time,180.0,,859e5db10d345487b8bf2d5e3a679d18836d2775,2026-09-22T23:03:26+00:00,1
A-blind,40ae60a61929b6bfa2ac99ab4b9a0f7e.cnf.xz,grs-fp-comm,1,TIMEOUT,0,180.016,178.561,382.4,200259,2373650,1685916521,3424,14,time,180.0,,11f4c30ec951712d3684c413b5bb4ff1d7d8f82b,2026-09-22T23:06:10+00:00,1
A-blind,042cdc726a92bf0a2195b3b426f35bce.cnf.xz,independent-set-reconfiguration,1,TIMEOUT,0,180.044,178.537,135.5,1064010,9815198,2149468042,20211,26,time,180.0,,c1f5fe99ec07f43d55c8418ff5c6b098c6e2320e,2026-09-22T23:09:10+00:00,1
A-blind,01d6fa8efd18ebfecd06af408958477b.cnf.xz,lights-out,1,TIMEOUT,0,180.018,178.666,24.2,1407534,2098132,151337088,38590,28,time,180.0,,fec87cca7cf04ccc23e5d2e37533a1ed0b54877c,2026-09-22T23:12:10+00:00,1
A-blind,4d84e818a5ab324dde37429dd2455551.cnf.xz,linear-equations,1,TIMEOUT,0,180.032,178.254,27.9,2838134,12998475,306524536,113858,33,time,180.0,,ef0f673f76572a980ccef059e066511b535c610d,2026-09-22T23:15:10+00:00,1
A-blind,aca9f4faabeb57a57c678d55f5bbd2f4.cnf.xz,linear-equations,1,TIMEOUT,0,180.037,178.084,22.0,3129172,12900481,314023979,110722,34,time,180.0,,29253e5e31d58937c973467a76f2b4329a33eb70,2026-09-22T23:18:10+00:00,1
A-blind,ebc40cf47836100655aea44ef1ed46da.cnf.xz,matrix-multiplication,1,TIMEOUT,0,180.031,178.336,85.5,3010177,22937561,555047409,99018,37,time,180.0,,3eb3bf4b2c9ba0c8b2465387992d221978adb645,2026-09-22T23:21:10+00:00,1
A-blind,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,maxsat-optimum,1,TIMEOUT,0,180.027,178.353,41.0,1408453,4697503,1624678700,44659,26,time,180.0,,5e46a9ea1d96bb9194452d11a83140bcce552d48,2026-09-22T23:24:10+00:00,1
A-blind,a789d0722f1aa0d44c5a38b374719c69.cnf.xz,md5-equivalence-checking,1,SAT,10,19.136,19.592,1805.8,0,0,10525634,0,0,time,180.0,,667f68f28a22707faa44d7bc578d236c051ab9f9,2026-09-22T23:27:10+00:00,1
A-blind,e85fb114c33f450dc2622c78bc6fa019.cnf.xz,miter,1,SAT,10,58.687,60.205,5297.4,0,0,32170813,0,0,time,180.0,,328529829a03c231de9bbcd8056c6f039f27131d,2026-09-22T23:27:29+00:00,1
A-blind,7ac164a9d153f0a2d9bf54a98d429636.cnf.xz,multiplier-circuit-miters,1,TIMEOUT,0,180.015,178.658,21.0,2493673,4824433,284652341,87136,34,time,180.0,,3d61407a4fc142e61f5779787af611f5be1f8604,2026-09-22T23:28:28+00:00,1
A-blind,6d815089fb4095208754622b4c44a8f7.cnf.xz,multiplier-circuits,1,SAT,10,8.538,8.464,20.0,95245,205938,47465816,3861,8,time,180.0,,d2610f2d2c6ed23d8b1ee43293baf252fd3f9249,2026-09-22T23:31:28+00:00,1
A-blind,de8c42d50f1dbf43a731f1916dc6bf01.cnf.xz,multiplier-equivalence-checking,1,TIMEOUT,0,180.022,178.403,23.0,2585223,4850831,315051479,88171,35,time,180.0,,8ffcd76ec67f9f07b0f3391e18ce65f885af6620,2026-09-22T23:31:36+00:00,1
A-blind,09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,ntil,1,TIMEOUT,0,180.050,178.209,86.1,2924015,6622798,118901525,64758,32,time,180.0,,f4e9b3dc04062e5295dc26ee27470288db24b6dd,2026-09-22T23:34:36+00:00,1
A-blind,2c458ef30d7b670f143d6c6e175e3ee9.cnf.xz,oddball-weighing,1,TIMEOUT,0,180.040,179.181,666.1,678559,1790654,542509828,48355,20,time,180.0,,802165fbf6e932ecc793e31098a973aca5e9d94d,2026-09-22T23:37:36+00:00,1
A-blind,22c8d6aa86d51e15ef5ab37479eda22b.cnf.xz,ordering-principle-xor,1,TIMEOUT,0,180.054,178.736,97.8,14955361,64003195,119021160,103453,74,time,180.0,,1471f931f1aebc208d1d4cfeaff78df6a743c362,2026-09-22T23:40:36+00:00,1
A-blind,011984fd82d62d609e776fbf5de75440.cnf.xz,p-center,1,UNSAT,20,0.011,0.009,20.0,0,0,4722,0,0,time,180.0,,60c05f0f7f5d8e68783540ccc9e2cdfdc3ee1bcb,2026-09-22T23:43:36+00:00,1
A-blind,90937ed75ba0560158d8fe45f303868a.cnf.xz,polynomial-multiplication,1,TIMEOUT,0,180.043,178.643,43.6,4801533,10425708,470198507,143109,41,time,180.0,,a786eb1ac1943754e596fe76134c3d6f94a25dd7,2026-09-22T23:43:36+00:00,1
A-blind,e4d1892db27b721b88e5ee7e5987649f.cnf.xz,prime-testing,1,TIMEOUT,0,180.040,178.441,22.8,1175605,2208938,692411901,52997,24,time,180.0,,ba7cd6c9d18bc35d80859a9985230f02cd8d23ad,2026-09-22T23:46:37+00:00,1
A-blind,0359596347daa117da50950748bc06d1.cnf.xz,scheduling,1,TIMEOUT,0,180.017,178.446,35.7,1638221,4255768,1085017870,57320,28,time,180.0,,2a0a0801697c84b0c3ef8b02e8d4af09e262c55c,2026-09-22T23:49:37+00:00,1
A-blind,37c88155822f1934a190dd6f4614f0ce.cnf.xz,scheduling,1,TIMEOUT,0,180.530,179.028,567.9,347015,1237542,381984104,10680,17,time,180.0,,ded7f2c523e2b623c13cfd2c7387140f01f22d35,2026-09-22T23:52:37+00:00,1
A-blind,48432767076e402d2accbf2da7260885.cnf.xz,school-timetabling,1,UNSAT,20,64.233,63.757,28.6,1504817,3367677,444726010,41077,27,time,180.0,,a957827c1f01b319a0524107c27f9ce7519b5460,2026-09-22T23:55:37+00:00,1
A-blind,5faba478cb08194407b5ec957ab08599.cnf.xz,school-timetabling,1,SAT,10,14.604,14.520,84.8,99613,6786754,85887305,1816,11,time,180.0,,7beb4b61ccecbd3306f6edeba4ea13021c257e37,2026-09-22T23:56:41+00:00,1
A-blind,9aa85c5c114245c182ed6afbe3d8daed.cnf.xz,school-timetabling,1,UNSAT,20,76.891,76.126,41.9,2145310,4043315,469690075,45588,29,time,180.0,,6e983bbf94ff79b3f694315ac31b7c089e11bcc8,2026-09-22T23:56:56+00:00,1
A-blind,53d23b2b464a5c041114eb1f00cc4b81.cnf.xz,sliding-puzzle,1,TIMEOUT,0,180.037,178.436,41.9,1769286,4861863,574318065,67993,29,time,180.0,,878d2cfa1e079f492cb0d48a7588c9fa56eacff3,2026-09-22T23:58:13+00:00,1
