label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
B-adaptive,776ff89b72b0f6290d69af6f95e13182.cnf.xz,allowable-seqence,1,TIMEOUT,0,180.009,178.955,69.5,1879892,8496732,850411188,37227,33,time,180.0,--modeadaptive=1,aaee6c60ac9061b9a345a4663e50e279b99f2152,2026-09-23T00:38:21+00:00,1
B-adaptive,62eae28dcf3170b1547fb5db73e6a295.cnf.xz,argumentation,1,TIMEOUT,0,180.046,178.558,44.3,4507261,11097379,236508034,56590,43,time,180.0,--modeadaptive=1,1029775d6b0ee9baef20881744a78d06c815ef06,2026-09-23T00:41:21+00:00,1
B-adaptive,04d0ae28e10d4a35ebab62f42f0200e8.cnf.xz,bitvector,1,TIMEOUT,0,180.525,179.232,551.8,314273,2213014,661952455,17394,15,time,180.0,--modeadaptive=1,f4a320e9d7045da1d3ca43b6f0499cbe6e63385f,2026-09-23T00:44:22+00:00,1
B-adaptive,2563ea83d8508d635cc034d80014cd72.cnf.xz,boxfolding,1,TIMEOUT,0,180.035,178.546,61.6,2259117,7004294,785901997,53291,35,time,180.0,--modeadaptive=1,0c078dc74c85fb48cd3d65df468d4ad5b1e55a9d,2026-09-23T00:47:22+00:00,1
B-adaptive,5f729f069a233fa88dfb470bbee7c924.cnf.xz,boxfolding,1,TIMEOUT,0,180.032,178.610,64.3,2265848,7193184,777354966,53508,35,time,180.0,--modeadaptive=1,9b1df704439e317cf76eb20ed77e59a89a3f040b,2026-09-23T00:50:22+00:00,1
B-adaptive,aa0eadb6c4935468fd6954e23a550504.cnf.xz,boxfolding,1,TIMEOUT,0,180.013,178.931,40.7,2167923,7353085,744032115,62048,33,time,180.0,--modeadaptive=1,09b3a77833cb1e755447f19741774360b0513b0e,2026-09-23T00:53:22+00:00,1
B-adaptive,3367ba4c01fe07b385980a14211f250e.cnf.xz,circuit-minimization,1,TIMEOUT,0,180.017,178.908,91.4,867856,16601869,712311755,24525,24,time,180.0,--modeadaptive=1,7e73389dab95dfda064b30afb98543ba89bd9ba2,2026-09-23T00:56:22+00:00,1
B-adaptive,a45aefde8bb26edb9634004146d0de89.cnf.xz,circuit-multiplier,1,TIMEOUT,0,180.031,178.444,29.1,1983549,3710941,212307448,74623,32,time,180.0,--modeadaptive=1,44ce3d92f0e7e20c9ff18fde640cf15b5b8fa072,2026-09-23T00:59:22+00:00,1
B-adaptive,5d06225b27017e9a703f10cb577cf3bf.cnf.xz,clique-coloring,1,TIMEOUT,0,180.015,178.781,84.0,6676615,56335087,350298966,117415,52,time,180.0,--modeadaptive=1,4bf11491227bf386115e8cc79698ff2e559f3a62,2026-09-23T01:02:22+00:00,1
B-adaptive,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,1,UNSAT,20,8.429,8.369,20.0,486591,687996,15488233,10612,18,time,180.0,--modeadaptive=1,cb4bf99560bd79e1d5ce5e2044a4d4d356045dac,2026-09-23T01:05:22+00:00,1
B-adaptive,83ced7d9ee8058c52c9a68ded7fad0a5.cnf.xz,coloring,1,TIMEOUT,0,180.025,178.764,54.6,3790275,8274863,39946874,42576,42,time,180.0,--modeadaptive=1,3e52509941cab7a10ff3429ce23f30165d0a615f,2026-09-23T01:05:31+00:00,1
B-adaptive,a957fdb07df865bb4fd24a00ceb49fdb.cnf.xz,cril-misc,1,TIMEOUT,0,180.448,179.220,1886.6,143569,944138,432506172,2814,12,time,180.0,--modeadaptive=1,b956ec08dca8cf179edd780e7ffbbccf04958bfa,2026-09-23T01:08:31+00:00,1
B-adaptive,9541d12f3e3d9201085c13f25145d2f7.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.075,178.355,783.3,51941,1393270,1646356248,1247,8,time,180.0,--modeadaptive=1,ddbf3729583b9e1e69781d9875776984ac52a213,2026-09-23T01:11:31+00:00,1
B-adaptive,af9c2fb7046eb845f185c64cd9dd1006.cnf.xz,cyclic-anti-bandwidth,1,TIMEOUT,0,180.028,178.463,661.1,137060,493807,1925607010,3049,11,time,180.0,--modeadaptive=1,704207230d17b47975a95e3805b843c6850cdf93,2026-09-23T01:14:31+00:00,1
B-adaptive,b697738cefe9cb2dd62f24653a13b341.cnf.xz,erdos-discrepancy,1,TIMEOUT,0,180.541,179.041,480.8,246111,12744152,464108121,10558,14,time,180.0,--modeadaptive=1,1168eeb86403e1d79057c6c519a4220927e629c2,2026-09-23T01:17:31+00:00,1
B-adaptive,117b99ffa16d21cb4ccb1c66829b0c7e.cnf.xz,graph-coloring,1,TIMEOUT,0,180.024,178.643,60.3,5023191,8237370,340269148,94511,43,time,180.0,--modeadaptive=1,f1a9422ae4cb4abd5a982a62ba319c525f677bcf,2026-09-23T01:20:32+00:00,1
B-adaptive,8aa9ffb211d1cba850be2ee9d173b7e1.cnf.xz,graph-coloring,1,UNSAT,20,165.236,163.745,40.1,4831577,8171551,310011881,77562,44,time,180.0,--modeadaptive=1,37f2ff03a6906006c075fb2ff98576fc090da6ae,2026-09-23T01:23:32+00:00,1
B-adaptive,9fbe200523c648000d71b2c739093aa2.cnf.xz,graph-coloring,1,TIMEOUT,0,180.050,178.516,40.7,5069885,7473959,395186686,87593,45,time,180.0,--modeadaptive=1,c221e90043e24628d90b3752c1403a0cbeeb1dad,2026-09-23T01:26:17+00:00,1
