phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,36779,1206379,844,0.027217,0.16
1,stable,2457,56886,1206384,2067,0.043192,0.44
2,focused,1000,10458,620241,791,0.095621,0.45
3,stable,986,17518,620244,915,0.056285,0.48
4,focused,2353,138749,5170341,2210,0.016959,0.75
5,stable,9457,113426,5170344,9093,0.083376,1.30
6,focused,4070,176918,5953429,3994,0.023005,1.44
7,stable,10821,79555,5953695,10578,0.136019,1.90
8,focused,6159,114080,5107240,5974,0.053988,2.02
9,stable,9444,47638,5107528,9237,0.198245,2.39
10,focused,8627,157197,9396472,8400,0.054880,2.72
11,stable,15996,68499,9398475,15668,0.233522,3.28
12,focused,11479,225415,16358785,11209,0.050924,3.90
13,stable,26014,109815,16359158,25422,0.236889,4.76
14,focused,14720,276594,23617057,14341,0.053219,5.24
15,stable,38762,161192,23617120,37939,0.240471,6.53
16,focused,18337,286106,27483048,17912,0.064092,7.46
17,stable,47981,179533,27483115,46356,0.267254,8.38
18,focused,22345,97655,22533145,21836,0.228816,9.44
19,stable,39011,135757,22533763,37637,0.287359,10.49
20,focused,26740,357505,38105322,26043,0.074796,11.27
21,focused,17971,66873,11107410,17443,0.268733,11.60
