phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1002,1644,1015868,990,0.609489,4.56
1,stable,1102,1784,1016065,1094,0.617713,4.60
2,focused,1000,1034,956689,999,0.967118,4.71
3,stable,1026,1569,956715,1018,0.653920,4.74
4,focused,2354,4649,2290384,2325,0.506345,4.80
5,stable,1957,2855,2291381,1950,0.685464,5.01
6,focused,4069,70576,12489740,4027,0.057654,5.26
7,stable,11428,16099,12492647,11356,0.709858,5.76
8,focused,6159,9518,6218290,6118,0.647090,6.07
9,stable,5054,6912,6220068,5032,0.731192,6.22
10,focused,8629,13230,10538506,8602,0.652230,6.70
11,stable,8231,11162,10539808,8186,0.737413,6.95
12,focused,11479,18231,12765937,11438,0.629642,7.56
13,stable,9745,13245,12767948,9674,0.735749,7.89
14,focused,14717,21346,16833513,14607,0.689450,8.49
15,stable,13817,21164,16833921,13694,0.652854,9.02
16,focused,18338,28068,21025563,18247,0.653342,9.73
17,stable,16309,21198,21031605,16211,0.769365,10.25
18,focused,22345,22963,26323239,22289,0.973087,11.23
19,stable,18410,24761,26325035,18284,0.743508,12.31
20,focused,26739,41316,35018407,26528,0.647183,13.31
21,stable,26242,34499,35020924,26085,0.760660,14.49
22,focused,31518,527573,129437950,31329,0.059741,17.93
23,stable,88916,119729,129439193,88294,0.742644,22.11
24,focused,36679,52087,49091963,36512,0.704187,23.64
25,stable,34009,47759,49093007,33810,0.712096,25.30
26,focused,42219,60139,56321559,42004,0.702024,27.07
27,stable,40232,57157,56322708,40026,0.703886,28.74
28,focused,48138,70244,62883695,47844,0.685297,30.79
29,stable,42024,58170,62885564,41754,0.722434,32.73
30,focused,54435,82031,72629041,54164,0.663591,34.97
31,stable,43139,59438,72629919,42860,0.725781,37.20
32,focused,61105,92266,79225698,60738,0.662270,40.05
33,stable,47382,66922,79226061,47158,0.708018,42.13
34,focused,68146,70198,88997559,67986,0.970768,45.31
35,stable,52672,71122,88997615,52384,0.740587,48.03
36,focused,75557,128333,99924368,74850,0.588757,51.36
37,stable,66665,91164,99925493,66199,0.731265,54.36
38,focused,83335,1195451,390457362,82830,0.069710,64.69
39,stable,231883,316624,390459071,230631,0.732361,78.06
40,focused,91473,130858,142289303,91032,0.699025,82.95
41,stable,78656,104872,142289646,78266,0.750019,87.63
42,focused,99977,147320,150384092,99498,0.678638,93.89
43,stable,81078,111332,150384536,80665,0.728254,97.65
44,focused,108831,163146,175419380,108177,0.667077,103.65
45,stable,96233,132608,175423842,95808,0.725695,110.27
46,focused,118045,182882,188490074,117261,0.645471,116.72
47,stable,93367,128699,188496915,92857,0.725468,121.61
48,focused,127610,207405,196157241,126749,0.615270,129.32
49,stable,99908,139413,196161234,99472,0.716633,136.04
50,focused,137525,141278,241089056,137121,0.973435,143.90
51,stable,105029,146573,241089067,104493,0.716564,152.90
52,focused,147789,261872,237980951,146392,0.564356,160.96
53,stable,94853,133057,237985271,94429,0.712875,167.09
54,focused,56683,831229,342470852,56338,0.068192,175.75
