phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,23614,629711,948,0.042348,0.06
1,stable,518,1428,631730,502,0.362745,0.07
2,focused,1000,9850,1597512,845,0.101523,0.10
3,stable,1033,1331,1597799,1003,0.776108,0.20
4,focused,2352,18462,3780637,2149,0.127397,0.27
5,stable,2138,2206,3785253,2120,0.969175,0.34
6,focused,4069,17487,7070051,3863,0.232687,0.61
7,stable,4557,4762,7070170,4522,0.956951,0.76
8,focused,6161,14523,5453300,5771,0.424224,0.97
9,stable,7821,7851,5453461,7222,0.996179,1.10
10,focused,8627,11452,6399328,8077,0.753318,1.27
11,stable,9060,8689,6400282,8411,1.042698,1.42
12,focused,11480,17166,10106638,10697,0.668764,1.65
13,stable,10214,10110,10106974,9724,1.010287,1.89
14,focused,14715,23561,13823265,13874,0.624549,2.19
15,stable,15039,16287,13823467,14276,0.923374,2.58
16,focused,18337,32272,19192948,17472,0.568202,2.98
17,stable,20927,22610,19193933,20163,0.925564,3.43
18,focused,22345,28914,20088295,20575,0.772809,3.93
19,stable,23739,24050,20089113,22238,0.987069,4.36
20,focused,26740,61775,39891556,24904,0.432861,5.21
21,stable,43149,44293,39892165,41311,0.974172,6.26
22,focused,31516,33334,38645651,29813,0.945461,7.00
23,stable,29170,29565,38647316,27714,0.986640,7.83
24,focused,36677,64049,62183235,34459,0.572640,9.01
25,stable,52449,52878,62183291,51091,0.991887,10.47
26,focused,42219,52732,53016863,39805,0.800633,11.67
27,stable,42488,44312,53017430,41365,0.958837,12.74
28,focused,48138,54698,54308387,46568,0.880069,14.02
29,focused,32318,33877,38390340,31748,0.953981,14.84
