phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1003,12659,5244922,302,0.079232,0.62
1,stable,2094,15992,5244928,637,0.130940,1.01
2,focused,1000,8597,3263990,254,0.116320,1.08
3,stable,642,5728,3264085,197,0.112081,1.14
4,focused,2357,22810,9371106,723,0.103332,1.35
5,stable,3541,29914,9372536,952,0.118373,1.86
6,focused,4072,36241,11381424,1133,0.112359,2.45
7,stable,4614,42367,11384560,1166,0.108906,2.99
8,focused,6165,70332,24480090,1716,0.087656,3.54
9,stable,9820,82804,24480364,3037,0.118593,4.64
10,focused,8633,99881,36801329,2555,0.086433,5.55
11,stable,16140,137908,36806061,4760,0.117035,7.63
12,focused,11490,114635,40610718,3709,0.100231,9.44
13,stable,21872,169194,40611868,7125,0.129272,11.35
14,focused,14716,131086,32680552,4889,0.112262,12.37
15,focused,31659,183571,28575392,10657,0.172462,13.63
