phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,13700,1682624,995,0.072993,0.15
1,stable,1575,6974,1683306,1565,0.225839,0.20
2,focused,1000,5274,1099928,997,0.189609,0.31
3,stable,1279,5381,1100911,1248,0.237688,0.34
4,focused,2354,31891,4346039,2316,0.073814,0.42
5,stable,4074,19737,4346094,3961,0.206414,0.62
6,focused,4069,22209,4690022,4008,0.183214,0.87
7,stable,5502,16456,4690576,5414,0.334346,1.10
8,focused,6162,39792,5757351,6054,0.154855,1.32
9,stable,4732,20129,5759385,4639,0.235084,1.59
10,focused,8627,27150,8944035,8466,0.317753,1.80
11,stable,9579,50839,8946052,9448,0.188418,2.18
12,focused,11482,67900,11892439,11279,0.169102,2.54
13,stable,15721,50631,11892490,15270,0.310501,3.04
14,focused,14526,92172,14424638,14279,0.157597,3.54
