phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,5438,446919,999,0.184075,0.06
1,stable,1214,1762,447050,1212,0.688990,0.08
2,focused,1000,1120,462522,994,0.892857,0.09
3,stable,1263,1692,463066,1261,0.746454,0.12
4,focused,2353,8159,1129238,2342,0.288393,0.16
5,stable,2571,3816,1129258,2564,0.673742,0.20
6,focused,4069,36107,4827722,4060,0.112693,0.35
7,stable,9057,11405,4827728,8978,0.794125,0.50
8,focused,6159,9567,2130757,6143,0.643775,0.61
9,stable,4942,6185,2130818,4928,0.799030,0.68
10,focused,8628,13616,3632814,8591,0.633666,0.80
11,stable,11071,13396,3633328,11038,0.826441,1.00
12,focused,11481,15404,4052237,11444,0.745326,1.14
13,stable,8973,10797,4054038,8923,0.831064,1.29
14,focused,14715,20330,5920900,14668,0.723807,1.52
15,stable,14108,17216,5921032,13958,0.819470,1.82
16,focused,18337,25691,7449507,18253,0.713752,2.06
17,stable,14680,18325,7450684,14604,0.801091,2.28
18,focused,22345,24689,10829861,22299,0.905059,2.66
19,stable,24330,30533,10829921,24100,0.796843,3.08
20,focused,26739,44573,11437641,26625,0.599892,3.46
21,stable,19571,23200,11437707,19441,0.843578,3.81
22,focused,31516,63381,20409563,31296,0.497247,4.45
23,stable,46678,55715,20410055,46372,0.837800,5.25
24,focused,36677,48302,13773773,36469,0.759327,5.72
25,stable,27292,33710,13773782,27009,0.809611,6.24
26,focused,42219,54730,19668760,42038,0.771405,6.86
27,stable,47157,58427,19668796,46862,0.807110,7.55
28,focused,48140,62481,16648077,47959,0.770474,8.18
29,stable,36574,43938,16648379,36391,0.832400,8.68
30,focused,54435,72148,23366741,54215,0.754491,9.50
31,stable,43361,55477,23367873,43028,0.781603,10.16
32,focused,61105,82872,29433346,60839,0.737342,11.31
33,stable,51919,64644,29433408,51590,0.803153,12.12
34,focused,68148,75045,30983391,67974,0.908095,13.09
35,stable,51951,64555,30983972,51540,0.804756,13.91
36,focused,19729,25923,13396533,19528,0.761062,14.32
