phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,2065,536532,1001,0.484746,0.10
1,stable,837,1629,536631,837,0.513812,0.11
2,focused,1000,1567,547756,998,0.638162,0.16
3,stable,1082,1383,547874,1074,0.782357,0.18
4,focused,2354,4441,1203380,2320,0.530061,0.21
5,stable,2265,4401,1203651,2256,0.514656,0.31
6,focused,4069,7850,2401900,4033,0.518344,0.37
7,stable,3388,5156,2401953,3368,0.657099,0.44
8,focused,6161,8992,3708976,6146,0.685165,0.58
9,stable,5105,7376,3709336,5070,0.692110,0.70
10,focused,8627,23283,5468873,8554,0.370528,0.95
11,stable,6304,10287,5469057,6246,0.612812,1.06
12,focused,11482,22903,8623029,11376,0.501332,1.30
13,stable,11542,14151,8623340,11474,0.815631,1.58
14,focused,14716,28561,10952248,14644,0.515248,1.83
15,stable,7655,10326,10956256,7632,0.741333,2.11
16,focused,18338,33633,19435307,18182,0.545238,2.53
17,stable,22755,27144,19437213,22629,0.838307,3.17
18,focused,22346,24205,19119871,22298,0.923198,3.72
19,stable,21741,23620,19120040,21607,0.920449,4.37
20,focused,26740,36405,22159563,26649,0.734514,4.85
21,stable,24311,26150,22161888,24194,0.929675,5.43
22,focused,31516,116617,40747646,31172,0.270252,6.65
23,stable,58081,63016,40749001,57841,0.921687,7.70
24,focused,36677,46605,22664281,36596,0.786976,8.33
25,stable,30095,32489,22664324,29943,0.926314,8.89
26,focused,42218,58235,27383736,42116,0.724959,9.80
27,stable,31917,35181,27384732,31839,0.907223,10.54
28,focused,48139,64751,37625336,48019,0.743448,11.47
29,stable,42472,46281,37626850,42387,0.917698,12.62
30,focused,54434,70379,38455800,54281,0.773441,13.70
31,stable,38653,41578,38457179,38583,0.929650,14.56
32,focused,61104,81383,44640492,60825,0.750820,15.93
33,stable,43699,47751,44641183,43602,0.915143,17.06
34,focused,68146,70570,58202510,68112,0.965651,18.55
35,stable,60683,67030,58203692,60477,0.905311,19.93
36,focused,75557,102624,58637955,75276,0.736251,21.70
37,stable,54595,59536,58640723,54492,0.917008,23.15
38,focused,83333,323761,114819491,82852,0.257390,26.39
39,stable,100914,110451,114819615,100728,0.913654,29.21
40,focused,91476,113271,88397653,91296,0.807585,31.42
41,stable,77459,83395,88402148,77344,0.928821,33.34
42,focused,99973,141844,99800108,99653,0.704810,35.84
43,stable,84018,91137,99806603,83878,0.921887,38.32
44,focused,108831,145914,107938751,108530,0.745857,40.93
45,stable,91762,99611,107943198,91607,0.921203,43.57
46,focused,118045,178318,120041399,117661,0.661991,46.63
47,stable,95232,102631,120041729,95068,0.927907,49.27
48,focused,127610,183365,138535638,127190,0.695934,52.91
49,stable,116417,127592,138537399,116199,0.912416,56.26
50,focused,137525,145938,136163466,137403,0.942352,59.52
51,focused,6997,7544,6252989,6950,0.927492,59.64
