phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1992,168220,1000,0.502008,0.03
1,stable,869,1049,168976,866,0.828408,0.04
2,focused,1001,1231,194734,1001,0.813160,0.05
3,stable,871,1020,194844,866,0.853922,0.06
4,focused,2352,4003,504264,2348,0.587559,0.11
5,stable,1869,2195,504361,1863,0.851481,0.13
6,focused,4071,5229,1194065,4065,0.778543,0.18
7,stable,3655,4198,1194121,3645,0.870653,0.29
8,focused,6159,11108,1803726,6137,0.554465,0.35
9,stable,5280,6264,1804631,5272,0.842912,0.42
10,focused,8627,17621,1986212,8602,0.489586,0.51
11,stable,5958,6751,1986415,5945,0.882536,0.58
12,focused,11480,21020,2795980,11442,0.546147,0.72
13,stable,6710,7754,2797111,6698,0.865360,0.81
14,focused,14715,22122,4642699,14669,0.665175,0.97
15,stable,10587,11931,4642730,10575,0.887352,1.18
16,focused,18337,29630,6622850,18284,0.618866,1.43
17,stable,11363,12569,6623962,11354,0.904050,1.68
18,focused,22346,24606,11658696,22309,0.908152,2.02
19,stable,16215,17951,11658862,16189,0.903292,2.43
20,focused,26739,43766,14812447,26654,0.610954,2.91
21,stable,31011,34674,14812899,30940,0.894359,3.42
22,focused,31519,38748,14334285,31443,0.813436,3.88
23,stable,24947,27735,14336515,24908,0.899477,4.44
24,focused,36678,50806,11308411,36560,0.721923,4.84
25,stable,22456,25958,11309108,22405,0.865090,5.19
26,focused,42218,54651,14971840,42039,0.772502,5.65
27,stable,28448,32444,14972722,28381,0.876834,6.20
28,focused,48139,61769,20245482,47878,0.779339,6.79
29,stable,39241,46241,20245853,39166,0.848619,7.41
30,focused,54435,69050,20712707,54221,0.788342,8.10
31,stable,37044,42070,20713180,36969,0.880532,8.69
32,focused,61106,80569,27103860,60877,0.758431,9.72
33,stable,39270,45954,27104690,39144,0.854550,10.44
34,focused,68146,78437,24386627,68046,0.868799,11.29
35,stable,40204,47207,24387664,40120,0.851653,11.95
36,focused,75556,101360,32630680,75180,0.745422,13.08
37,stable,44218,50406,32631230,44085,0.877237,14.04
38,focused,83334,104271,40074621,83077,0.799206,15.31
39,stable,54310,61948,40074883,54160,0.876703,16.53
40,focused,91473,116351,54668154,91050,0.786181,18.11
41,stable,64457,73580,54668248,64261,0.876013,19.70
42,focused,99974,127171,66319752,99555,0.786138,22.07
43,stable,74698,86969,66322444,74463,0.858904,23.88
44,focused,108831,140224,47892133,108315,0.776122,25.47
45,stable,55117,62142,47893351,55022,0.886952,26.86
46,focused,118044,151928,70370752,117434,0.776973,29.10
47,stable,83124,95954,70371524,82926,0.866290,31.16
48,focused,127612,164652,63657948,127024,0.775041,33.01
49,stable,70741,81655,63659244,70601,0.866340,34.83
50,focused,137526,156453,75347398,137327,0.879024,37.10
51,stable,87843,100835,75347500,87648,0.871156,38.98
52,focused,147789,193817,83879330,147070,0.762518,41.60
53,stable,97216,111781,83881077,96984,0.869701,44.47
54,focused,158394,192286,137962914,158007,0.823742,47.79
55,stable,149539,173265,137969976,149130,0.863065,51.51
56,focused,169342,218911,73127107,168605,0.773566,54.14
57,stable,94026,107489,73128474,93843,0.874750,56.01
58,focused,27794,35568,22294598,27680,0.781433,56.56
