phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,12764,3533283,978,0.078345,0.28
1,stable,920,3428,3542676,903,0.268378,0.35
2,focused,1001,11296,3870452,958,0.088615,0.58
3,stable,1038,7898,3872149,1024,0.131426,0.68
4,focused,2352,36641,13317650,2289,0.064190,0.92
5,stable,5279,23288,13319977,5237,0.226683,1.54
6,focused,4069,32772,16971923,3998,0.124161,1.94
7,stable,5635,24430,16977817,5618,0.230659,2.79
8,focused,6159,88290,41822700,6027,0.069759,4.32
9,stable,14619,50284,41825011,14573,0.290729,5.44
10,focused,8627,116449,55143820,8469,0.074084,7.04
11,stable,24584,64464,55145703,24438,0.381360,9.46
12,focused,11479,107230,51655885,11271,0.107050,11.32
13,stable,32600,80192,51655998,32398,0.406524,13.42
14,focused,14716,103728,45421431,14435,0.141871,14.42
15,focused,26452,61397,42391352,26120,0.430835,16.23
