phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,49967,45279400,991,0.020013,1.50
1,stable,3767,15233,45281218,3634,0.247292,3.76
2,focused,1000,2032,16448306,969,0.492126,4.05
3,stable,1224,14758,16461421,1201,0.082938,4.37
4,focused,2352,101334,114148320,2231,0.023210,6.07
5,stable,9701,73858,114174292,9436,0.131347,11.61
6,focused,4070,80938,115399561,3909,0.050285,16.92
7,stable,7165,53511,115410675,6877,0.133898,21.53
8,focused,6159,113455,133005899,5920,0.054286,31.44
9,stable,13912,67623,133007781,13403,0.205729,39.64
10,focused,8627,179145,233723365,8296,0.048157,45.12
11,stable,29717,153692,233725917,28627,0.193354,58.25
12,focused,11480,250610,249663862,11015,0.045808,68.20
13,stable,29934,154575,249665659,29010,0.193654,82.68
14,focused,14715,261746,200156625,14172,0.056219,87.38
15,stable,24905,72897,200183670,24540,0.341646,98.66
16,focused,18340,392155,255460754,17884,0.046767,112.27
17,stable,59223,201707,255466835,58050,0.293609,122.92
18,focused,22345,61819,128713488,21885,0.361458,129.95
19,stable,32671,123685,128715423,32255,0.264147,134.67
20,focused,26739,390602,180058780,26190,0.068456,143.37
21,stable,39017,71193,180063828,38663,0.548045,153.29
22,focused,31516,358865,209466445,30828,0.087821,159.49
23,stable,44688,90090,209476734,44383,0.496037,171.06
24,focused,28886,392805,237175587,28326,0.073538,177.50
