phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1713,843695,992,0.583771,4.56
1,stable,958,1280,843959,951,0.748437,4.57
2,focused,1000,1050,903392,996,0.952381,4.66
3,stable,955,1310,906835,955,0.729008,4.69
4,focused,2353,4707,2054703,2332,0.499894,4.74
5,stable,2002,3082,2057312,1993,0.649578,4.91
6,focused,4070,85947,13778066,4036,0.047355,5.16
7,stable,14822,21340,13779343,14737,0.694564,5.71
8,focused,6160,9054,5285508,6113,0.680362,5.94
9,stable,5351,7284,5285910,5323,0.734624,6.10
10,focused,8627,13043,7537562,8590,0.661428,6.46
11,stable,7452,10435,7537957,7427,0.714135,6.73
12,focused,11479,17716,10202948,11394,0.647945,7.10
13,stable,9591,13396,10204356,9533,0.715960,7.36
14,focused,14715,22377,14051636,14632,0.657595,7.86
15,stable,12540,16775,14055217,12457,0.747541,8.29
16,focused,18337,28743,17385925,18216,0.637964,8.91
17,stable,15933,22632,17386762,15874,0.704003,9.58
18,focused,22346,22822,24455642,22268,0.979143,10.24
19,stable,19952,27439,24456454,19827,0.727140,11.23
20,focused,26740,45541,29659110,26554,0.587163,12.31
21,stable,22837,32239,29662491,22700,0.708366,13.12
22,focused,31516,433438,117927161,31271,0.072712,16.30
23,stable,88021,119750,117930264,87535,0.735040,20.75
24,focused,36678,52551,44714637,36511,0.697951,22.18
25,stable,33838,46384,44715200,33663,0.729519,23.60
26,focused,42220,61885,49881231,41999,0.682233,25.28
27,stable,37546,49963,49885869,37330,0.751476,26.82
28,focused,48139,68894,57154629,47866,0.698740,28.80
29,stable,38384,51071,57163196,38165,0.751581,30.70
30,focused,54434,80577,66285769,54079,0.675553,32.71
31,stable,41632,54687,66288119,41400,0.761278,35.05
32,focused,61106,91408,78140062,60734,0.668497,37.98
33,stable,48876,66021,78140196,48533,0.740310,40.02
34,focused,68146,69944,84228586,67998,0.974294,43.44
35,stable,53507,69707,84229708,53228,0.767599,46.39
36,focused,40481,65601,50531122,40071,0.617079,47.80
