phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1834,208745,999,0.545256,0.04
1,stable,879,1036,209140,877,0.848456,0.05
2,focused,1002,1204,249261,1001,0.832226,0.06
3,stable,906,1193,249375,905,0.759430,0.07
4,focused,2354,7198,553190,2350,0.327035,0.11
5,stable,1619,1838,553497,1619,0.880849,0.12
6,focused,4069,6106,1190110,4065,0.666394,0.17
7,stable,3064,3564,1190146,3058,0.859708,0.24
8,focused,6161,12803,1870687,6154,0.481215,0.30
9,stable,4871,5671,1870706,4864,0.858931,0.37
10,focused,8627,18623,2303436,8609,0.463244,0.48
11,stable,5959,6619,2303649,5950,0.900287,0.56
12,focused,11480,21073,3233956,11452,0.544773,0.69
13,stable,7132,7894,3234360,7131,0.903471,0.80
14,focused,14716,24211,4756413,14659,0.607823,1.02
15,stable,10391,11636,4756451,10384,0.893004,1.17
16,focused,18338,28939,6841063,18286,0.633678,1.39
17,stable,12954,14370,6841078,12946,0.901461,1.63
18,focused,22346,24671,10114339,22328,0.905760,1.94
19,stable,18693,20623,10114475,18676,0.906415,2.28
20,focused,26739,43180,10423980,26654,0.619245,2.61
21,stable,20227,22556,10425644,20205,0.896746,2.96
22,focused,31516,41110,17467055,31417,0.766626,3.56
23,stable,31971,35345,17467111,31924,0.904541,4.06
24,focused,36677,51863,11088757,36565,0.707190,4.48
25,stable,23184,26557,11088989,23135,0.872990,4.82
26,focused,42219,56501,13061652,42099,0.747226,5.33
27,stable,24204,27580,13061745,24182,0.877592,5.72
28,focused,48140,62491,21865852,47981,0.770351,6.45
29,stable,39083,44305,21867908,39030,0.882135,7.12
30,focused,54434,73480,21413007,54235,0.740800,7.90
31,stable,32502,36881,21413414,32465,0.881267,8.50
32,focused,61105,78483,20786463,60864,0.778576,9.41
33,stable,40511,45877,20786595,40441,0.883035,10.17
34,focused,68146,78850,39608176,68003,0.864249,11.32
35,stable,53230,59620,39609146,53152,0.892821,12.51
36,focused,75556,101434,29842557,75222,0.744878,13.65
37,stable,44381,49953,29842874,44311,0.888455,14.50
38,focused,83336,104972,41775868,83091,0.793888,15.83
39,stable,56316,63833,41775891,56262,0.882240,17.02
40,focused,91473,117066,55517032,91066,0.781380,18.78
41,stable,71367,80296,55517301,71267,0.888799,20.67
42,focused,99973,131430,46689875,99607,0.760656,22.13
43,stable,66416,75383,46690074,66328,0.881047,23.65
44,focused,108831,141156,42698828,108422,0.770998,25.24
45,stable,65682,74498,42698833,65557,0.881661,26.49
46,focused,118044,152348,52516051,117490,0.774831,28.25
47,stable,72546,81477,52517121,72474,0.890386,29.67
48,focused,127610,166533,65022154,127046,0.766275,31.76
49,stable,84706,94356,65022977,84600,0.897728,33.75
50,focused,137525,158833,89693980,137257,0.865847,36.54
51,stable,100261,114298,89694778,100158,0.877189,38.98
52,focused,147787,201015,73682469,147048,0.735204,41.89
53,stable,84075,94760,73683380,83996,0.887241,44.21
54,focused,158394,202331,108207357,157964,0.782846,47.16
55,stable,117968,132843,108207895,117790,0.888026,50.40
56,focused,169343,224539,87264639,168673,0.754181,53.51
57,stable,95531,106909,87265370,95410,0.893573,55.76
58,focused,180629,235944,95755643,180013,0.765559,58.82
59,stable,109857,123656,95756712,109724,0.888408,61.57
60,focused,192256,244532,162608240,191388,0.786220,65.89
61,stable,162318,182589,162610195,162119,0.888980,70.38
62,focused,204209,267825,97511927,203463,0.762472,73.67
63,stable,93508,104864,97512066,93368,0.891707,76.15
64,focused,216498,274923,167240890,215570,0.787486,81.52
65,stable,159185,177262,167241039,159024,0.898021,86.04
66,focused,229116,264262,160821341,228650,0.867003,90.75
67,stable,143966,162405,160823502,143829,0.886463,94.78
68,focused,242060,316410,154720122,240999,0.765020,99.41
69,stable,167161,190989,154720676,166969,0.875239,103.82
70,focused,255328,319995,194272547,254527,0.797912,109.38
71,stable,202078,228951,194273389,201837,0.882626,114.84
72,focused,268917,340582,185962882,267957,0.789581,120.00
73,stable,177784,200074,185963556,177548,0.888591,125.15
74,focused,282824,359027,173538021,281649,0.787751,130.51
75,stable,163079,183919,173538024,162847,0.886689,134.82
76,focused,297051,380650,203788340,295951,0.780378,141.71
77,stable,195378,219640,203788472,195057,0.889537,147.07
78,focused,311590,399235,200277327,310393,0.780468,153.07
79,stable,186496,209176,200278904,186209,0.891575,157.90
80,focused,326445,417375,198179207,325197,0.782138,163.90
81,stable,184813,208279,198180669,184500,0.887334,169.10
82,focused,341607,387763,255101428,341037,0.880969,176.29
83,focused,34719,39686,36841335,34671,0.874843,177.23
