phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,3628,2212778,976,0.275910,0.09
1,stable,2049,2481,2215238,1988,0.825877,0.18
2,focused,1001,1033,1832885,953,0.969022,0.21
3,stable,948,965,1835571,910,0.982383,0.25
4,focused,2352,3618,5066093,2316,0.650083,0.34
5,stable,2625,2688,5066537,2519,0.976562,0.49
6,focused,4069,5917,9363265,4002,0.687680,0.75
7,stable,5326,5388,9366081,5255,0.988493,1.01
8,focused,6159,6340,9405470,6011,0.971451,1.19
9,stable,4858,4924,9406505,4656,0.986596,1.55
10,focused,8627,14973,16520261,8404,0.576170,1.86
11,stable,8401,8492,16521506,8328,0.989284,2.47
12,focused,11479,19209,22216773,11234,0.597584,3.01
13,stable,11596,11689,22220299,11492,0.992044,3.64
14,focused,14715,17161,27346887,14434,0.857468,4.18
15,stable,16313,16485,27347502,15951,0.989566,4.76
16,focused,18338,39536,38027580,17821,0.463830,5.59
17,stable,19975,19984,38028043,19492,0.999550,6.30
18,focused,22346,26890,37595897,21485,0.831015,7.22
19,stable,22252,22294,37596490,21927,0.998116,8.06
20,focused,26740,57400,55211920,26067,0.465854,9.12
21,stable,28951,28969,55213799,28657,0.999379,10.22
22,focused,31516,36456,57755214,30962,0.864494,11.45
23,stable,32531,32551,57757498,32060,0.999386,12.46
24,focused,36677,47479,65419470,35782,0.772489,13.95
25,stable,38737,39035,65422588,38303,0.992366,15.39
26,focused,42219,46169,84322708,41382,0.914445,17.17
27,stable,35622,35758,84322825,35186,0.996197,18.47
28,focused,48139,122832,119704331,47053,0.391909,20.89
29,stable,65723,65656,119707728,64357,1.001020,23.24
30,focused,54435,78853,121276910,53591,0.690335,26.20
31,stable,63983,64104,121279069,63509,0.998112,28.50
32,focused,61106,80097,113734584,60317,0.762900,30.89
33,stable,54962,55031,113735440,54152,0.998746,33.12
34,focused,68146,74730,133622626,67813,0.911896,35.74
35,stable,72273,72651,133623139,71540,0.994797,38.24
36,focused,75556,154309,168130829,74154,0.489641,41.56
37,stable,89280,89618,168133488,88337,0.996228,44.87
38,focused,83333,85388,181792580,82556,0.975933,48.61
39,stable,94659,94841,181792811,93464,0.998081,52.14
40,focused,91473,166284,216608767,89970,0.550101,56.33
41,stable,110929,111467,216610130,110277,0.995173,60.46
42,focused,99975,133042,198375967,98655,0.751454,64.18
43,stable,97268,97796,198379679,96620,0.994601,67.86
44,focused,108831,135005,221700014,107780,0.806126,72.27
45,stable,113278,113529,221701289,112431,0.997789,76.57
46,focused,118044,166771,243427035,116436,0.707821,82.04
47,stable,119481,119871,243428882,118283,0.996747,86.61
48,focused,127610,182019,263970928,126228,0.701081,91.65
49,stable,138749,139146,263974678,137765,0.997147,96.93
50,focused,137526,146874,336557556,135574,0.936354,103.24
51,stable,154693,154938,336559891,153642,0.998419,109.92
52,focused,147787,229697,337778689,146239,0.643400,116.50
53,stable,158598,159139,337778973,157535,0.996600,122.98
54,focused,158394,181693,356542329,157195,0.871767,130.12
55,stable,164290,164679,356543460,163106,0.997638,138.05
56,focused,169343,252844,398301282,167549,0.669753,145.89
57,stable,182080,182713,398302205,181011,0.996536,153.33
58,focused,180629,239496,394434328,178987,0.754205,160.99
59,stable,171322,171880,394435398,170325,0.996754,168.02
60,focused,192252,247961,449063542,190617,0.775332,176.82
61,focused,1775,1803,4412710,1764,0.984470,176.92
