phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,6027,850550,998,0.165920,0.17
1,stable,988,2124,857506,978,0.465160,0.19
2,focused,1000,1630,843033,1000,0.613497,0.30
3,stable,901,1908,843599,895,0.472222,0.33
4,focused,2352,14134,2180859,2349,0.166407,0.38
5,stable,2002,3705,2181405,1990,0.540351,0.46
6,focused,4069,37889,4495995,4064,0.107393,0.58
7,stable,3123,5460,4500352,3105,0.571978,0.70
8,focused,6159,31385,8844422,6143,0.196240,1.00
9,stable,5828,9787,8846944,5802,0.595484,1.23
10,focused,8627,34797,11315632,8603,0.247924,1.61
11,stable,7203,10721,11316137,7156,0.671859,1.87
12,focused,11480,52645,16255385,11459,0.218064,2.33
13,stable,11089,17355,16258830,11057,0.638951,3.08
14,focused,14719,53615,20252584,14684,0.274531,3.59
15,stable,12757,18805,20254486,12709,0.678383,4.16
16,focused,18337,71067,25479514,18292,0.258024,5.08
17,stable,16730,28384,25480408,16667,0.589417,5.72
18,focused,22347,27347,29687837,22309,0.817165,6.76
19,stable,18169,27471,29688573,18112,0.661388,7.53
20,focused,26742,93652,37877535,26645,0.285546,8.65
21,stable,22529,33715,37878189,22431,0.668219,9.73
22,focused,31516,265380,92416719,31314,0.118758,11.83
23,stable,50763,71221,92422514,50599,0.712753,14.95
24,focused,36681,73691,49638127,36543,0.497768,16.26
25,stable,25664,34746,49639489,25593,0.738617,18.09
26,focused,42219,88750,59363116,42091,0.475707,20.14
27,stable,35820,51523,59366671,35714,0.695223,21.65
28,focused,48139,102497,68559915,47960,0.469663,23.82
29,stable,36420,49203,68562521,36343,0.740199,25.81
30,focused,54434,115446,80086744,54215,0.471510,27.91
31,stable,43427,62433,80099676,43312,0.695578,30.21
32,focused,61106,147836,89256516,60877,0.413336,32.84
33,stable,47297,66509,89256632,47150,0.711137,35.50
34,focused,68147,76355,111429282,68058,0.892502,38.27
35,stable,58360,82356,111431780,58231,0.708631,41.27
36,focused,75556,213735,124700282,75280,0.353503,45.08
37,stable,61562,84061,124701301,61371,0.732349,48.53
38,focused,83334,480121,267253846,82780,0.173569,55.17
39,stable,126425,174731,267254273,126087,0.723541,62.05
40,focused,91472,150314,155834823,91199,0.608539,66.54
41,stable,65417,88984,155852082,65246,0.735155,70.50
42,focused,99975,186735,170778958,99640,0.535384,76.60
43,stable,78029,107097,170781415,77860,0.728582,81.15
44,focused,108831,225583,187908197,108435,0.482443,86.29
45,stable,76311,102324,187908936,76078,0.745778,90.70
46,focused,118044,268322,215543621,117611,0.439934,96.82
47,stable,91695,124583,215546661,91468,0.736015,102.67
48,focused,127610,286816,239518410,127193,0.444919,109.36
49,stable,104351,143078,239518982,104136,0.729329,115.91
50,focused,137525,153735,252701004,137371,0.894559,122.68
51,stable,107613,144905,252702294,107358,0.742645,128.80
52,focused,147787,390337,286454481,147268,0.378614,137.37
53,stable,127732,169285,286455216,127468,0.754538,145.93
54,focused,158397,821170,565464748,157778,0.192892,160.09
55,stable,218166,291617,565465665,217652,0.748125,174.90
56,focused,22047,33033,42345099,22005,0.667423,176.72
