phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1003,2767,725864,1002,0.362486,0.06
1,stable,847,1253,725883,846,0.675978,0.08
2,focused,1000,1415,962804,1000,0.706714,0.10
3,stable,875,1120,963663,873,0.781250,0.15
4,focused,2352,14904,4057405,2351,0.157810,0.23
5,stable,2790,3389,4057870,2787,0.823252,0.32
6,focused,4074,22726,12923274,4073,0.179266,0.67
7,stable,6672,7918,12923427,6669,0.842637,0.95
8,focused,6162,24681,15043358,6160,0.249666,1.29
9,stable,7291,8486,15045964,7288,0.859180,1.60
10,focused,8628,31286,22030748,8626,0.275778,2.25
11,stable,10140,11785,22031975,10139,0.860416,2.74
12,focused,11479,38692,31625583,11474,0.296676,3.48
13,stable,13206,15451,31626044,13204,0.854702,4.15
14,focused,14717,51963,41911875,14709,0.283221,5.04
15,stable,15355,17588,41919337,15348,0.873038,5.83
16,focused,18337,56985,54500420,18324,0.321786,7.32
17,stable,27777,32252,54502710,27750,0.861249,8.67
18,focused,22345,25932,32226235,22328,0.861677,9.37
19,stable,18000,20728,32232435,17993,0.868391,10.09
20,focused,26739,78737,65139166,26714,0.339599,11.35
21,stable,40288,46093,65140580,40237,0.874059,12.96
22,focused,31516,59251,83799908,31489,0.531907,14.68
23,stable,40589,45758,83805962,40568,0.887036,16.33
24,focused,36678,108673,96997845,36648,0.337508,18.32
25,stable,45260,50740,96997949,45237,0.891998,20.31
26,focused,42220,127487,138200124,42187,0.331171,22.90
27,stable,60698,68278,138206838,60650,0.888983,25.61
28,focused,48138,108190,142670369,48111,0.444939,29.08
29,stable,60804,68978,142672938,60765,0.881498,31.79
30,focused,54435,154429,184175897,54411,0.352492,35.32
31,stable,77577,86961,184177683,77540,0.892090,38.99
32,focused,61107,145850,200029395,61074,0.418972,42.95
33,stable,80156,89757,200030235,80108,0.893033,46.73
34,focused,68147,78511,186155536,68119,0.867993,50.24
35,stable,73726,82391,186155715,73695,0.894831,53.91
36,focused,75556,275430,333677814,75520,0.274320,61.64
37,stable,116806,129889,333681023,116746,0.899276,67.95
38,focused,83334,166394,374610875,83298,0.500823,74.36
39,stable,143562,160684,374611478,143472,0.893443,81.88
40,focused,91472,235686,367424110,91437,0.388110,88.89
41,stable,127779,143135,367426728,127697,0.892717,95.91
42,focused,99974,271321,440306045,99929,0.368471,104.13
43,stable,144756,160814,440311921,144697,0.900146,112.79
44,focused,108831,267479,462022904,108790,0.406877,121.01
45,focused,54381,60975,151909383,54357,0.891857,126.51
