phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1002,2189,2420601,745,0.457743,0.40
1,stable,2460,8104,2422450,1994,0.303554,0.84
2,focused,1001,5737,14059023,942,0.174481,1.09
3,stable,6752,27335,14059023,5908,0.247009,2.03
4,focused,2352,8396,166127832,2288,0.280133,5.77
5,stable,9978,26736,166266880,9053,0.373205,11.09
6,focused,4071,12227,197203025,3952,0.332952,15.65
7,stable,6444,6780,197205751,6274,0.950442,21.28
8,focused,6161,7803,426678559,6080,0.789568,30.64
9,stable,6336,6453,426775191,6266,0.981869,40.65
10,focused,8628,23584,581928763,8506,0.365841,53.99
11,stable,10233,10594,582008036,10109,0.965924,67.35
12,focused,11480,17598,857252568,11391,0.652347,85.80
13,stable,11882,12208,857571006,11819,0.973296,105.51
14,focused,14717,31290,1092267106,14605,0.470342,129.15
15,focused,23394,45769,815454498,21847,0.511132,146.46
