phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,8709,1498631,883,0.114824,0.07
1,stable,948,2061,1500912,892,0.459971,0.10
2,focused,1000,3345,1281611,964,0.298954,0.13
3,stable,811,1328,1285562,790,0.610693,0.27
4,focused,2353,14629,4066413,2245,0.160845,0.35
5,stable,1629,2083,4068923,1623,0.782045,0.43
6,focused,4069,32530,16062853,4037,0.125085,0.82
7,stable,10662,15110,16063324,10451,0.705625,1.38
8,focused,6160,21840,7707153,5926,0.282051,1.56
9,stable,6242,8650,7713652,6170,0.721618,1.89
10,focused,8628,34331,10832809,8408,0.251318,2.17
11,stable,9689,12911,10833304,9638,0.750445,2.52
12,focused,11483,54263,18601316,11304,0.211617,2.98
13,stable,13811,18921,18606826,13745,0.729930,3.67
14,focused,14716,58685,23431179,14542,0.250763,4.30
15,stable,16409,22575,23431990,16292,0.726866,5.10
16,focused,18337,63995,27765246,18103,0.286538,5.74
17,stable,22517,28875,27765813,22400,0.779810,6.67
18,focused,22346,33451,35303115,22217,0.668022,7.67
19,stable,26537,36175,35303783,26394,0.733573,8.64
20,focused,26739,125319,53107658,26464,0.213367,9.98
21,stable,37572,51990,53107691,37305,0.722677,11.69
22,focused,31516,119923,93284089,31417,0.262802,14.30
23,stable,77749,107625,93284157,77286,0.722407,17.02
24,focused,36677,63427,46056214,36451,0.578255,18.27
25,stable,35417,46494,46056275,35147,0.761754,19.45
26,focused,42218,79959,59956652,42059,0.527996,21.05
27,stable,41449,53385,59957846,41287,0.776417,22.53
28,focused,48139,105181,74446220,47907,0.457678,24.48
29,stable,53276,69096,74447499,53081,0.771043,26.76
30,focused,54434,116622,87656927,54191,0.466756,28.83
31,stable,57784,77302,87659955,57406,0.747510,31.23
32,focused,61104,150669,113179951,60816,0.405551,34.12
33,stable,72883,98490,113181268,72458,0.740004,37.08
34,focused,68148,93886,114248469,67913,0.725859,39.65
35,stable,68372,88710,114248614,68132,0.770736,42.86
36,focused,75557,195534,144911851,75284,0.386414,46.84
37,stable,97443,122548,144912857,97094,0.795141,50.50
38,focused,83334,179590,208223282,83198,0.464024,55.18
39,stable,132482,166270,208223497,131994,0.796788,60.66
40,focused,91473,135214,138475468,91225,0.676505,63.92
41,stable,88670,112014,138480214,88288,0.791597,67.66
42,focused,99973,148338,142427903,99719,0.673954,71.69
43,focused,16190,20232,25935758,16054,0.800217,72.25
