phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,235315,18408142,997,0.004250,1.35
1,stable,2667,18982,18409856,2658,0.140502,2.13
2,focused,1000,30062,7376559,983,0.033265,2.31
3,stable,1032,5551,7389801,1029,0.185912,2.57
4,focused,2352,604069,48403259,2342,0.003894,4.28
5,stable,6501,30934,48414932,6483,0.210157,6.06
6,focused,4069,221161,42440066,4067,0.018398,7.41
7,stable,6059,29640,42445549,6046,0.204420,8.91
8,focused,6159,1327170,93011970,6135,0.004641,11.84
9,stable,16623,72701,93012069,16583,0.228649,16.43
10,focused,8627,1820565,126191431,8595,0.004739,19.92
11,stable,21752,76477,126192809,21698,0.284425,25.95
12,focused,11479,2239420,163085258,11434,0.005126,30.95
13,stable,34562,116201,163089845,34491,0.297433,39.22
14,focused,14715,2558021,167229816,14644,0.005752,45.90
15,stable,37494,132439,167229832,37429,0.283104,55.40
16,focused,18338,2886117,165152696,18182,0.006354,60.61
17,focused,13622,45337,54019065,13597,0.300461,64.90
