phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,15053,7972879,930,0.066498,1.31
1,stable,6212,20845,7974640,6030,0.298009,2.00
2,focused,1000,5660,6025113,979,0.176678,2.53
3,stable,2700,11938,6025152,2570,0.226169,2.68
4,focused,2353,153024,38421675,2095,0.015377,3.22
5,stable,33962,84166,38421974,32052,0.403512,6.29
6,focused,4069,61937,16442383,3748,0.065696,6.61
7,stable,17069,37441,16452793,15935,0.455891,7.85
8,focused,6159,139769,23480423,5849,0.044066,8.31
9,stable,15793,24745,23480652,14338,0.638230,9.16
10,focused,8628,170847,33008996,7949,0.050501,10.70
11,stable,12084,17643,33010100,11671,0.684918,12.09
12,focused,11482,256232,41306316,10639,0.044811,13.00
13,stable,21151,30785,41306868,19866,0.687055,14.13
14,focused,14718,197516,42707224,14083,0.074515,15.06
15,stable,25913,41766,42709130,23559,0.620433,17.72
16,focused,18337,287842,64225990,16849,0.063705,19.07
17,stable,32113,46037,64229948,29664,0.697548,21.21
18,focused,22346,202757,72319463,21063,0.110211,25.47
19,stable,34382,47908,72319583,31289,0.717667,27.70
20,focused,26740,384817,108333443,24005,0.069488,29.93
21,stable,51268,69891,108336250,47685,0.733542,34.49
22,focused,31518,212197,101600720,29964,0.148532,37.33
23,stable,49927,67024,101602879,46813,0.744912,39.35
24,focused,36678,490053,156871616,33476,0.074845,44.02
25,stable,70761,104151,156879858,67348,0.679408,47.60
26,focused,42218,522172,188661483,39257,0.080851,52.48
27,stable,70682,97882,188675284,65058,0.722114,57.87
28,focused,48138,538453,227393011,45121,0.089401,62.04
29,stable,96134,130543,227394258,87273,0.736416,68.36
30,focused,54434,452712,251396565,51161,0.120240,74.96
31,stable,103566,145272,251408438,95706,0.712911,81.55
32,focused,61104,680985,308573859,57384,0.089729,90.29
33,stable,118742,162404,308575302,107738,0.731152,98.30
34,focused,68147,885033,447340299,64987,0.076999,107.99
35,stable,207248,271964,447347488,191782,0.762042,121.81
36,focused,40440,172875,167049822,38256,0.233926,124.69
