phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1214,350913,998,0.823723,0.04
1,stable,861,1050,351523,860,0.820000,0.05
2,focused,1002,1343,556007,1002,0.746091,0.06
3,stable,993,1229,557649,992,0.807974,0.07
4,focused,2353,3975,1785616,2348,0.591950,0.12
5,stable,2292,2807,1789609,2291,0.816530,0.15
6,focused,4069,5461,4428437,4067,0.745102,0.23
7,stable,4515,5434,4429097,4508,0.830880,0.35
8,focused,6162,15469,9760013,6158,0.398345,0.50
9,stable,7793,9313,9760442,7783,0.836787,0.68
10,focused,8627,26768,18765830,8623,0.322288,0.99
11,stable,12800,15188,18767130,12781,0.842771,1.32
12,focused,11479,26622,24067511,11474,0.431185,1.66
13,stable,15820,18873,24067561,15801,0.838235,2.22
14,focused,14715,42067,35871210,14708,0.349799,2.73
15,stable,21255,25052,35871833,21227,0.848435,3.32
16,focused,18338,51401,52337974,18329,0.356763,4.03
17,stable,30553,36049,52340117,30523,0.847541,5.00
18,focused,22346,33653,61585432,22338,0.664012,5.80
19,stable,30573,36276,61588826,30561,0.842789,6.78
20,focused,26739,70866,89562604,26723,0.377318,8.52
21,stable,47130,56050,89563169,47098,0.840856,9.88
22,focused,31516,52382,108866324,31498,0.601657,11.44
23,stable,51324,60189,108867609,51278,0.852714,13.21
24,focused,36677,112331,142348963,36653,0.326508,15.08
25,stable,79622,93950,142352247,79549,0.847493,17.40
26,focused,42219,100501,143152471,42191,0.420085,19.41
27,stable,65378,76706,143155026,65302,0.852319,22.27
28,focused,48139,122532,184655086,48105,0.392869,24.62
29,stable,77773,91061,184655842,77659,0.854076,27.38
30,focused,54434,136268,228616063,54398,0.399463,30.27
31,stable,94893,111025,228619808,94783,0.854699,33.69
32,focused,61104,134221,243912024,61065,0.455249,37.09
33,stable,94398,110580,243918497,94286,0.853663,40.65
34,focused,68146,97974,286935097,68101,0.695552,44.22
35,stable,98026,113435,286935182,97934,0.864160,48.53
36,focused,75558,192145,358937349,75520,0.393234,55.13
37,stable,121015,140424,358940172,120848,0.861783,60.34
38,focused,83333,128967,403244438,83281,0.646158,65.51
39,stable,155059,180641,403253155,154862,0.858382,72.13
40,focused,91472,238718,452692168,91402,0.383180,78.92
41,stable,161156,189466,452693840,161004,0.850580,86.04
42,focused,99974,217542,506159840,99886,0.459562,93.36
43,stable,177966,206968,506159883,177748,0.859872,100.88
44,focused,108832,257474,560899993,108741,0.422691,108.32
45,stable,185937,216789,560901825,185752,0.857687,119.69
46,focused,118044,264754,620256947,117963,0.445863,128.41
47,stable,203671,237065,620257305,203441,0.859136,138.39
48,focused,127610,277336,702307998,127492,0.460128,147.58
49,stable,214472,249183,702311166,214249,0.860701,157.90
50,focused,137526,208468,784300786,137411,0.659698,168.46
51,focused,163727,189092,510334272,163544,0.865859,176.62
