phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,15441,1608850,980,0.064763,3.18
1,stable,1587,18997,1608967,1550,0.083540,3.29
2,focused,1000,12207,1086140,940,0.081920,3.47
3,stable,2458,163876,1086153,2234,0.014999,3.54
4,focused,2354,970141,15337593,2213,0.002426,4.03
5,stable,16899,283831,15337795,16516,0.059539,5.29
6,focused,4069,1381638,18106174,3674,0.002945,6.55
7,stable,20651,602550,18106443,19012,0.034273,8.00
8,focused,6159,1877948,59838439,5372,0.003280,10.49
9,focused,43436,1460125,50334826,39752,0.029748,14.81
