phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1911,3321498,982,0.523286,0.10
1,stable,1788,2160,3323249,1529,0.827778,0.17
2,focused,1001,1369,822947,926,0.731191,0.21
3,stable,1254,1375,823810,1073,0.912000,0.23
4,focused,2354,2916,4942380,2224,0.807270,0.34
5,stable,2095,2214,4942447,1877,0.946251,0.43
6,focused,4071,4694,2947941,3253,0.867277,0.52
7,stable,407,439,2951928,403,0.927107,0.58
8,focused,6159,7183,16215187,5527,0.857441,0.89
9,stable,10788,11428,16216884,10320,0.943997,1.38
10,focused,8630,14298,27368889,8177,0.603581,2.12
11,stable,13407,14664,27369312,12679,0.914280,2.62
12,focused,11479,18751,50207193,11345,0.612181,3.66
13,stable,25424,27898,50207507,24108,0.911320,5.06
14,focused,14715,20736,61216832,14021,0.709635,6.10
15,stable,17929,18637,61223740,17250,0.962011,7.46
16,focused,18337,28802,108895670,17712,0.636657,9.48
17,stable,21452,21694,108895968,20696,0.988845,11.20
18,focused,22347,56607,106887886,20980,0.394774,13.47
19,stable,21214,21808,106898636,20435,0.972762,15.19
20,focused,26739,94970,135269810,25351,0.281552,17.88
21,stable,25440,27599,135270351,24943,0.921773,20.04
22,focused,31516,117073,182745942,30221,0.269200,23.65
23,stable,49138,57767,182752450,46733,0.850624,27.39
24,focused,36678,78094,232686583,35366,0.469665,31.82
25,stable,49741,54699,232694665,47977,0.909358,36.05
26,focused,42219,96921,271412176,40564,0.435602,41.22
27,stable,62084,68796,271435654,59665,0.902436,46.29
28,focused,48139,137015,326150976,46341,0.351341,53.00
29,stable,81232,91705,326151644,79116,0.885797,59.26
30,focused,54435,154287,317882975,52245,0.352817,65.11
31,stable,72140,82025,317883862,70543,0.879488,71.50
32,focused,61104,173060,398651624,58944,0.353080,78.82
33,stable,104083,119719,398657943,101214,0.869394,86.79
34,focused,68147,155667,486028628,65717,0.437774,94.92
35,stable,115390,126628,486028928,112705,0.911252,105.75
36,focused,75557,263391,498787309,72907,0.286862,114.39
37,stable,93307,102078,498790728,92183,0.914076,124.17
38,focused,83334,209227,624205514,82074,0.398295,136.38
39,stable,121360,130582,624215829,120034,0.929378,148.34
40,focused,91472,174110,620364854,89193,0.525369,159.55
41,stable,131817,141369,620372243,129853,0.932432,172.50
42,focused,41604,120892,222372278,39983,0.344142,177.45
