phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,15567,12258549,972,0.064238,0.68
1,stable,2781,8164,12259134,2757,0.340642,1.36
2,focused,1001,1339,3920587,1001,0.747573,1.46
3,stable,728,2154,3930406,719,0.337976,1.55
4,focused,2352,8879,12605852,2328,0.264895,1.88
5,stable,2889,4998,12610481,2880,0.578031,2.40
6,focused,4069,31341,51455128,4007,0.129830,4.14
7,stable,12010,17912,51465318,11973,0.670500,6.75
8,focused,6159,17827,23434457,6140,0.345487,7.57
9,stable,5809,8323,23438318,5790,0.697945,8.07
10,focused,8627,22999,30152736,8596,0.375103,9.55
11,stable,9025,11737,30166009,9002,0.768936,10.54
12,focused,11480,23374,39252022,11448,0.491144,11.63
13,stable,11818,15184,39253912,11780,0.778319,12.48
14,focused,14715,33373,47290181,14661,0.440925,14.02
15,stable,13423,17637,47297616,13375,0.761070,15.43
16,focused,18337,38030,53515604,18265,0.482172,17.37
17,stable,13706,17452,53526510,13659,0.785354,18.57
18,focused,22346,23674,54399560,22318,0.943905,20.08
19,stable,20761,27886,54402889,20693,0.744495,22.05
20,focused,26741,59704,76968033,26612,0.447893,23.97
21,stable,23872,30880,76970207,23806,0.773057,25.92
22,focused,31516,98776,155299977,31415,0.319065,30.41
23,stable,52337,66266,155318805,52232,0.789802,33.97
24,focused,36677,61872,100638547,36569,0.592788,36.30
25,stable,28906,36107,100647813,28842,0.800565,40.29
26,focused,42218,66840,105339838,42085,0.631628,43.06
27,stable,34965,43331,105347586,34894,0.806928,45.42
28,focused,48140,79631,125456526,47972,0.604538,49.34
29,stable,33427,41761,125461216,33338,0.800436,52.58
30,focused,54439,87463,143213314,54261,0.622423,56.09
31,stable,49048,62185,143222733,48926,0.788743,59.79
32,focused,61107,99736,143753638,60863,0.612687,63.61
33,stable,54679,69857,143754175,54581,0.782728,66.72
34,focused,68147,71386,173249809,68019,0.954627,71.63
35,focused,53443,66688,149947920,53282,0.801389,75.65
