phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,7786,3467077,698,0.128564,0.12
1,stable,1578,5363,3468149,1227,0.294238,0.20
2,focused,1000,3200,2753630,772,0.312500,0.36
3,stable,423,567,2766911,402,0.746032,0.42
4,focused,2352,12718,12622382,2063,0.184935,0.72
5,stable,2573,3606,12631659,2505,0.713533,1.17
6,focused,4069,8347,12284118,3719,0.487481,1.45
7,stable,4484,5231,12285638,4459,0.857197,1.97
8,focused,6159,15082,14807963,6093,0.408368,2.34
9,stable,5421,5891,14808192,5416,0.920217,2.76
10,focused,8628,23613,20411938,8551,0.365392,3.48
11,stable,5812,6419,20414898,5795,0.905437,4.01
12,focused,11479,34992,30230676,11384,0.328046,5.18
13,stable,11675,12953,30240365,11635,0.901336,5.98
14,focused,14717,39939,35192492,14622,0.368487,7.14
15,stable,9917,11309,35195306,9868,0.876912,8.16
16,focused,3957,8922,9540388,3924,0.443510,8.39
