phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,7878,4352892,933,0.126936,1.17
1,stable,574,1118,4386179,506,0.513417,1.27
2,focused,1000,4996,5422170,966,0.200160,1.43
3,stable,3407,12278,5423263,3164,0.277488,2.80
4,focused,2353,106694,13750508,2273,0.022054,3.21
5,stable,5137,16683,13752190,4961,0.307918,4.45
6,focused,4069,78585,31321195,3812,0.051778,6.18
7,stable,12022,39963,31326979,11700,0.300828,10.81
8,focused,6163,67587,38561764,5964,0.091186,13.93
9,stable,7229,23532,38561847,7062,0.307199,15.20
10,focused,8629,257369,66721304,8370,0.033528,18.51
11,stable,10668,37371,66772341,10390,0.285462,20.88
12,focused,11479,383641,59717031,11002,0.029921,27.92
13,stable,16093,32272,59734031,15161,0.498668,29.53
14,focused,14715,763177,98467677,14169,0.019281,35.57
15,stable,22862,85114,98468536,22005,0.268604,40.58
16,focused,18337,848246,126335550,17706,0.021618,48.08
17,stable,40462,115940,126336570,39087,0.348991,53.42
18,focused,22345,127221,56967797,20794,0.175639,62.42
19,stable,34759,100858,56972190,32567,0.344633,64.55
20,focused,26739,1263870,92855370,24098,0.021156,70.33
21,stable,45334,112716,92858212,41933,0.402197,79.42
22,focused,31516,958768,306220685,29213,0.032871,88.14
23,stable,158739,470734,306221106,146606,0.337216,113.66
24,focused,36677,760413,80842946,33603,0.048233,116.60
25,stable,28492,73359,80867504,26503,0.388391,123.68
26,focused,42218,1072361,134953672,38918,0.039369,129.83
27,stable,40416,71595,134967682,37610,0.564509,139.13
28,focused,48138,1289678,131644910,44237,0.037326,143.94
29,stable,40362,111270,131645590,37981,0.362739,152.43
30,focused,54434,1970703,172626304,50189,0.027622,164.22
31,stable,36714,106109,172645441,34508,0.346003,169.05
32,focused,46819,1476488,178544652,43487,0.031710,176.49
