phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,14235,19037047,961,0.070249,2.75
1,stable,1043,7998,19041903,965,0.130408,3.39
2,focused,1000,5044,12337663,985,0.198255,3.67
3,stable,988,13334,12365144,957,0.074096,6.08
4,focused,2352,35770,41383644,2181,0.065753,7.15
5,stable,4095,20106,41396631,4002,0.203671,10.09
6,focused,4069,70898,75086426,3678,0.057392,11.85
7,stable,7799,63351,75088758,7579,0.123108,23.08
8,focused,6159,86533,102156874,5984,0.071175,25.68
9,stable,9954,61133,102161368,9801,0.162825,33.34
10,focused,8627,109455,121707389,8245,0.078818,36.59
11,stable,10779,92603,121711520,10503,0.116400,42.99
12,focused,11480,129112,150956821,11074,0.088915,49.86
13,stable,13556,101295,150988061,13322,0.133827,58.79
14,focused,14715,170987,197102724,14259,0.086059,64.22
15,stable,19537,84537,197123999,19319,0.231106,72.73
16,focused,18338,231075,254755090,17644,0.079360,86.29
17,focused,2812,10068,28058215,2772,0.279301,87.31
