phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,13030,4153957,293,0.076746,0.95
1,stable,1705,19092,4155927,462,0.089304,1.21
2,focused,1003,13176,4228479,232,0.076123,1.62
3,stable,835,8637,4232803,268,0.096677,1.72
4,focused,2353,34477,10600027,668,0.068248,1.97
5,stable,3548,43021,10600779,909,0.082471,2.76
6,focused,4070,52475,13552831,1042,0.077561,3.67
7,stable,5514,70090,13558596,1254,0.078670,4.49
8,focused,6161,105663,28366541,1575,0.058308,5.22
9,stable,11074,131276,28366738,2966,0.084357,6.91
10,focused,8630,136685,42062180,2501,0.063138,8.03
11,stable,17223,208222,42065693,4510,0.082715,10.88
12,focused,11485,173143,45265063,3267,0.066332,13.43
13,stable,21255,235754,45265486,6280,0.090158,15.81
14,focused,14721,180783,39715743,4588,0.081429,17.37
15,stable,27684,277062,39721216,8760,0.099920,19.42
16,focused,18337,166230,21429311,5677,0.110311,20.49
17,focused,3621,16195,1105209,1003,0.223588,20.52
