phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,928,533049,847,1.078664,0.02
1,stable,1172,1056,533102,884,1.109848,0.05
2,focused,1001,1011,712417,979,0.990109,0.07
3,stable,1441,1403,713152,1180,1.027085,0.13
4,focused,2352,2326,1243661,2014,1.011178,0.17
5,stable,1384,1487,1244741,1314,0.930733,0.19
6,focused,4069,4368,3537399,3847,0.931548,0.28
7,stable,3889,4039,3537542,3629,0.962862,0.40
8,focused,6160,7618,5546650,5717,0.808611,0.52
9,stable,7530,7117,5546744,6680,1.058030,0.67
10,focused,8627,10012,7730431,7973,0.861666,0.84
11,stable,8202,8067,7730494,7530,1.016735,1.03
12,focused,11479,18666,12295622,10287,0.614968,1.29
13,stable,13690,13191,12296898,12458,1.037829,1.59
14,focused,14716,33899,20840775,13745,0.434113,2.01
15,stable,16842,16616,20843060,16086,1.013601,2.52
16,focused,18339,21449,19445829,17014,0.855005,2.94
17,stable,15458,14898,19447147,14551,1.037589,3.32
18,focused,22347,51797,38408398,21101,0.431434,4.09
19,stable,47112,45933,38409712,44371,1.025668,4.99
20,focused,26739,32923,25415797,24504,0.812168,5.71
21,stable,22867,22706,25415812,22149,1.007091,6.23
22,focused,31517,59194,45605609,29124,0.532436,7.17
23,stable,28113,28123,45609972,27350,0.999644,8.03
24,focused,36677,57331,48641134,34418,0.639741,9.10
25,stable,32151,32274,48644911,31279,0.996189,9.98
26,focused,42218,82863,48053598,39148,0.509492,10.96
27,stable,50930,49969,48054376,47895,1.019232,12.00
28,focused,48138,87293,68885365,44738,0.551453,13.35
29,stable,52306,51571,68888019,49569,1.014252,14.91
30,focused,54434,72753,78231169,51214,0.748203,16.52
31,stable,53318,52786,78234942,50460,1.010078,17.90
32,focused,61104,76218,70990638,56200,0.801700,19.40
33,stable,44090,43911,70993711,42916,1.004076,20.63
34,focused,68147,93675,121381214,65231,0.727483,22.86
35,stable,70877,70858,121382868,68371,1.000268,25.02
36,focused,75557,96348,120694453,72046,0.784209,27.18
37,stable,59968,59608,120696265,58118,1.006039,29.45
38,focused,83333,103510,135465779,78153,0.805072,32.50
39,stable,73879,73800,135467309,71381,1.001070,34.87
40,focused,91472,113174,131488152,86451,0.808242,37.64
41,stable,64821,65207,131490640,63469,0.994080,39.93
42,focused,99973,141138,140673228,93776,0.708335,42.82
43,stable,67693,67796,140673512,65858,0.998481,45.49
44,focused,108832,125710,214767443,106642,0.865739,49.32
45,stable,111498,111442,214769660,108226,1.000503,53.31
46,focused,118045,153141,183690174,112070,0.770826,57.09
47,stable,75688,75890,183692162,74613,0.997338,60.23
48,focused,127611,180456,201659068,120204,0.707159,64.39
49,stable,83518,83598,201659319,82310,0.999043,68.43
50,focused,137526,169933,305607196,133441,0.809295,73.45
51,stable,137612,137886,305609608,134389,0.998013,79.01
52,focused,147788,189176,276291097,141911,0.781220,84.36
53,stable,146103,147586,276293679,142170,0.989952,89.31
54,focused,158394,184893,344538177,152513,0.856679,95.12
55,stable,185805,185974,344541087,182213,0.999091,101.91
56,focused,169345,208324,313348518,163778,0.812892,108.05
57,stable,172314,170967,313349043,164883,1.007879,114.25
58,focused,180629,225685,366326838,173561,0.800359,120.76
59,stable,196081,193396,366328607,186921,1.013883,127.95
60,focused,192252,254071,419018840,183724,0.756686,135.07
61,stable,192657,190980,419019017,185210,1.008781,142.70
62,focused,204209,248829,466551083,199637,0.820680,150.99
63,focused,133180,133483,314580494,131253,0.997730,156.38
