phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1003,11433,9886429,982,0.087729,0.32
1,stable,653,1983,9908486,652,0.329299,0.48
2,focused,1000,3434,9802837,995,0.291206,0.84
3,stable,756,3012,9809720,744,0.250996,1.04
4,focused,2352,44671,26542877,2326,0.052652,1.37
5,stable,2104,3005,26587159,2104,0.700166,2.08
6,focused,4070,17125,41008055,4025,0.237664,2.63
7,stable,5252,8310,41023421,5249,0.632010,4.94
8,focused,6159,83984,38494270,6047,0.073335,5.70
9,stable,5229,6046,38514633,5227,0.864869,7.35
10,focused,8631,104289,48608081,8456,0.082760,8.30
11,stable,6032,7604,48612502,6029,0.793267,10.48
12,focused,11479,111528,61812488,11286,0.102925,11.89
13,stable,9281,10882,61812847,9281,0.852876,14.30
14,focused,14716,161639,95469224,14481,0.091042,16.41
15,stable,14401,16764,95470919,14400,0.859043,20.83
16,focused,18339,185723,107489395,18070,0.098744,24.23
17,stable,17686,20773,107497314,17686,0.851394,27.89
18,focused,22345,42333,183798084,22283,0.527839,34.08
19,stable,31592,36887,183798184,31584,0.856453,42.42
20,focused,26744,290860,173417908,26317,0.091948,47.80
21,stable,22357,25192,173417914,22350,0.887464,53.08
22,focused,31517,68304,192321071,31180,0.461422,60.00
23,focused,11027,13008,62823172,11026,0.847709,62.03
