phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1674,442475,999,0.597372,0.04
1,stable,895,1167,442824,895,0.766924,0.06
2,focused,1000,1402,554566,998,0.713267,0.07
3,stable,941,1203,554622,941,0.782211,0.08
4,focused,2352,4501,1640533,2352,0.522551,0.13
5,stable,2135,2683,1641473,2133,0.795751,0.17
6,focused,4069,7178,4951268,4069,0.566871,0.26
7,stable,4833,6020,4952901,4831,0.802824,0.42
8,focused,6159,20424,10890657,6157,0.301557,0.60
9,stable,8594,10630,10891078,8592,0.808467,0.84
10,focused,8627,29264,19758627,8624,0.294799,1.14
11,stable,11602,14316,19766330,11597,0.810422,1.52
12,focused,11479,33211,30541003,11476,0.345638,2.00
13,stable,17724,21679,30543506,17709,0.817565,2.82
14,focused,14715,42497,43084147,14713,0.346260,3.46
15,stable,20404,24977,43088195,20396,0.816912,4.24
16,focused,18339,70531,68426885,18337,0.260013,5.35
17,stable,33978,40898,68428976,33973,0.830799,6.47
18,focused,22345,43426,77155736,22339,0.514553,7.76
19,focused,31450,37822,66357416,31442,0.831527,8.88
