phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,5162,27546530,997,0.193723,0.62
1,stable,935,1209,27549871,933,0.773366,1.10
2,focused,1000,2564,26701947,992,0.390016,1.73
3,stable,1159,1274,26743550,1157,0.909733,2.28
4,focused,2352,11428,68630821,2339,0.205810,3.51
5,stable,3444,3783,68631977,3444,0.910389,5.65
6,focused,4069,9925,80616578,3990,0.409975,7.41
7,stable,14861,16105,80620535,14739,0.922757,10.91
8,focused,6159,25902,45463750,5952,0.237781,11.91
9,stable,7137,7505,45466188,7097,0.950966,12.95
10,focused,8627,28457,60032087,8372,0.303159,15.43
11,stable,11564,12244,60037593,11516,0.944463,17.99
12,focused,11482,47458,84989671,11140,0.241940,19.97
13,stable,16423,17261,84995687,16366,0.951451,22.44
14,focused,14715,38218,89306254,14458,0.385028,24.58
15,stable,17370,18289,89310228,17332,0.949751,27.96
16,focused,18338,55938,128135551,18041,0.327827,32.62
17,stable,24225,25201,128140730,24185,0.961271,35.58
18,focused,22347,28850,122449294,22181,0.774593,40.27
19,stable,23942,25072,122454684,23893,0.954930,45.03
20,focused,26741,107184,204652333,26192,0.249487,49.65
21,stable,41996,44086,204652845,41932,0.952593,56.38
22,focused,31516,45192,213213881,31226,0.697380,63.53
23,stable,40412,41879,213215349,40351,0.964971,70.71
24,focused,36678,99752,254580249,36285,0.367692,77.31
25,stable,48669,50390,254581486,48620,0.965846,86.14
26,focused,42218,117295,305582899,41854,0.359930,96.87
27,stable,54142,56042,305586966,54070,0.966097,106.84
28,focused,48138,105996,328415228,47822,0.454149,114.50
29,stable,58844,60661,328425087,58784,0.970047,125.89
30,focused,54435,112968,385607351,54139,0.481862,138.68
31,stable,66188,68036,385613234,66132,0.972838,151.43
32,focused,61106,132138,474850577,60854,0.462441,166.15
33,stable,81632,83992,474863071,81583,0.971902,176.33
34,focused,2756,3600,20986191,2737,0.765556,177.35
