phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,2666,1107955,994,0.375469,4.52
1,stable,1087,1685,1107969,1086,0.645104,4.56
2,focused,1000,1044,1102137,998,0.957854,4.69
3,stable,1021,1511,1102848,1014,0.675711,4.72
4,focused,2352,4060,2371097,2326,0.579310,4.78
5,stable,2016,2930,2372792,2009,0.688055,5.00
6,focused,4069,32037,8333975,4058,0.127009,5.19
7,stable,7459,10272,8334100,7388,0.726149,5.65
8,focused,6162,9240,5589203,6123,0.666883,5.83
9,stable,5502,7399,5594893,5465,0.743614,6.16
10,focused,8630,11726,9415823,8586,0.735971,6.43
11,stable,8899,12381,9416466,8852,0.718763,6.94
12,focused,11480,17014,11402421,11421,0.674738,7.39
13,stable,9303,12804,11402481,9264,0.726570,7.93
14,focused,14716,22975,17776620,14608,0.640522,8.64
15,stable,15082,20903,17776977,15015,0.721523,9.23
16,focused,18339,29153,19491297,18193,0.629060,10.16
17,stable,15075,19703,19492661,14988,0.765112,10.72
18,focused,22345,22850,24513772,22281,0.977899,11.88
19,stable,17006,22333,24515420,16929,0.761474,12.74
20,focused,26739,44673,29424980,26531,0.598549,13.92
21,stable,22432,30681,29425448,22307,0.731137,15.10
22,focused,31516,608383,159148451,31202,0.051803,19.30
23,stable,115330,154688,159151612,114566,0.745565,26.09
24,focused,36677,51203,43549411,36486,0.716306,27.75
25,stable,31424,40596,43555994,31217,0.774066,29.00
26,focused,42218,60804,57010480,41983,0.694329,30.96
27,stable,36665,48828,57010756,36405,0.750901,32.70
28,focused,48142,70508,59575271,47872,0.682788,34.83
29,stable,35135,46948,59578669,34921,0.748381,37.02
30,focused,54437,82106,69872075,54095,0.663009,39.20
31,stable,44252,59680,69875707,43993,0.741488,42.00
32,focused,61104,90903,80011731,60707,0.672189,45.34
33,stable,50269,67899,80013052,50014,0.740350,47.63
34,focused,68146,69644,81911709,67929,0.978491,51.11
35,stable,49103,66782,81912190,48769,0.735273,54.15
36,focused,75558,126091,98495855,74848,0.599234,56.99
37,stable,58441,81297,98497646,58018,0.718858,60.09
38,focused,83334,1057122,372189127,82714,0.078831,72.13
39,stable,228799,308120,372195274,227420,0.742565,85.93
40,focused,91472,129843,138706563,91064,0.704482,90.64
41,stable,78822,106354,138709556,78376,0.741129,94.80
42,focused,99973,140788,145424725,99501,0.710096,99.38
43,stable,73101,96510,145426768,72647,0.757445,103.63
44,focused,108831,155706,170031547,108159,0.698952,109.61
45,stable,104917,141851,170031569,104339,0.739628,115.59
46,focused,118044,181781,166235761,117177,0.649375,120.25
47,stable,93246,125188,166247240,92758,0.744848,126.24
48,focused,127610,200185,183259715,126585,0.637460,134.00
49,stable,105597,140311,183260173,105055,0.752592,141.02
50,focused,137526,141347,187764951,137117,0.972967,147.41
51,stable,105370,141029,187767599,104770,0.747151,153.32
52,focused,147788,273754,200916595,146196,0.539857,160.95
53,stable,112989,149568,200918535,112289,0.755436,168.98
54,focused,58599,697563,290537273,58135,0.084005,176.78
