phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,10849,3179639,963,0.092174,0.27
1,stable,1283,5995,3180182,1256,0.214012,0.35
2,focused,1001,4211,1999176,993,0.237711,0.55
3,stable,1098,5708,1999332,1054,0.192362,0.59
4,focused,2352,20660,6597487,2319,0.113843,0.71
5,stable,3150,17071,6599477,3078,0.184523,1.01
6,focused,4069,29696,11698866,3997,0.137022,1.30
7,stable,6436,17835,11699811,6358,0.360863,1.90
8,focused,6159,60566,19452539,6035,0.101691,2.31
9,stable,9885,32174,19453175,9646,0.307236,3.00
10,focused,8627,85409,29955786,8497,0.101008,4.02
11,stable,14363,41381,29957538,14125,0.347092,5.29
12,focused,11479,108087,38997716,11260,0.106201,5.99
13,stable,19760,47875,38997725,19344,0.412742,7.27
14,focused,14715,131805,52927433,14382,0.111642,8.60
15,stable,24169,50561,52931572,23761,0.478017,9.84
16,focused,18337,149363,69633289,17877,0.122768,11.72
17,focused,33440,63208,68382133,32957,0.529047,13.94
