phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1855,614825,980,0.539084,0.86
1,stable,1167,2498,615556,1134,0.467174,0.91
2,focused,1000,1845,611297,969,0.542005,1.03
3,stable,1185,1531,611418,1144,0.774004,1.05
4,focused,2352,7941,1254470,2282,0.296184,1.09
5,stable,1984,2548,1255372,1924,0.778650,1.21
6,focused,4071,180680,4327738,3964,0.022532,1.53
7,stable,7126,8671,4328335,6884,0.821820,1.93
8,focused,6160,52421,3705552,6000,0.117510,2.24
9,stable,5423,6581,3705556,5250,0.824039,2.61
10,focused,8628,36044,4106491,8462,0.239374,2.73
11,stable,6009,15423,4107073,5850,0.389613,3.07
12,focused,11479,113345,7378543,11167,0.101275,3.60
13,stable,11887,14781,7379062,11657,0.804208,4.14
14,focused,14715,153055,8721624,14414,0.096142,4.53
15,stable,14146,17875,8722499,13801,0.791385,5.06
16,focused,18337,90367,10918139,17936,0.202917,5.65
17,stable,15400,25690,10918839,15104,0.599455,5.99
18,focused,22345,25826,12900588,21953,0.865213,6.53
19,stable,19319,30322,12902703,18971,0.637128,7.70
20,focused,26739,204170,14878103,26381,0.130964,8.17
21,stable,21557,27900,14879336,21284,0.772652,8.78
22,focused,31516,1686383,50249322,31015,0.018689,11.53
23,stable,76494,110770,50249709,75460,0.690566,13.80
24,focused,36677,213249,18562715,36312,0.171991,14.96
25,stable,31760,47316,18562738,31365,0.671232,15.95
26,focused,42219,512127,24629276,41813,0.082439,16.80
27,stable,31312,39708,24634172,30954,0.788556,17.71
28,focused,48138,509582,28946330,47698,0.094466,19.26
29,stable,31769,38513,28946965,31485,0.824890,20.03
30,focused,54434,502102,35521670,53936,0.108412,21.50
31,focused,22101,64860,11588787,21913,0.340749,21.99
