phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1308,1009363,999,0.764526,0.67
1,stable,803,1039,1009527,800,0.772859,0.69
2,focused,1001,1576,1299894,993,0.635152,0.83
3,stable,984,1286,1304060,983,0.765163,0.87
4,focused,2352,3633,3000097,2339,0.647399,0.94
5,stable,2740,4927,3003794,2693,0.556119,1.11
6,focused,4069,38570,8056006,4015,0.105496,1.35
7,stable,5952,8793,8060569,5884,0.676902,1.68
8,focused,6160,45685,12206336,6089,0.134836,1.92
9,stable,8083,12811,12207874,7999,0.630942,2.48
10,focused,8628,42952,19022466,8536,0.200875,3.16
11,stable,11275,16420,19023148,11183,0.686663,3.79
12,focused,11480,86415,27864050,11385,0.132847,4.60
13,stable,14343,18996,27865361,14269,0.755054,5.21
14,focused,14717,108524,34363346,14571,0.135611,6.32
15,stable,18781,27701,34363440,18666,0.677990,7.56
16,focused,18337,99399,46760993,18222,0.184479,8.58
17,stable,22469,30708,46764632,22353,0.731699,10.09
18,focused,22345,30539,40348677,22240,0.731687,11.76
19,stable,21679,31286,40359405,21506,0.692930,12.74
20,focused,26739,208159,80426698,26478,0.128455,14.93
21,stable,38249,52447,80429034,38000,0.729289,17.42
22,focused,31516,133294,95309265,31230,0.236440,19.47
23,stable,39468,52640,95316562,39271,0.749772,21.51
24,focused,36678,221054,106792671,36290,0.165923,23.99
25,stable,44036,61561,106792706,43730,0.715323,27.22
26,focused,42219,218455,135336032,41898,0.193262,30.22
27,stable,48447,63603,135349659,48228,0.761709,33.68
28,focused,48138,210375,164965403,47843,0.228820,37.11
29,stable,54613,69320,164967997,54403,0.787839,41.49
30,focused,54436,239459,192883663,54097,0.227329,45.90
31,stable,71995,92374,192887920,71741,0.779386,51.03
32,focused,32975,96765,91803896,32794,0.340774,53.02
