phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,6285,781603,991,0.159109,0.21
1,stable,908,5123,781707,875,0.177240,0.24
2,focused,1000,2224,640822,989,0.449640,0.38
3,stable,689,1129,642416,688,0.610275,0.41
4,focused,2352,35400,2977968,2337,0.066441,0.47
5,stable,3233,4460,2978942,3219,0.724888,0.62
6,focused,4070,46402,9656145,4055,0.087712,0.95
7,stable,11974,16280,9656260,11924,0.735504,1.36
8,focused,6160,56675,6952113,6112,0.108690,1.75
9,stable,6770,8529,6952960,6750,0.793762,1.90
10,focused,8627,39559,10123383,8603,0.218079,2.32
11,stable,10651,13607,10127488,10595,0.782759,2.66
12,focused,11479,85399,13138695,11427,0.134416,3.04
13,stable,13287,18329,13143164,13217,0.724917,3.48
14,focused,14715,83118,18882685,14663,0.177037,3.91
15,stable,18650,23819,18884278,18569,0.782988,4.61
16,focused,18337,151434,26070076,18269,0.121089,5.19
17,stable,20406,23907,26070169,20365,0.853558,5.83
18,focused,22345,25825,25993737,22306,0.865247,6.69
19,stable,20358,25356,25994380,20302,0.802887,7.21
20,focused,26741,162898,32218422,26605,0.164158,8.08
21,stable,26135,34236,32222942,26045,0.763378,9.31
22,focused,31516,116490,37422097,31144,0.270547,10.10
23,stable,33468,40525,37422898,33311,0.825861,11.39
24,focused,36678,172306,36733649,36395,0.212865,12.71
25,stable,30946,37759,36734123,30712,0.819566,13.49
26,focused,42219,125723,41735253,41940,0.335810,14.80
27,stable,36602,45080,41736494,36430,0.811934,16.22
28,focused,48141,210993,48376241,47609,0.228164,17.81
29,stable,35523,41743,48377686,35388,0.850993,18.81
30,focused,54434,119439,54130125,54227,0.455747,20.15
31,stable,40183,45637,54130125,40124,0.880492,21.43
32,focused,61104,174514,63292486,60740,0.350138,23.19
33,stable,45668,51829,63294163,45594,0.881128,24.85
34,focused,68146,74263,97677194,68012,0.917631,27.91
35,stable,55837,67891,97678903,55706,0.822451,29.84
36,focused,75556,264943,95687138,74785,0.285178,32.28
37,stable,53305,63626,95692336,53126,0.837786,34.59
38,focused,83334,264030,139479189,82867,0.315623,37.84
39,stable,72250,83460,139491320,72036,0.865684,40.47
40,focused,91473,137778,120334711,91203,0.663916,44.13
41,stable,63614,74484,120337646,63399,0.854063,47.09
42,focused,99975,187783,135039611,99684,0.532396,50.52
43,stable,79435,94243,135040109,79157,0.842874,53.85
44,focused,108832,215832,132408772,108406,0.504244,57.24
45,stable,89875,107192,132409370,89419,0.838449,59.97
46,focused,118047,237603,142172914,117668,0.496825,63.99
47,stable,78856,89032,142173547,78595,0.885704,67.42
48,focused,127610,203893,181108167,127142,0.625867,71.38
49,stable,89073,100247,181109174,88810,0.888535,74.74
50,focused,137526,149728,242276731,137324,0.918506,80.22
51,stable,119836,136403,242277745,119523,0.878544,85.71
52,focused,147791,229868,211364697,146900,0.642939,90.48
53,stable,107103,121605,211370625,106721,0.880745,95.95
54,focused,158395,319525,333370666,157356,0.495720,102.35
55,stable,160146,182348,333371876,159857,0.878244,110.06
56,focused,169343,256238,260889153,168807,0.660882,115.95
57,stable,126258,147042,260889921,126021,0.858653,122.08
58,focused,180629,328207,227336401,179983,0.550351,127.60
59,stable,114157,129737,227337133,113914,0.879911,132.15
60,focused,192252,396561,255679505,191553,0.484798,138.25
61,stable,122963,141073,255686163,122786,0.871627,145.24
62,focused,204209,345470,272575639,203478,0.591105,151.96
63,stable,113317,127794,272576247,113100,0.886716,156.97
64,focused,216498,386624,295051754,215691,0.559970,165.30
65,stable,104754,118302,295053714,104526,0.885480,170.48
66,focused,123573,134584,243201803,123432,0.918185,176.55
