phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,24519,7174586,975,0.040785,2.49
1,stable,1485,5699,7176752,1429,0.260572,3.20
2,focused,1000,17374,8519698,970,0.057557,7.23
3,stable,2230,5419,8529722,2225,0.411515,7.48
4,focused,2352,59765,14318875,2291,0.039354,7.79
5,stable,2317,20732,14322825,2288,0.111760,11.67
6,focused,4069,38663,27900304,3935,0.105243,12.22
7,stable,5992,14927,27904268,5912,0.401420,16.30
8,focused,6160,161488,44245922,5972,0.038145,22.26
9,stable,13957,35672,44246010,13832,0.391259,29.78
10,focused,8627,256535,59038756,8290,0.033629,31.47
11,stable,12680,18818,59040479,12634,0.673823,37.42
12,focused,11479,325102,65164378,11087,0.035309,44.57
13,stable,14039,18248,65166077,14002,0.769345,50.77
14,focused,14716,396132,85124974,14365,0.037149,53.08
15,stable,20240,64169,85127766,19993,0.315417,60.08
16,focused,18337,451202,107189388,17819,0.040640,74.31
17,stable,27449,61553,107202262,27195,0.445941,77.99
18,focused,22345,322513,144082743,20979,0.069284,85.22
19,stable,22750,47797,144091339,22482,0.475971,96.98
20,focused,26739,477352,134849099,26147,0.056015,107.02
21,stable,33071,92358,134850653,32755,0.358074,117.75
22,focused,31517,197009,180729127,30794,0.159977,122.91
23,stable,25372,31442,180734928,25304,0.806946,143.78
24,focused,36679,723154,163423710,35343,0.050721,148.69
25,stable,35643,81570,163456436,35210,0.436962,159.26
26,focused,42219,840912,187520306,40982,0.050206,171.10
27,focused,7133,10659,23274251,7054,0.669200,177.21
