phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1001,1737,1725368,955,0.576281,1.96
1,stable,2527,3794,1726233,2349,0.666052,2.27
2,focused,1000,1728,748200,996,0.578704,2.29
3,stable,971,1407,749702,878,0.690121,2.31
4,focused,2353,8713,1684987,2247,0.270056,2.36
5,stable,2202,3146,1687987,2017,0.699936,2.54
6,focused,4069,86015,9082103,3928,0.047306,2.85
7,stable,9037,12873,9085495,8553,0.702012,3.35
8,focused,6159,15892,7425784,5924,0.387553,3.89
9,stable,4041,5856,7425799,3875,0.690061,4.09
10,focused,8627,15838,19936025,8254,0.544703,4.53
11,stable,10107,15123,19937182,9647,0.668320,5.39
12,focused,11480,52527,22553749,11095,0.218554,6.48
13,stable,12089,17219,22558622,11459,0.702073,6.98
14,focused,14715,58052,17589960,14349,0.253480,7.95
15,stable,8730,12532,17591467,8230,0.696617,8.51
16,focused,18338,91267,38651140,17734,0.200927,9.93
17,focused,13175,18349,29495697,12581,0.718023,10.62
