phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1658,720074,1000,0.603136,0.16
1,stable,852,1052,721649,851,0.809886,0.17
2,focused,1002,1095,734289,1002,0.915068,0.19
3,stable,856,1061,736226,856,0.806786,0.23
4,focused,2354,8318,2178616,2353,0.283001,0.28
5,stable,2232,2538,2180836,2203,0.879433,0.33
6,focused,4069,33114,11856540,4067,0.122879,0.61
7,stable,8900,10465,11856760,8882,0.850454,0.93
8,focused,6161,7764,6474184,6156,0.793534,1.09
9,stable,6424,7876,6475098,6410,0.815642,1.29
10,focused,8628,10265,7581951,8610,0.840526,1.48
11,stable,6392,7760,7582678,6373,0.823711,1.65
12,focused,11480,13796,11898232,11459,0.832125,2.11
13,stable,10142,12333,11898285,10126,0.822347,2.43
14,focused,14715,17780,16796827,14667,0.827615,2.91
15,stable,13047,15472,16801392,13017,0.843265,3.28
16,focused,18337,22020,22437785,18260,0.832743,3.85
17,stable,15534,18693,22437861,15480,0.831006,4.39
18,focused,22345,23382,28991127,22320,0.955650,4.98
19,stable,19877,23499,28992266,19837,0.845866,5.76
20,focused,26739,34926,39414120,26616,0.765590,6.63
21,stable,24496,29095,39415937,24439,0.841932,7.53
22,focused,31518,179299,202272524,31421,0.175785,11.37
23,stable,119942,141962,202276093,119673,0.844888,16.04
24,focused,36677,43449,53584991,36596,0.844139,17.65
25,stable,30251,35872,53588605,30167,0.843304,18.77
26,focused,42219,50448,73789622,42131,0.836882,20.56
27,stable,40193,47525,73795262,40095,0.845723,22.01
28,focused,48139,57129,88546832,47978,0.842637,24.01
29,stable,40102,47281,88548003,40006,0.848163,25.98
30,focused,54435,66635,102700033,54244,0.816913,28.01
31,stable,48785,57587,102700604,48671,0.847153,30.37
32,focused,61106,74698,116539289,60834,0.818041,33.07
33,stable,52051,60966,116539580,51851,0.853771,35.41
34,focused,68146,71005,146229858,68045,0.959735,39.22
35,stable,63458,75087,146232800,63284,0.845126,42.28
36,focused,75559,108770,174619767,75150,0.694668,46.32
37,stable,67817,78934,174630148,67621,0.859161,50.26
38,focused,83334,359398,691148532,82994,0.231871,64.74
39,stable,282666,331134,691149818,281922,0.853630,79.80
40,focused,91472,107044,194952655,91299,0.854527,84.43
41,stable,76897,91464,194952724,76708,0.840735,88.35
42,focused,99973,118157,243667101,99689,0.846103,94.39
43,stable,87003,100844,243667246,86752,0.862748,99.92
44,focused,108832,132071,254036005,108478,0.824042,105.64
45,stable,89291,104482,254039340,89075,0.854607,110.75
46,focused,118045,150684,308024756,117591,0.783394,117.76
47,stable,101430,117758,308030139,101182,0.861343,124.95
48,focused,127610,166868,325760649,127079,0.764736,131.72
49,stable,114466,133518,325761890,114228,0.857308,139.28
50,focused,137525,143112,331602236,137321,0.960961,146.52
51,stable,123417,144469,331602811,123158,0.854280,154.15
52,focused,147787,214996,406782677,146978,0.687394,162.67
53,stable,131447,152428,406782857,131133,0.862355,173.65
54,focused,24443,86988,202463471,24341,0.280993,177.65
