phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,2733,203610,992,0.365898,0.04
1,stable,861,1103,203651,859,0.780598,0.04
2,focused,1000,1140,254121,1000,0.877193,0.05
3,stable,701,789,254883,699,0.888466,0.06
4,focused,2352,6022,780348,2336,0.390568,0.10
5,stable,2305,2852,780812,2302,0.808205,0.13
6,focused,4069,23766,4230715,4053,0.171211,0.23
7,stable,7322,8719,4231299,7298,0.839775,0.38
8,focused,6162,8832,2559581,6131,0.697690,0.47
9,stable,6607,7741,2559678,6589,0.853507,0.56
10,focused,8627,10583,3803689,8602,0.815175,0.68
11,stable,9370,11390,3804035,9339,0.822651,0.87
12,focused,11479,17879,4208979,11450,0.642038,1.02
13,stable,9153,10681,4210913,9118,0.856942,1.15
14,focused,14715,21815,7048097,14671,0.674536,1.38
15,stable,16058,19001,7048192,16024,0.845113,1.62
16,focused,18338,26985,7394788,18284,0.679563,1.88
17,stable,15270,17716,7396205,15197,0.861933,2.09
18,focused,22345,24280,10071100,22326,0.920305,2.44
19,stable,18666,21385,10071255,18628,0.872855,2.74
20,focused,26739,40028,11308666,26604,0.668007,3.21
21,stable,21140,24422,11309292,21053,0.865613,3.54
22,focused,31516,59303,24560599,31284,0.531440,4.24
23,stable,40843,46203,24561068,40701,0.883990,4.92
24,focused,36677,51484,15574324,36518,0.712396,5.44
25,stable,27553,31667,15574631,27408,0.870086,5.86
26,focused,42218,56494,21265243,42040,0.747301,6.58
27,stable,32147,36648,21265604,31953,0.877183,7.14
28,focused,48139,63590,19828955,47974,0.757022,7.93
29,stable,34758,38928,19829265,34673,0.892879,8.48
30,focused,54436,72486,25696587,54227,0.750986,9.50
31,stable,40974,46304,25696696,40865,0.884891,10.32
32,focused,61105,78848,28403350,60817,0.774972,11.18
33,stable,46438,53306,28404875,46302,0.871159,12.02
34,focused,40922,43691,23182354,40801,0.936623,12.62
