phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1947,1215695,939,0.513611,0.17
1,stable,495,1253,1215832,489,0.395052,0.21
2,focused,1000,2434,2432959,996,0.410846,0.26
3,stable,987,1666,2434864,983,0.592437,0.43
4,focused,2352,11286,3822043,2281,0.208400,0.50
5,stable,1357,2520,3824895,1351,0.538492,0.56
6,focused,4070,15171,8980508,4041,0.268275,0.81
7,stable,3789,6016,8980642,3770,0.629820,1.20
8,focused,6160,28635,10880835,6027,0.215121,1.60
9,stable,7409,10335,10881696,7373,0.716884,2.25
10,focused,8627,57543,24351656,8499,0.149923,2.65
11,stable,16629,22136,24352293,16539,0.751220,3.62
12,focused,11479,59884,26926742,11384,0.191687,4.42
13,stable,16221,22568,26927059,16155,0.718761,5.26
14,focused,14716,76568,36458354,14612,0.192195,5.90
15,stable,26198,32423,36459132,26090,0.808007,7.24
16,focused,18337,107437,47907189,18140,0.170677,8.46
17,stable,28825,40283,47907566,28717,0.715562,10.09
18,focused,22346,41677,43344691,22131,0.536171,10.84
19,stable,22859,30062,43345784,22812,0.760395,12.27
20,focused,26740,145838,71816053,26473,0.183354,13.56
21,stable,45110,58610,71819356,44874,0.769664,16.08
22,focused,31516,55859,53747085,31241,0.564206,17.22
23,stable,26240,35516,53747770,26065,0.738822,18.64
24,focused,36678,182428,100142711,36327,0.201055,20.82
25,stable,50330,63231,100143203,50189,0.795970,23.50
26,focused,42219,181266,115168861,41871,0.232912,25.90
27,stable,68741,82769,115170689,68529,0.830516,29.55
28,focused,48138,230222,147638254,47746,0.209094,33.45
29,stable,76021,95745,147639555,75782,0.793994,37.90
30,focused,54437,193232,139102967,54114,0.281718,40.71
31,stable,80677,88072,139103690,80542,0.916035,44.30
32,focused,61104,193152,152994267,60690,0.316352,47.33
33,stable,63342,81764,152997616,63114,0.774693,51.33
34,focused,68147,109238,162916461,67712,0.623840,55.97
35,stable,73341,90685,162919440,73146,0.808745,60.71
36,focused,75556,280053,227091088,74888,0.269792,65.03
37,stable,106271,131565,227096617,105979,0.807745,71.30
38,focused,83333,119152,191646786,82906,0.699384,76.33
39,stable,86719,110197,191649613,86331,0.786945,80.26
40,focused,91472,345674,313623262,90885,0.264619,87.78
41,stable,135511,167970,313625323,135084,0.806757,95.74
42,focused,99973,317780,333563021,99308,0.314598,103.03
43,stable,138974,169844,333563363,138484,0.818245,110.60
44,focused,108831,281329,328687867,108238,0.386846,118.02
45,stable,177750,201772,328693274,177206,0.880945,125.43
46,focused,118044,320849,311045544,117554,0.367911,132.30
47,stable,142211,173396,311048072,141736,0.820152,138.94
48,focused,127612,368448,371309683,126999,0.346350,145.95
49,stable,168522,199455,371310624,168042,0.844912,155.72
50,focused,137527,238938,509993228,136614,0.575576,164.63
51,stable,209097,248014,509994327,208571,0.843085,177.16
52,focused,2709,12146,11538061,2699,0.223036,177.38
