phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,21105,7880673,993,0.047382,0.77
1,stable,2075,4428,7897635,2054,0.468609,1.25
2,focused,1000,3850,8074510,985,0.259740,1.40
3,stable,1860,3673,8079926,1834,0.506398,1.58
4,focused,2353,72931,30749439,2332,0.032263,2.52
5,stable,7330,10002,30763366,7279,0.732853,3.49
6,focused,4069,27452,28872012,4037,0.148222,4.38
7,stable,6421,9210,28872325,6378,0.697177,5.18
8,focused,6159,113386,65459154,6078,0.054319,7.02
9,stable,14555,18196,65460551,14472,0.799901,9.53
10,focused,8629,150071,82635199,8541,0.057499,11.43
11,stable,17220,21740,82639969,17133,0.792088,13.99
12,focused,11479,191941,110509238,11399,0.059805,16.61
13,stable,22363,27176,110517291,22261,0.822895,20.37
14,focused,14715,200415,112775604,14633,0.073423,22.76
15,stable,25091,30334,112782367,24976,0.827158,25.99
16,focused,18338,178751,130842801,18218,0.102590,28.84
17,stable,30869,36797,130849076,30771,0.838900,32.92
18,focused,22345,41835,125461648,22250,0.534122,35.89
19,stable,25705,29947,125462721,25600,0.858350,38.64
20,focused,26739,254828,153708984,26584,0.104930,43.69
21,stable,38373,44404,153709973,38248,0.864179,47.74
22,focused,31517,91380,164440263,31319,0.344900,51.42
23,stable,41048,46913,164451768,40909,0.874981,56.10
24,focused,36677,294264,210952947,36446,0.124640,61.81
25,stable,45259,51254,210957222,45069,0.883034,67.40
26,focused,42219,362862,253360354,41979,0.116350,73.42
27,stable,57317,63759,253363660,57085,0.898963,79.93
28,focused,48141,325035,261003168,47898,0.148110,86.41
29,stable,58475,65828,261003633,58243,0.888300,92.74
30,focused,54434,354717,294450968,54178,0.153458,99.41
31,stable,66920,74542,294454899,66639,0.897749,106.92
32,focused,61106,303294,310141585,60883,0.201474,115.75
33,stable,72189,79292,310141588,71946,0.910420,123.07
34,focused,68146,87255,320975421,67954,0.780998,131.58
35,stable,75331,83866,320984415,75131,0.898231,138.68
36,focused,75556,458248,407879303,75245,0.164880,148.32
37,stable,100000,111067,407880166,99714,0.900357,158.44
38,focused,83333,260097,493987087,82917,0.320392,170.87
39,focused,61389,68317,288097744,61144,0.898590,177.20
