phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,1702,509349,1000,0.587544,0.07
1,stable,1297,1980,509853,1295,0.655051,0.09
2,focused,1000,1256,431107,998,0.796178,0.12
3,stable,1045,1526,432177,1042,0.684797,0.13
4,focused,2353,3108,1038113,2345,0.757079,0.16
5,stable,1699,2201,1038136,1682,0.771922,0.19
6,focused,4069,6392,2879667,4054,0.636577,0.32
7,stable,4156,5668,2880764,4141,0.733239,0.40
8,focused,6160,10324,3076353,6142,0.596668,0.51
9,stable,4777,5434,3076358,4741,0.879095,0.58
10,focused,8628,15354,4051578,8576,0.561938,0.79
11,stable,5604,6592,4052844,5554,0.850121,0.88
12,focused,11479,17174,7555750,11426,0.668394,1.09
13,stable,9314,11342,7557291,9279,0.821196,1.30
14,focused,14715,25094,8069624,14637,0.586395,1.56
15,stable,9851,11795,8071902,9783,0.835184,1.75
16,focused,18338,30256,12424787,18259,0.606095,2.12
17,stable,15556,18848,12428524,15488,0.825340,2.55
18,focused,22346,24094,16138187,22327,0.927451,2.93
19,stable,15493,18343,16139857,15442,0.844627,3.37
20,focused,26739,47920,17345432,26590,0.557992,3.93
21,stable,22589,26513,17345801,22478,0.851997,4.35
22,focused,31517,90744,30536701,31311,0.347318,5.10
23,stable,33945,39115,30539718,33731,0.867826,6.06
24,focused,36679,54741,21731645,36505,0.670046,6.58
25,stable,21195,23979,21732073,21025,0.883898,7.10
26,focused,42219,56928,27997305,42016,0.741621,7.88
27,stable,31134,35657,27997444,30874,0.873153,8.50
28,focused,48138,66738,33456803,47916,0.721298,9.42
29,stable,29845,34958,33457722,29690,0.853739,10.33
30,focused,54435,76795,43978914,54233,0.708835,11.36
31,stable,35344,38892,43979160,35257,0.908773,12.41
32,focused,61104,79936,49537639,60822,0.764412,14.06
33,stable,38325,44271,49537652,38102,0.865691,15.15
34,focused,68146,72049,64063717,68073,0.945829,16.80
35,stable,49533,55836,64064200,49400,0.887116,18.43
36,focused,75557,117691,71034560,75152,0.641995,20.24
37,stable,52371,58816,71035384,52170,0.890421,21.77
38,focused,83334,199359,127085972,83071,0.418010,24.67
39,stable,75020,83571,127089044,74873,0.897680,27.42
40,focused,91473,125392,108104652,91136,0.729496,29.98
41,stable,71014,77008,108108510,70859,0.922164,32.17
42,focused,99973,144408,135188150,99542,0.692295,35.62
43,stable,83902,94455,135189153,83522,0.888275,38.49
44,focused,108831,140468,129604365,108466,0.774774,41.52
45,stable,76435,87839,129605704,76195,0.870172,44.42
46,focused,118044,157094,148089314,117598,0.751423,47.69
47,stable,88624,98887,148089618,88435,0.896215,50.66
48,focused,127611,176338,167753398,127097,0.723673,54.47
49,stable,96832,107260,167754021,96491,0.902778,57.98
50,focused,137525,145727,211143895,137340,0.943717,62.60
51,stable,128425,145266,211145811,128029,0.884068,67.76
52,focused,147787,226252,181416876,147119,0.653196,71.90
53,stable,102821,114759,181421099,102652,0.895973,75.49
54,focused,158395,339919,350107887,157930,0.465979,83.10
55,stable,158422,176724,350108302,158055,0.896437,90.50
56,focused,149794,199399,254144498,149194,0.751227,96.20
