phase,mode,d_conflicts,d_decisions,d_ticks,d_learned,glr,time
0,focused,1000,3824,1249671,989,0.261506,0.06
1,stable,181,294,1260712,181,0.615646,0.09
2,focused,1000,2602,1443028,985,0.384320,0.12
3,stable,746,1058,1447740,745,0.705104,0.15
4,focused,2355,10728,4106315,2346,0.219519,0.33
5,stable,2127,2768,4107198,2121,0.768425,0.44
6,focused,4069,15337,9609865,4052,0.265306,0.71
7,stable,6012,7733,9610126,5984,0.777447,0.99
8,focused,6159,29608,9021365,6063,0.208018,1.29
9,stable,5982,7383,9021909,5960,0.810240,1.52
10,focused,8631,41628,14185036,8546,0.207336,1.91
11,stable,10572,13004,14186451,10536,0.812981,2.36
12,focused,11479,61502,25084975,11362,0.186644,3.02
13,stable,18671,22985,25086369,18569,0.812312,3.76
14,focused,14716,63479,31689189,14578,0.231825,4.45
15,stable,19560,23293,31692694,19501,0.839737,5.38
16,focused,18338,63167,33016932,18111,0.290310,6.47
17,stable,23233,27712,33018655,23083,0.838373,7.28
18,focused,22345,49889,52625738,22136,0.447894,8.42
19,stable,33065,39474,52626963,32822,0.837640,9.91
20,focused,26741,100425,58320267,26446,0.266278,11.14
21,stable,35905,42187,58320618,35693,0.851092,12.69
22,focused,31516,41760,44072524,31235,0.754693,13.80
23,stable,31191,37465,44072524,30917,0.832537,14.92
24,focused,36677,151283,98742718,36235,0.242440,17.30
25,stable,56934,68136,98743044,56613,0.835594,19.84
26,focused,42220,148871,117534440,41809,0.283601,22.22
27,stable,64243,75797,117536035,63936,0.847567,25.16
28,focused,48140,127423,123963359,47700,0.377797,27.89
29,stable,67789,79013,123965484,67421,0.857947,30.91
30,focused,54436,157663,149160093,53953,0.345268,34.23
31,stable,73668,87736,149161167,73270,0.839655,38.12
32,focused,61104,159394,179830645,60628,0.383352,41.74
33,stable,82595,95495,179831347,82199,0.864914,46.09
34,focused,68146,128182,227325679,67504,0.531635,50.93
35,stable,99134,113593,227326152,98735,0.872712,56.27
36,focused,75556,194149,243838919,74994,0.389165,61.07
37,stable,115100,134324,243850417,114572,0.856883,67.01
38,focused,83334,101849,199149011,82945,0.818211,71.68
39,stable,93387,107528,199151742,92977,0.868490,76.70
40,focused,91474,308390,338872063,90904,0.296618,85.07
41,stable,137548,158825,338875798,136953,0.866035,92.84
42,focused,99973,238994,332902592,99362,0.418308,100.34
43,stable,139894,160793,332904786,139433,0.870025,108.34
44,focused,108834,262269,374459549,108155,0.414971,116.49
45,stable,171594,198617,374460367,170874,0.863944,125.52
46,focused,118047,275412,393147720,117337,0.428620,133.98
47,stable,172379,198004,393149857,171817,0.870583,143.18
48,focused,127610,308472,467772558,126879,0.413684,153.22
49,stable,179701,205013,467774418,179042,0.876535,164.60
50,focused,134898,222137,622149008,134023,0.607274,177.27
