label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
A-upstream,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,2d-strip-packing,1,UNSAT,20,51.699,51.336,23.0,766707,2332074,251896605,28609,21,time,180.0,,,2026-09-23T04:37:41+00:00,1
A-upstream,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,2d-strip-packing,2,UNSAT,20,51.240,50.882,22.7,811244,2456819,260220999,28509,22,time,180.0,,,2026-09-23T04:40:58+00:00,1
A-upstream,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,algorithm-equivalence-checking,1,UNSAT,20,68.870,68.411,19.9,1697946,3002285,182744726,51086,29,time,180.0,,,2026-09-23T04:41:50+00:00,1
A-upstream,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,algorithm-equivalence-checking,2,UNSAT,20,65.250,64.724,21.6,1591298,2814780,170749382,46807,27,time,180.0,,,2026-09-23T04:45:08+00:00,1
A-upstream,8d0d8518a438d93428257d9a38863c3c.cnf.xz,allowable-seqence,1,SAT,10,12.840,12.795,20.6,181323,882454,80138267,9623,13,time,180.0,,,2026-09-23T04:46:13+00:00,1
A-upstream,8d0d8518a438d93428257d9a38863c3c.cnf.xz,allowable-seqence,2,SAT,10,16.180,16.068,20.3,204726,929600,95948704,10168,13,time,180.0,,,2026-09-23T04:47:55+00:00,1
A-upstream,365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,argumentation,1,SAT,10,1.054,1.062,128.6,0,0,5428,0,0,time,180.0,,,2026-09-23T04:48:11+00:00,1
A-upstream,365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,argumentation,2,SAT,10,1.003,1.043,128.7,0,0,5428,0,0,time,180.0,,,2026-09-23T04:48:15+00:00,1
A-upstream,80bb5209e88def5643bf5593320b104f.cnf.xz,argumentation,1,SAT,10,6.380,6.676,538.2,0,0,12350,0,0,time,180.0,,,2026-09-23T04:48:16+00:00,1
A-upstream,80bb5209e88def5643bf5593320b104f.cnf.xz,argumentation,2,SAT,10,4.665,4.881,538.2,0,0,12350,0,0,time,180.0,,,2026-09-23T04:48:32+00:00,1
A-upstream,d699355595398f0765c5f51c9d0ad852.cnf.xz,argumentation,1,SAT,10,13.696,14.520,937.5,0,0,178500,0,0,time,180.0,,,2026-09-23T04:48:36+00:00,1
A-upstream,d699355595398f0765c5f51c9d0ad852.cnf.xz,argumentation,2,SAT,10,11.841,12.472,937.7,0,0,178500,0,0,time,180.0,,,2026-09-23T04:49:13+00:00,1
A-upstream,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,1,UNSAT,20,13.607,13.464,18.2,895508,1204369,22568739,18203,21,time,180.0,,,2026-09-23T04:49:25+00:00,1
A-upstream,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,2,UNSAT,20,10.302,10.181,18.2,638455,889764,17433805,13673,19,time,180.0,,,2026-09-23T04:50:03+00:00,1
A-upstream,cb2e8b7fada420c5046f587ea754d052.cnf.xz,clique-formulas,1,UNSAT,20,12.197,12.066,18.2,762005,988814,17062145,17930,19,time,180.0,,,2026-09-23T04:50:13+00:00,1
A-upstream,cb2e8b7fada420c5046f587ea754d052.cnf.xz,clique-formulas,2,UNSAT,20,6.431,6.362,18.2,431433,593493,11192228,10863,16,time,180.0,,,2026-09-23T04:50:42+00:00,1
A-upstream,7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,cryptography-simon,1,SAT,10,0.012,0.011,18.2,0,0,8184,0,0,time,180.0,,,2026-09-23T04:50:48+00:00,1
A-upstream,7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,cryptography-simon,2,SAT,10,0.010,0.011,18.2,0,0,8184,0,0,time,180.0,,,2026-09-23T04:50:48+00:00,1
A-upstream,4e0de894799790b06e8d6c3efd109ade.cnf.xz,ecc-equivalence-checking,1,SAT,10,31.269,32.086,2989.1,0,0,17519849,0,0,time,180.0,,,2026-09-23T04:50:48+00:00,1
A-upstream,4e0de894799790b06e8d6c3efd109ade.cnf.xz,ecc-equivalence-checking,2,SAT,10,22.979,23.825,2989.1,0,0,17519849,0,0,time,180.0,,,2026-09-23T04:52:04+00:00,1
A-upstream,bbcfd33f07cbf6fefa950d8254aa34ce.cnf.xz,ecc-equivalence-checking,1,SAT,10,15.302,15.935,2070.4,0,0,12129449,0,0,time,180.0,,,2026-09-23T04:52:27+00:00,1
A-upstream,bbcfd33f07cbf6fefa950d8254aa34ce.cnf.xz,ecc-equivalence-checking,2,SAT,10,15.101,15.689,2070.3,0,0,12129449,0,0,time,180.0,,,2026-09-23T04:53:12+00:00,1
A-upstream,ee8c86d39745aea1c1731d4f34bcaed7.cnf.xz,ecc-equivalence-checking,1,SAT,10,16.667,17.344,2300.1,0,0,13477049,0,0,time,180.0,,,2026-09-23T04:53:28+00:00,1
A-upstream,ee8c86d39745aea1c1731d4f34bcaed7.cnf.xz,ecc-equivalence-checking,2,SAT,10,16.615,17.308,2300.0,0,0,13477049,0,0,time,180.0,,,2026-09-23T04:54:17+00:00,1
A-upstream,1890f49a43a94b97828528b68c32b78e.cnf.xz,fpga-routing,1,UNSAT,20,54.008,53.616,28.1,3006024,3699339,56533225,85610,31,time,180.0,,,2026-09-23T04:54:34+00:00,1
A-upstream,1890f49a43a94b97828528b68c32b78e.cnf.xz,fpga-routing,2,UNSAT,20,84.516,83.955,38.1,4642369,5718705,84918235,126360,36,time,180.0,,,2026-09-23T04:56:53+00:00,1
A-upstream,15e666a42158e3304fc3979de28a5e44.cnf.xz,graph-coloring,1,UNSAT,20,58.667,58.232,25.1,2341397,3184326,159105750,47570,30,time,180.0,,,2026-09-23T04:58:18+00:00,1
A-upstream,15e666a42158e3304fc3979de28a5e44.cnf.xz,graph-coloring,2,UNSAT,20,5.808,5.787,18.2,240220,362966,19193354,2372,12,time,180.0,,,2026-09-23T05:00:15+00:00,1
A-upstream,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,graph-coloring,1,UNSAT,20,94.962,94.215,32.7,3021957,4080187,185947327,72020,33,time,180.0,,,2026-09-23T05:00:21+00:00,1
A-upstream,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,graph-coloring,2,UNSAT,20,69.441,68.927,32.0,2010467,2751906,118106573,44699,28,time,180.0,,,2026-09-23T05:04:37+00:00,1
A-upstream,12cd0c3196589ac8105653cbfe613fc6.cnf.xz,hardware-verification,1,UNSAT,20,3.564,3.507,18.2,91682,470235,32344858,3215,9,time,180.0,,,2026-09-23T05:05:46+00:00,1
