instance,status,cpu_s,verificacion
bench/symm2026/H/043c91001968a1fbd1ef419540fcb396.cnf.xz,TIMEOUT,177.675,SALTADA
bench/symm2026/H/0d082b8fa36f662217bee5524cd24d3a.cnf.xz,UNSAT,4.021,OK
bench/symm2026/H/0ec6bf97a96b9840ae84f1d1da4c4dcd.cnf.xz,UNSAT,0.355,OK
bench/symm2026/H/0f1070ba60b55aa62d3a98798a14700e.cnf.xz,TIMEOUT,178.15,SALTADA
bench/symm2026/H/12ac1c71ff0405cc150c2a2db6c4a255.cnf.xz,UNSAT,0.383,OK
bench/symm2026/H/15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,UNSAT,2.028,OK
bench/symm2026/H/1890f49a43a94b97828528b68c32b78e.cnf.xz,UNSAT,0.039,OK
bench/symm2026/H/1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,TIMEOUT,177.495,SALTADA
bench/symm2026/H/1fb646d2657b6dd5f0106dbec9fd6c27.cnf.xz,UNSAT,0.117,OK
bench/symm2026/H/266e890b706cf336378bf148bbda1aff.cnf.xz,UNSAT,0.401,OK
bench/symm2026/H/28dcc4119e1bbb5fbd3fdd8f4140f28d.cnf.xz,SAT,160.563,OK
bench/symm2026/H/2b7e863462991fd008f9898eca63ebf4.cnf.xz,SAT,41.91,OK
bench/symm2026/H/306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,UNSAT,10.837,OK
bench/symm2026/H/35e0b5a19c88961d98dd806e805759f4.cnf.xz,UNSAT,0.416,OK
bench/symm2026/H/3c4ac805726d78a869ff8116ee3533db.cnf.xz,UNSAT,0.043,OK
bench/symm2026/H/43d40ced32b5be08814ef24f97379654.cnf.xz,UNSAT,0.041,OK
bench/symm2026/H/44452f4bac1e77157bbc900c5cc0756d.cnf.xz,TIMEOUT,176.63,SALTADA
bench/symm2026/H/58eaf62034046ed4fc52562869569b44.cnf.xz,UNSAT,1.108,OK
bench/symm2026/H/5d02aa18eac7304c705577f1cce07784.cnf.xz,TIMEOUT,177.921,SALTADA
bench/symm2026/H/5d06225b27017e9a703f10cb577cf3bf.cnf.xz,UNSAT,0.073,OK
bench/symm2026/H/5d8b47745dba3fe50f9c8712be389cd5.cnf.xz,UNSAT,4.762,OK
bench/symm2026/H/65bf849f3e86ab275e339934f4d140a0.cnf.xz,TIMEOUT,176.848,SALTADA
bench/symm2026/H/6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,TIMEOUT,177.026,SALTADA
bench/symm2026/H/71849248b47db583f56e77f55f31e525.cnf.xz,UNSAT,0.576,OK
bench/symm2026/H/757d64688ac60cba697a980dfbbf5075.cnf.xz,UNSAT,0.289,OK
bench/symm2026/H/7b9620b5d7da55bda43595fe37867acd.cnf.xz,UNSAT,0.673,OK
bench/symm2026/H/8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,SAT,8.52,OK
bench/symm2026/H/860788f93fb766e83e00a29de84180e7.cnf.xz,UNSAT,0.781,OK
bench/symm2026/H/92b22042a950db2a9841f08d169d1bb5.cnf.xz,UNSAT,0.615,OK
bench/symm2026/H/9ba8145e0d02318dea5507fc3ba03472.cnf.xz,UNSAT,18.37,OK
bench/symm2026/H/a7e5d03892a17e51e22b688f51cf0aab.cnf.xz,UNSAT,1.845,OK
bench/symm2026/H/a95f0373ebf724f474fcc9ccd7197bd9.cnf.xz,UNSAT,0.147,OK
bench/symm2026/H/aa4e80476e6a6ea1034e303e6b2e46dc.cnf.xz,UNSAT,0.378,OK
bench/symm2026/H/b0142b06940fb02e2b4ddb7a2101a3d6.cnf.xz,UNSAT,0.089,OK
bench/symm2026/H/b0abaa97c4663edc2048d86de3e2b226.cnf.xz,UNSAT,79.163,SALTADA
bench/symm2026/H/b1c44904cf06682f973b60c8282f45e8.cnf.xz,SAT,30.516,OK
bench/symm2026/H/bcdc894819cf050e57849fe84a1e8cc4.cnf.xz,UNSAT,0.186,OK
bench/symm2026/H/c44762c4b177ac64fd0919f37de8382e.cnf.xz,UNSAT,0.294,OK
bench/symm2026/H/cb2e8b7fada420c5046f587ea754d052.cnf.xz,UNSAT,0.099,OK
bench/symm2026/H/d27f76623aed2fce608c092b2aafafc5.cnf.xz,UNSAT,0.625,OK
bench/symm2026/H/e430acf720b63044e5c825a00a76b0eb.cnf.xz,UNSAT,0.071,OK
bench/symm2026/H/e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,TIMEOUT,177.566,SALTADA
bench/symm2026/H/e91253303b915493090c1f4b59d9e969.cnf.xz,UNSAT,3.896,OK
bench/symm2026/H/f83424f869b61931d720f93e5a12df3c.cnf.xz,UNSAT,0.044,OK
bench/symm2026/H/fbd9968f5067604694f11f14c07c5527.cnf.xz,UNSAT,1.656,OK
bench/symm2026/N/011984fd82d62d609e776fbf5de75440.cnf.xz,UNSAT,0.047,OK
bench/symm2026/N/09637d3bd641b4d733666a862e8918ea.cnf.xz,SAT,21.35,OK
bench/symm2026/N/0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,UNSAT,18.987,OK
bench/symm2026/N/0c9da400944b002f90fd385d4fdab385.cnf.xz,SAT,16.153,OK
bench/symm2026/N/1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,UNSAT,17.418,OK
bench/symm2026/N/2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,SAT,84.802,OK
bench/symm2026/N/4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,UNSAT,65.247,SALTADA
bench/symm2026/N/543e67dd5abc272c37775b1b742a1d9a.cnf.xz,SAT,66.928,OK
bench/symm2026/N/5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,SAT,0.302,OK
bench/symm2026/N/74931e82fd208ed949fa44bccd80df6b.cnf.xz,SAT,26.973,OK
bench/symm2026/N/8d0d8518a438d93428257d9a38863c3c.cnf.xz,SAT,30.617,OK
bench/symm2026/N/91860f79f079fede859034c7d76a98a2.cnf.xz,SAT,109.089,OK
bench/symm2026/N/920bbe559da4ea37fd636605316a791c.cnf.xz,UNSAT,27.105,OK
bench/symm2026/N/a20f076f7fce54172e823c63ea7948f7.cnf.xz,UNSAT,35.92,OK
bench/symm2026/N/ae48df6541d190c096b1e5ba22d1b534.cnf.xz,UNSAT,53.029,OK
bench/symm2026/N/ba14be209c2fc064726025f017cef17a.cnf.xz,SAT,38.562,OK
bench/symm2026/N/c557ad9cb79983b9d429c219e3cecbb8.cnf.xz,UNSAT,31.324,OK
bench/symm2026/N/d0b5d1dc96a5bf33d2c65106c3b179a8.cnf.xz,UNSAT,32.367,OK
bench/symm2026/N/f2c6d035d0aa58cc06927af6be7a821f.cnf.xz,UNSAT,44.485,OK
