label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
B-kissat-sc2026,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,2d-strip-packing,1,UNSAT,20,63.124,62.842,24.0,744246,2242748,240715852,25553,20,time,180.0,,,2026-09-24T19:18:10+00:00,1
B-kissat-sc2026,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,2d-strip-packing,2,UNSAT,20,128.436,127.369,32.1,1282310,3600811,385896346,41428,25,time,180.0,,,2026-09-24T19:19:13+00:00,1
B-kissat-sc2026,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,algorithm-equivalence-checking,1,UNSAT,20,108.422,106.339,20.1,1494916,2863691,164949197,47428,27,time,180.0,,,2026-09-24T19:24:14+00:00,1
B-kissat-sc2026,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,algorithm-equivalence-checking,2,UNSAT,20,63.780,63.607,20.4,1346479,2638467,146766961,43682,26,time,180.0,,,2026-09-24T20:31:58+00:00,1
B-kissat-sc2026,8d0d8518a438d93428257d9a38863c3c.cnf.xz,allowable-seqence,1,SAT,10,55.769,55.671,37.4,476409,1954334,188791521,31022,17,time,180.0,,,2026-09-24T20:34:32+00:00,1
B-kissat-sc2026,8d0d8518a438d93428257d9a38863c3c.cnf.xz,allowable-seqence,2,SAT,10,88.932,88.579,36.8,699808,2626001,264099816,42750,20,time,180.0,,,2026-09-24T20:35:28+00:00,1
B-kissat-sc2026,365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,argumentation,1,SAT,10,0.953,0.970,128.4,0,0,5428,0,0,time,180.0,,,2026-09-24T20:37:16+00:00,1
B-kissat-sc2026,365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,argumentation,2,SAT,10,0.953,1.005,128.2,0,0,5428,0,0,time,180.0,,,2026-09-24T20:37:17+00:00,1
B-kissat-sc2026,80bb5209e88def5643bf5593320b104f.cnf.xz,argumentation,1,SAT,10,4.160,4.434,537.8,0,0,12350,0,0,time,180.0,,,2026-09-24T20:37:23+00:00,1
B-kissat-sc2026,80bb5209e88def5643bf5593320b104f.cnf.xz,argumentation,2,SAT,10,5.065,5.333,537.6,0,0,12350,0,0,time,180.0,,,2026-09-24T20:37:27+00:00,1
B-kissat-sc2026,d699355595398f0765c5f51c9d0ad852.cnf.xz,argumentation,1,SAT,10,12.638,13.612,937.5,0,0,178500,0,0,time,180.0,,,2026-09-24T20:37:50+00:00,1
B-kissat-sc2026,d699355595398f0765c5f51c9d0ad852.cnf.xz,argumentation,2,SAT,10,12.841,13.740,937.5,0,0,178500,0,0,time,180.0,,,2026-09-24T20:38:03+00:00,1
B-kissat-sc2026,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,1,UNSAT,20,14.591,14.576,20.0,1181795,1527971,29263303,24535,24,time,180.0,,,2026-09-24T20:38:41+00:00,1
B-kissat-sc2026,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,clique-formulas,2,UNSAT,20,8.424,8.382,20.0,687857,973427,21105030,14775,20,time,180.0,,,2026-09-24T20:38:56+00:00,1
B-kissat-sc2026,cb2e8b7fada420c5046f587ea754d052.cnf.xz,clique-formulas,1,UNSAT,20,8.984,8.927,20.0,564471,749418,13943133,10495,18,time,180.0,,,2026-09-24T20:39:25+00:00,1
B-kissat-sc2026,cb2e8b7fada420c5046f587ea754d052.cnf.xz,clique-formulas,2,UNSAT,20,9.478,9.424,20.0,713071,941393,16523733,14526,20,time,180.0,,,2026-09-24T20:39:34+00:00,1
B-kissat-sc2026,7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,cryptography-simon,1,SAT,10,0.010,0.009,20.0,0,0,8184,0,0,time,180.0,,,2026-09-24T20:39:50+00:00,1
B-kissat-sc2026,7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,cryptography-simon,2,SAT,10,0.010,0.009,20.0,0,0,8184,0,0,time,180.0,,,2026-09-24T20:39:50+00:00,1
