instance,family,build,exit,secs,clauses_in,clauses_out,proof_bytes,out_sha1
043c91001968a1fbd1ef419540fcb396.cnf.xz,H,mit,0,2.073,748640,410537,8976945,58c6ab44973a5ae319fed22933bc71a8f68e23a3
043c91001968a1fbd1ef419540fcb396.cnf.xz,H,mclique,0,0.917,748640,1,7114706,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
043c91001968a1fbd1ef419540fcb396.cnf.xz,H,cliques,0,1.083,748640,1,7114706,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0d082b8fa36f662217bee5524cd24d3a.cnf.xz,H,mit,0,4.228,48323,1,1284623,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0d082b8fa36f662217bee5524cd24d3a.cnf.xz,H,mclique,0,4.443,48323,1,1284623,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0d082b8fa36f662217bee5524cd24d3a.cnf.xz,H,cliques,0,4.230,48323,1,1284623,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0ec6bf97a96b9840ae84f1d1da4c4dcd.cnf.xz,H,mit,0,0.416,220951,1,2289601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0ec6bf97a96b9840ae84f1d1da4c4dcd.cnf.xz,H,mclique,0,0.416,220951,1,2289601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0ec6bf97a96b9840ae84f1d1da4c4dcd.cnf.xz,H,cliques,0,0.416,220951,1,2289601,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0f1070ba60b55aa62d3a98798a14700e.cnf.xz,H,mit,0,0.867,116738,93893,1858902,7a1851fb59bc84a5bdd7b40cfd5d67f549776558
0f1070ba60b55aa62d3a98798a14700e.cnf.xz,H,mclique,0,0.215,116738,1,1049998,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
0f1070ba60b55aa62d3a98798a14700e.cnf.xz,H,cliques,0,0.215,116738,1,1049999,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
12ac1c71ff0405cc150c2a2db6c4a255.cnf.xz,H,mit,0,0.466,336450,1,1243853,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
12ac1c71ff0405cc150c2a2db6c4a255.cnf.xz,H,mclique,0,0.416,336450,1,1243853,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
12ac1c71ff0405cc150c2a2db6c4a255.cnf.xz,H,cliques,0,0.416,336450,1,1243853,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,H,mit,0,2.072,20035,1,424837,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,H,mclique,0,2.223,20035,1,424837,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,H,cliques,0,2.072,20035,1,424837,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1890f49a43a94b97828528b68c32b78e.cnf.xz,H,mit,0,0.008,1122,1,8805,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1890f49a43a94b97828528b68c32b78e.cnf.xz,H,mclique,0,0.008,1122,1,8805,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1890f49a43a94b97828528b68c32b78e.cnf.xz,H,cliques,0,0.008,1122,1,8805,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,H,mit,0,0.516,198762,303996,2058018,ed3639daac7cf0dde337869b15d8df394a2c9fee
1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,H,mclique,0,0.365,198762,1,1914572,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,H,cliques,0,0.316,198762,1,1914572,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1fb646d2657b6dd5f0106dbec9fd6c27.cnf.xz,H,mit,0,0.115,65682,1,638709,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1fb646d2657b6dd5f0106dbec9fd6c27.cnf.xz,H,mclique,0,0.114,65682,1,638709,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
1fb646d2657b6dd5f0106dbec9fd6c27.cnf.xz,H,cliques,0,0.114,65682,1,638709,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
266e890b706cf336378bf148bbda1aff.cnf.xz,H,mit,0,0.415,11715,1,176156,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
266e890b706cf336378bf148bbda1aff.cnf.xz,H,mclique,0,0.415,11715,1,176156,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
266e890b706cf336378bf148bbda1aff.cnf.xz,H,cliques,0,0.415,11715,1,176156,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
28dcc4119e1bbb5fbd3fdd8f4140f28d.cnf.xz,H,mit,0,0.064,8933,7683,32272,a5f239820dd693d3603189f9dfadfbb7ba55681d
28dcc4119e1bbb5fbd3fdd8f4140f28d.cnf.xz,H,mclique,0,0.064,8933,7683,32272,a5f239820dd693d3603189f9dfadfbb7ba55681d
28dcc4119e1bbb5fbd3fdd8f4140f28d.cnf.xz,H,cliques,0,0.064,8933,7683,32272,a5f239820dd693d3603189f9dfadfbb7ba55681d
2b7e863462991fd008f9898eca63ebf4.cnf.xz,H,mit,0,9.048,803227,764043,1043930,44554af9af2fee52d5f2a10eb0f060fa2335958c
2b7e863462991fd008f9898eca63ebf4.cnf.xz,H,mclique,0,8.747,803227,764043,1043930,44554af9af2fee52d5f2a10eb0f060fa2335958c
2b7e863462991fd008f9898eca63ebf4.cnf.xz,H,cliques,0,8.650,803227,764043,1043930,44554af9af2fee52d5f2a10eb0f060fa2335958c
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,mit,0,13.916,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,mclique,0,13.972,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,cliques,0,13.269,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
35e0b5a19c88961d98dd806e805759f4.cnf.xz,H,mit,0,0.415,16401,1,510738,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
35e0b5a19c88961d98dd806e805759f4.cnf.xz,H,mclique,0,0.466,16401,1,510738,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
