banco,instancia,resultado
calib,ae48df6541d190c096b1e5ba22d1b534.cnf.xz,vars=6664 clauses=89966 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,vars=2856 clauses=11109 xors=42 k3=42 k4=0 k5=0 k6=0 covered=126 maxcomp=1
calib,8d0d8518a438d93428257d9a38863c3c.cnf.xz,vars=13211 clauses=122177 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,365a02a7d781d655bb2a64d2273a2d0c.cnf.xz,vars=5428 clauses=5721464 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,80bb5209e88def5643bf5593320b104f.cnf.xz,vars=12350 clauses=25473117 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,d699355595398f0765c5f51c9d0ad852.cnf.xz,vars=178500 clauses=43869358 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,vars=450 clauses=20035 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,cb2e8b7fada420c5046f587ea754d052.cnf.xz,vars=180 clauses=3160 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,7cbc3ce2052ba7c5b501f75af58ab3c4.cnf.xz,vars=3648 clauses=12160 xors=2112 k3=2112 k4=0 k5=0 k6=0 covered=3616 maxcomp=1056
calib,4e0de894799790b06e8d6c3efd109ade.cnf.xz,vars=17518343 clauses=46807839 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,bbcfd33f07cbf6fefa950d8254aa34ce.cnf.xz,vars=12127943 clauses=32405039 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,ee8c86d39745aea1c1731d4f34bcaed7.cnf.xz,vars=13475543 clauses=36005739 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,1890f49a43a94b97828528b68c32b78e.cnf.xz,vars=220 clauses=1122 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,15e666a42158e3304fc3979de28a5e44.cnf.xz,vars=4600 clauses=43812 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,vars=2300 clauses=21816 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,12cd0c3196589ac8105653cbfe613fc6.cnf.xz,vars=5096 clauses=80213 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,vars=322 clauses=1127 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,a789d0722f1aa0d44c5a38b374719c69.cnf.xz,vars=10531100 clauses=28326357 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,1bb9fe12b4fb50e98903ee87a51d6472.cnf.xz,vars=11680 clauses=74581 xors=86 k3=86 k4=0 k5=0 k6=0 covered=258 maxcomp=1
calib,9d20bb1bd01838d70177ffd3aa284aeb.cnf.xz,vars=296051 clauses=968713 xors=82106 k3=82106 k4=0 k5=0 k6=0 covered=164854 maxcomp=40888
calib,e85fb114c33f450dc2622c78bc6fa019.cnf.xz,vars=32170813 clauses=82175657 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,6d815089fb4095208754622b4c44a8f7.cnf.xz,vars=5892 clauses=23367 xors=2879 k3=2879 k4=0 k5=0 k6=0 covered=5824 maxcomp=67
calib,09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,vars=342 clauses=339679 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,vars=289 clauses=242594 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,0be1e12a8e7282d1a4e389bb90f6dbc7.cnf.xz,vars=1200 clauses=8093 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,dd5d530ac8bf0019412d023488b075eb.cnf.xz,vars=4220 clauses=16220 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,09637d3bd641b4d733666a862e8918ea.cnf.xz,vars=12662 clauses=102387 xors=97 k3=0 k4=0 k5=97 k6=0 covered=485 maxcomp=1
calib,6add7e416c1126607afeb2666af330ac.cnf.xz,vars=2240 clauses=53398 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,543e67dd5abc272c37775b1b742a1d9a.cnf.xz,vars=25162 clauses=542447 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,75429ff7acb5acb597abe01aa745c2a6.cnf.xz,vars=250 clauses=1000 xors=250 k3=250 k4=0 k5=0 k6=0 covered=250 maxcomp=250
calib,ac6256657058fe65dc7ddaf773ab83bf.cnf.xz,vars=381577 clauses=2675221 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,5faba478cb08194407b5ec957ab08599.cnf.xz,vars=70581 clauses=1424854 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,vars=320 clauses=30726 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,8db998d5fd64f85a1847115208f73873.cnf.xz,vars=4165 clauses=7173053 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,bf8c8761003704e761ce36db6665f741.cnf.xz,vars=6087 clauses=946106 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,91860f79f079fede859034c7d76a98a2.cnf.xz,vars=29183 clauses=697937 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,0c9da400944b002f90fd385d4fdab385.cnf.xz,vars=568 clauses=553495 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,74931e82fd208ed949fa44bccd80df6b.cnf.xz,vars=862 clauses=855716 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib,9ef9243ff051b32795890fccd6c3f6b2.cnf.xz,vars=43977 clauses=215320 xors=11104 k3=2208 k4=8896 k5=0 k6=0 covered=31547 maxcomp=77
calib,7fa502dfce37c37c1cafd50b3fba263f.cnf.xz,vars=53487 clauses=79819 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,6f1b15ebd0ac13c05fb052e5b0453f64.cnf.xz,vars=190686 clauses=3046181 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,b54b26f38d40a687b6277c49cf85de69.cnf.xz,vars=3560698 clauses=7121306 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,6e297bdb1c3f957f6333c37804805ecb.cnf.xz,vars=315093 clauses=1546049 xors=59700 k3=59700 k4=0 k5=0 k6=0 covered=119898 maxcomp=199
calib2,8390dca257561c53bf4eb6e158a2285f.cnf.xz,vars=30503 clauses=91448 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,4989239fbeb6eb40fc0b664d9ba92636.cnf.xz,vars=126976 clauses=296954 xors=62651 k3=62651 k4=0 k5=0 k6=0 covered=77908 maxcomp=62550
calib2,5553fec254b32349e0e48c7ee1e2d6c7.cnf.xz,vars=268423 clauses=1575975 xors=54560 k3=54560 k4=0 k5=0 k6=0 covered=98245 maxcomp=1410
calib2,3e912cd2a499b8f956246b866e2f9f64.cnf.xz,vars=1854 clauses=27024 xors=246 k3=40 k4=78 k5=66 k6=62 covered=699 maxcomp=173
calib2,1f81f7e009f501014cb23a8c2d41836f.cnf.xz,vars=381708 clauses=1632906 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,3c4ac805726d78a869ff8116ee3533db.cnf.xz,vars=308 clauses=2030 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,667341ee8c1dea3db613db317e2b2c33.cnf.xz,vars=2279 clauses=7529 xors=1750 k3=1750 k4=0 k5=0 k6=0 covered=2279 maxcomp=1750
calib2,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,vars=23931 clauses=298759 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,fac2035ba83ac2d0c2d67509d3f82b94.cnf.xz,vars=2777 clauses=9204 xors=825 k3=825 k4=0 k5=0 k6=0 covered=1563 maxcomp=404
calib2,87dbc3302b82c09e19c55059fb943191.cnf.xz,vars=361 clauses=401368 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,dc7817dfa2817916b266c1cfacd2ee66.cnf.xz,vars=14650 clauses=115755 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,3ed56242f55e3653dbceeb4a70221787.cnf.xz,vars=945 clauses=61409 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,vars=16520 clauses=219007 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,5ee05ef0bcb42cb12bd698978c05178c.cnf.xz,vars=201 clauses=707 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,vars=618715 clauses=2626081 xors=68101 k3=68101 k4=0 k5=0 k6=0 covered=156143 maxcomp=204
calib2,416e33a8463911546e4cd87d282a7e1e.cnf.xz,vars=600 clauses=5405 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
calib2,c14f0c610d59a9d5e8cec328485b916f.cnf.xz,vars=322 clauses=7723 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,776ff89b72b0f6290d69af6f95e13182.cnf.xz,vars=28362 clauses=286392 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,62eae28dcf3170b1547fb5db73e6a295.cnf.xz,vars=400 clauses=30623 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,04d0ae28e10d4a35ebab62f42f0200e8.cnf.xz,vars=988187 clauses=3112009 xors=135732 k3=135732 k4=0 k5=0 k6=0 covered=188124 maxcomp=2351
